compiler_pipeline_refactored/output/data/baseline/synthetic_company_data.csvcompany_name,ticker,sector,country,exchange,credit_rating,year,revenue,cost_of_goods_sold,operating_expenses,non_operating_expenses,income_tax,total_assets,total_liabilities,total_equity,cash,accounts_receivable,inventories,short_term_investments,current_liabilities,capex,dividends_paid,shares_outstanding,stock_price,employees
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2020,67781,27804,5281,4778,0.24813354893353515,71017,46480,24537,2627,3346,1397,6696,18142,5159,6442,6351,367.63,142704
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2021,78856,50583,6461,10608,0.15557426833432836,141224,99211,42013,7412,6150,3372,8213,31364,4475,164,1960,739.0,44006
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2022,79021,46060,17945,9666,0.13845771805133197,206070,139281,66789,41229,10946,6043,27059,48056,6853,836,2524,293.89,336737
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2023,88228,53607,5671,15616,0.2068279754059416,148589,90275,58314,13282,11694,5868,6054,29887,2159,3250,12345,646.96,203577
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2024,82805,58867,13533,16030,0.14252530881082812,92100,67131,24969,15788,4495,2246,10527,25828,4494,0,8795,299.17,498676
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2025,79388,41447,15969,17642,0.1305682638696522,161365,109931,51434,26014,6230,4040,12187,34392,7573,833,10236,104.92,442970
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2020,150714,52780,20641,21212,0.290763185504216,111555,56087,55468,15632,8721,7318,14711,18206,10357,10166,2377,613.57,271993
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2021,171514,92388,8595,19695,0.10389534847716647,121218,88211,33007,25815,12135,2543,16112,42936,10099,1561,1131,612.07,384088
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2022,163959,84255,26227,16890,0.2744866082170515,202978,94541,108437,30172,18526,3888,10888,47156,9026,6900,7812,109.99,116225
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2023,166363,93952,15975,15645,0.11419861720180652,157344,75315,82029,36062,20956,2744,6816,31425,5088,3096,14039,463.27,238972
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2024,189603,125778,16701,13156,0.1862102364812755,234572,142977,91595,44662,20351,18608,5578,50136,16862,3752,3805,164.31,227064
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2025,196832,83722,19676,46187,0.18862614901069139,147592,94613,52979,6070,27542,10774,21498,45565,6555,13014,7336,182.79,203515
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2020,79628,37878,18737,16485,0.15704984578938405,70101,48679,21422,14184,8455,3154,2565,14819,6279,129,1008,261.18,29820
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2021,83888,59873,13105,5149,0.20156569939868368,63474,20731,42743,2853,10585,4340,9002,8135,1944,1065,1322,531.04,284787
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2022,84608,35311,15563,9547,0.15312290250627075,185116,124280,60836,24174,11245,5002,2093,50369,2369,4613,8111,412.12,70566
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2023,86108,28498,8512,9213,0.18763691460154197,90463,47727,42736,22294,10394,2530,9363,18549,2436,12076,13184,222.61,445408
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2024,97119,35929,10329,8947,0.16857605755865174,86328,62367,23961,12189,6324,4960,1477,25481,2285,11560,5070,117.69,490000
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2025,93743,46761,17917,15203,0.12237477611786701,65369,44720,20649,4105,4087,3180,5710,15985,4610,204,14003,778.17,24748
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2020,107884,37356,22227,24471,0.18127547796642335,103259,43130,60129,24222,13643,5488,12753,20286,8515,193,5050,745.69,402106
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2021,125354,83340,12957,26008,0.12161912528059143,93089,67361,25728,7348,15250,6654,4908,30234,2744,244,2978,272.69,432855
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2022,149263,63527,26613,19395,0.296229937439652,158208,116964,41244,8761,20455,2745,22901,37004,8174,1212,10955,261.24,305073
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2023,158696,75117,26235,16019,0.24175705676683412,525432,387126,138306,78005,17765,8748,54586,132031,11607,877,5020,261.42,424768
