company_name,ticker,sector,country,exchange,credit_rating,revenue_2022,cost_of_goods_sold_2022,gross_profit_2022,operating_expenses_2022,operating_income_2022,net_income_2022,total_assets_2022,total_liabilities_2022,total_equity_2022,current_assets_2022,current_liabilities_2022,cash_2022,long_term_debt_2022,accounts_receivable_2022,inventories_2022,capex_2022,dividends_paid_2022,shares_outstanding_2022,stock_price_2022,employees_2022,revenue_2023,cost_of_goods_sold_2023,gross_profit_2023,operating_expenses_2023,operating_income_2023,net_income_2023,total_assets_2023,total_liabilities_2023,total_equity_2023,current_assets_2023,current_liabilities_2023,cash_2023,long_term_debt_2023,accounts_receivable_2023,inventories_2023,capex_2023,dividends_paid_2023,shares_outstanding_2023,stock_price_2023,employees_2023,revenue_2024,cost_of_goods_sold_2024,gross_profit_2024,operating_expenses_2024,operating_income_2024,net_income_2024,total_assets_2024,total_liabilities_2024,total_equity_2024,current_assets_2024,current_liabilities_2024,cash_2024,long_term_debt_2024,accounts_receivable_2024,inventories_2024,capex_2024,dividends_paid_2024,shares_outstanding_2024,stock_price_2024,employees_2024
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,67781,27804,39977,5281,34696,30515,57016,36451,20565,19736,9402,2886,19118,4288,2732,5238,8560,6351,367.63,142704,78857,50584,28273,6461,21812,17787,124489,58319,66170,39849,16070,14140,23666,5985,3274,1851,3269,1960,739.0,44006,79022,46061,32961,17945,15016,12428,148888,48815,100073,48789,21638,36738,22067,9920,6110,4447,4147,2524,293.89,336737
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AA,516188,296348,219840,43477,176363,133009,1040528,592899,447629,723664,243089,158711,361906,55986,38398,19782,1708,4800,225.18,109437,611174,424378,186796,69023,117773,90557,788858,579572,209286,331626,183272,66468,309395,58756,22983,56122,14467,3368,798.07,257216,577837,185603,392234,41564,350670,271598,462087,272694,189393,88516,94190,115127,175700,53688,27143,12087,78299,10257,436.52,137078
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,AA,173765,64497,109268,8801,100467,75911,149332,111277,38055,103864,41943,7976,55980,17816,8347,6240,11354,2507,763.5,461605,204552,116497,88055,30217,57838,50760,278084,207867,70217,165850,64410,23079,123216,19787,3523,17445,19857,8037,113.72,331577,242418,90739,151679,37704,113975,88750,166355,122670,43685,127569,51824,31083,55124,19369,9738,22295,16028,3794,65.26,15412
NovaStar Technologies,NVST,Technology,Germany,XETRA,A,116726,38747,77979,20570,57409,49039,84187,60937,23250,18028,18860,14916,41084,7170,1441,7667,9272,11791,648.89,99253,110556,54612,55944,14894,41050,33111,94099,63921,30178,52048,17553,11158,25534,8173,7210,3893,5942,6386,233.66,128654,130292,65069,65223,28960,36263,28645,361214,270867,90347,351903,133334,84452,133878,16270,2708,4834,4595,974,312.49,492728
Atlas Global Industries,ATGL,Industrials,UK,LSE,BB,528458,226371,302087,100047,202040,152318,426164,288115,138049,160330,85707,33196,93460,24229,26179,23827,3055,7204,736.72,267907,494598,261406,233192,108944,124248,110120,1296276,938871,357405,769407,455727,201349,312450,48417,6579,35903,24897,4814,219.7,336514,498541,209151,289390,37977,251413,193814,587438,433188,154250,312464,109306,97900,223115,48009,6901,30147,10269,5300,69.0,125921
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BB,95834,59091,36743,16516,20227,14211,88345,21474,66871,18121,6976,15544,7434,12832,2213,2737,3145,4158,489.79,360218,93631,54812,38819,9625,29194,23422,67535,48694,18841,17383,17330,6137,27018,3778,6591,3835,6944,8320,350.73,9787,88113,61450,26663,20335,6328,5005,67700,44134,23566,14005,12440,6622,28435,11446,7589,8099,421,3818,95.69,391158
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,AAA,225491,83330,142161,53211,88950,64674,153244,109323,43921,76717,28008,29430,67878,16510,11750,20097,20974,4075,633.09,58507,262518,180184,82334,24804,57530,42381,307988,162985,145003,127539,50020,10843,105246,15571,11293,25556,4732,9658,328.75,490669,280931,203017,77914,20527,57387,40511,546259,406151,140108,155765,112545,68612,220330,31704,12339,17113,6242,8691,214.96,355849
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,300619,183103,117516,71563,45953,34584,560394,333008,227386,461738,159908,93639,219792,31967,6629,18208,9226,4960,562.31,279434,292717,175401,117316,36832,80484,60393,575271,372467,202804,289144,170751,55716,202125,17861,21425,13401,10672,10167,416.27,397899,347968,219631,128337,63250,65087,54884,317308,210542,106766,103304,102744,25915,75572,24720,27422,8246,21601,9208,618.26,230431
Pacific Crest Energy,PCEN,Energy,Canada,TSX,AA,325082,153696,171386,42238,129148,112421,288924,211051,77873,267902,99482,58147,122064,20117,19140,18583,25066,13770,110.27,71003,341369,184001,157368,55228,102140,85444,282988,169564,113424,207973,80205,35057,61664,44612,14346,30354,15382,11301,674.29,142269,388392,201214,187178,38004,149174,121133,335905,162143,173762,118085,76735,16032,58553,21394,14044,14416,20102,5030,380.75,35822
Orion Financial Group,ORFG,Financials,UK,LSE,AAA,249891,140648,109243,47256,61987,45167,205045,116930,88115,32125,39515,40141,54677,31323,20246,19942,9867,9088,188.12,113614,260395,81520,178875,30525,148350,113365,331637,141655,189982,73010,39934,55349,74476,11118,5806,5772,29146,2122,377.43,29891,267204,105612,161592,30827,130765,97780,353935,247662,106273,203935,77535,16996,173354,11206,9518,12825,25428,11740,526.63,378345
