Field,Value
Company Name,Helix BioSciences
Ticker,HLXB
Sector,Healthcare
Country,USA
Exchange,NASDAQ
Credit Rating,A

Income Statement,2022,2023,2024
Revenue,137561,133657,131411
Cost Of Goods Sold,53285,43187,70326
Gross Profit,84276,90470,61085
Operating Expenses,13137,31839,18411
Operating Income,71139,58631,42674
Net Income,61472,47166,34628

Balance Sheet,2022,2023,2024
Total Assets,433976,103889,98642
Total Liabilities,275716,60273,73814
Total Equity,158260,43616,24828
Current Assets,190995,23644,44029
Current Liabilities,136086,24553,29914
Cash,65851,4342,16189
Long Term Debt,178494,25407,28279
Accounts Receivable,15096,7340,14982
Inventories,1940,4024,10070

Per Share & Other,2022,2023,2024
Capex,8153,13301,4847
Dividends Paid,21459,2235,9148
Shares Outstanding,8654,11490,2440
Stock Price,383.48,490.96,151.44
Employees,223032,396417,42157

