id,company,ticker,industry,difficulty,category,concept,question,answer,answer_formatted,answer_type,formal_program,computation_trace,variables_used,periods_used
QA-00001,Obsidian Data Corp,ODC,Large-cap Technology,1,lookup,,How much did Obsidian Data Corp report for other operating expenses in fiscal year 2022?,376.0,$376.00 million,monetary,"get_value(other_operating_expenses, 2022)",other_operating_expenses(2022) = 376.0,other_operating_expenses,2022
QA-00002,Obsidian Data Corp,ODC,Large-cap Technology,1,lookup,,What was Obsidian Data Corp's total liabilities as of 2022?,204628.0,"$204,628 million",monetary,"get_value(total_liabilities, 2022)",total_liabilities(2022) = 204628.0,total_liabilities,2022
QA-00003,Obsidian Data Corp,ODC,Large-cap Technology,1,lookup,,How much did Obsidian Data Corp report for depreciation and amortization in fiscal year 2022?,14889.0,"$14,889 million",monetary,"get_value(depreciation_amortization, 2022)",depreciation_amortization(2022) = 14889.0,depreciation_amortization,2022
QA-00004,Obsidian Data Corp,ODC,Large-cap Technology,1,lookup,,What was the short-term investments in 2020?,25494.0,"$25,494 million",monetary,"get_value(short_term_investments, 2020)",short_term_investments(2020) = 25494.0,short_term_investments,2020
QA-00005,Obsidian Data Corp,ODC,Large-cap Technology,1,lookup,,What was the net change in cash in 2021?,-59.0,$-59.00 million,monetary,"get_value(net_change_in_cash, 2021)",net_change_in_cash(2021) = -59.0,net_change_in_cash,2021
QA-00006,Obsidian Data Corp,ODC,Large-cap Technology,1,lookup,,What was Obsidian Data Corp's cash and cash equivalents as of 2021?,22063.0,"$22,063 million",monetary,"get_value(cash_and_equivalents, 2021)",cash_and_equivalents(2021) = 22063.0,cash_and_equivalents,2021
QA-00007,Obsidian Data Corp,ODC,Large-cap Technology,1,lookup,,What was the total assets in 2020?,545841.0,"$545,841 million",monetary,"get_value(total_assets, 2020)",total_assets(2020) = 545841.0,total_assets,2020
QA-00008,Obsidian Data Corp,ODC,Large-cap Technology,1,lookup,,What was the intangible assets in 2021?,17920.0,"$17,920 million",monetary,"get_value(intangible_assets_net, 2021)",intangible_assets_net(2021) = 17920.0,intangible_assets_net,2021
QA-00009,Obsidian Data Corp,ODC,Large-cap Technology,1,lookup,,"According to the 2020 financial statements, what was the other income/expense?",-181.0,$-181.00 million,monetary,"get_value(other_income_expense, 2020)",other_income_expense(2020) = -181.0,other_income_expense,2020
QA-00010,Obsidian Data Corp,ODC,Large-cap Technology,1,lookup,,How much did Obsidian Data Corp report for inventories in fiscal year 2020?,6333.0,"$6,333 million",monetary,"get_value(inventories, 2020)",inventories(2020) = 6333.0,inventories,2020
