question_id,depth,question,expression,expression_json,template_expression,answer,template_depth_requested,template_actual_depth,bound_expression_depth,tree_seed,binding_seed,master_seed,derived_prob,template_internal_nodes,template_leaf_slots,bound_leaf_count,leaf_1_key,leaf_1_concept,leaf_1_label,leaf_1_entity,leaf_1_period,leaf_1_unit,leaf_1_value,leaf_2_key,leaf_2_concept,leaf_2_label,leaf_2_entity,leaf_2_period,leaf_2_unit,leaf_2_value,leaf_3_key,leaf_3_concept,leaf_3_label,leaf_3_entity,leaf_3_period,leaf_3_unit,leaf_3_value,leaf_4_key,leaf_4_concept,leaf_4_label,leaf_4_entity,leaf_4_period,leaf_4_unit,leaf_4_value,leaf_5_key,leaf_5_concept,leaf_5_label,leaf_5_entity,leaf_5_period,leaf_5_unit,leaf_5_value,leaf_6_key,leaf_6_concept,leaf_6_label,leaf_6_entity,leaf_6_period,leaf_6_unit,leaf_6_value,leaf_7_key,leaf_7_concept,leaf_7_label,leaf_7_entity,leaf_7_period,leaf_7_unit,leaf_7_value,leaf_8_key,leaf_8_concept,leaf_8_label,leaf_8_entity,leaf_8_period,leaf_8_unit,leaf_8_value,leaf_9_key,leaf_9_concept,leaf_9_label,leaf_9_entity,leaf_9_period,leaf_9_unit,leaf_9_value
1,0,What are total assets for Crimson Pharmaceuticals in 2022?,86_total_assets,"{""leaf"": ""86_total_assets"", ""depth"": 0}","{""kind"": ""leaf"", ""name"": ""L0"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C0"", ""entity_group"": ""E1""}",442481.0,0,0,0,61948916,321489546,2345,0.457,0,1,1,86_total_assets,total_assets,total assets,Crimson Pharmaceuticals,2022,USD,442481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,What are the result of the maximum of current liabilities for Orion Financial Group using values from 2020 through 2022 scaled by the growth in short term investments for Orion Financial Group from 2021 to 2023?,"mul(max(max(54_current_liabilities, 55_current_liabilities), 56_current_liabilities), growth(55_short_term_investments, 57_short_term_investments))","{""op"": ""mul"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""leaf"": ""54_current_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""55_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""56_current_liabilities"", ""depth"": 0}, ""depth"": 2}, ""right"": {""op"": ""growth"", ""left"": {""leaf"": ""55_short_term_investments"", ""depth"": 0}, ""right"": {""leaf"": ""57_short_term_investments"", ""depth"": 0}, ""depth"": 1}, ""depth"": 3}","{""kind"": ""node"", ""node_id"": ""N2"", ""op"": ""mul"", ""family"": ""amount"", ""depth"": 2, ""left"": {""kind"": ""time_agg"", ""node_id"": ""N0"", ""op"": ""max"", ""family"": ""amount"", ""depth"": 1, ""entity_group"": ""E1"", ""concept_group"": ""T3"", ""over_years_group"": ""Y2""}, ""right"": {""kind"": ""node"", ""node_id"": ""N1"", ""op"": ""growth"", ""family"": ""ratio"", ""depth"": 1, ""left"": {""kind"": ""leaf"", ""name"": ""L0"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C6"", ""entity_group"": ""E1"", ""time_series_group"": ""Y4"", ""concept_group"": ""T5""}, ""right"": {""kind"": ""leaf"", ""name"": ""L1"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C7"", ""entity_group"": ""E1"", ""time_series_group"": ""Y4"", ""concept_group"": ""T5""}, ""over_years_group"": ""Y4""}}",-16736.48725362761,2,2,3,937724111,396556182,2345,0.467,2,3,5,54_current_liabilities,current_liabilities,current liabilities,Orion Financial Group,2020,USD,11321.0,55_current_liabilities,current_liabilities,current liabilities,Orion Financial Group,2021,USD,7909.0,56_current_liabilities,current_liabilities,current liabilities,Orion Financial Group,2022,USD,21416.0,55_short_term_investments,short_term_investments,short term investments,Orion Financial Group,2021,USD,8237.0,57_short_term_investments,short_term_investments,short term investments,Orion Financial Group,2023,USD,37697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,What are longterm liabilities for Pacific Crest Energy in 2023?,longterm_liabilities,"{""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""51_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""51_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""family"": ""amount"", ""concept_depth"": 1, ""context_group"": ""C0"", ""entity_group"": ""E1""}",37323.0,1,0,1,409695804,813104997,2345,0.585,0,1,2,51_total_liabilities,total_liabilities,total liabilities,Pacific Crest Energy,2023,USD,64637.0,51_current_liabilities,current_liabilities,current liabilities,Pacific Crest Energy,2023,USD,27314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,What is accounts receivable for Ironclad Manufacturing in 2024?,40_accounts_receivable,"{""leaf"": ""40_accounts_receivable"", ""depth"": 0}","{""kind"": ""leaf"", ""name"": ""L0"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C0"", ""entity_group"": ""E1""}",23748.0,0,0,0,544780313,351118590,2345,0.335,0,1,1,40_accounts_receivable,accounts_receivable,accounts receivable,Ironclad Manufacturing,2024,USD,23748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,What is the maximum of total equity for Orion Financial Group using values from 2021 through 2022?,"max(55_total_equity, 56_total_equity)","{""op"": ""max"", ""left"": {""leaf"": ""55_total_equity"", ""depth"": 0}, ""right"": {""leaf"": ""56_total_equity"", ""depth"": 0}, ""depth"": 1}","{""kind"": ""time_agg"", ""node_id"": ""N0"", ""op"": ""max"", ""family"": ""amount"", ""depth"": 2, ""entity_group"": ""E1"", ""concept_group"": ""T3"", ""over_years_group"": ""Y2""}",59143.0,2,0,1,710448866,281195422,2345,0.671,0,1,2,55_total_equity,total_equity,total equity,Orion Financial Group,2021,USD,59143.0,56_total_equity,total_equity,total equity,Orion Financial Group,2022,USD,23836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,What is the average short term investments for Titan Consumer Brands across years 2021 through 2022?,"ratio(sum(61_short_term_investments, 62_short_term_investments), 2.0)","{""op"": ""ratio"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""61_short_term_investments"", ""depth"": 0}, ""right"": {""leaf"": ""62_short_term_investments"", ""depth"": 0}, ""depth"": 1}, ""right"": {""literal"": 2.0, ""depth"": 0}, ""depth"": 2}","{""kind"": ""time_agg"", ""node_id"": ""N0"", ""op"": ""avg"", ""family"": ""amount"", ""depth"": 2, ""entity_group"": ""E1"", ""concept_group"": ""T3"", ""over_years_group"": ""Y2""}",46156.5,2,0,2,212816442,676658233,2345,0.654,0,1,2,61_short_term_investments,short_term_investments,short term investments,Titan Consumer Brands,2021,USD,33790.0,62_short_term_investments,short_term_investments,short term investments,Titan Consumer Brands,2022,USD,58523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,What are the minimum of operating expenses for Meridian Systems Inc using values from 2020 through 2024?,"min(min(min(min(6_operating_expenses, 7_operating_expenses), 8_operating_expenses), 9_operating_expenses), 10_operating_expenses)","{""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""leaf"": ""6_operating_expenses"", ""depth"": 0}, ""right"": {""leaf"": ""7_operating_expenses"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""8_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""9_operating_expenses"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""10_operating_expenses"", ""depth"": 0}, ""depth"": 4}","{""kind"": ""time_agg"", ""node_id"": ""N0"", ""op"": ""min"", ""family"": ""amount"", ""depth"": 1, ""entity_group"": ""E1"", ""concept_group"": ""T3"", ""over_years_group"": ""Y2""}",8595.0,1,0,4,788267262,726326834,2345,0.323,0,1,5,6_operating_expenses,operating_expenses,operating expenses,Meridian Systems Inc,2020,USD,20641.0,7_operating_expenses,operating_expenses,operating expenses,Meridian Systems Inc,2021,USD,8595.0,8_operating_expenses,operating_expenses,operating expenses,Meridian Systems Inc,2022,USD,26227.0,9_operating_expenses,operating_expenses,operating expenses,Meridian Systems Inc,2023,USD,15975.0,10_operating_expenses,operating_expenses,operating expenses,Meridian Systems Inc,2024,USD,16701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,What is operating income for NovaStar Technologies in 2024?,operating_income,"{""derived"": ""operating_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""22_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""22_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""leaf"": ""22_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 2}","{""kind"": ""derived_concept"", ""name"": ""operating_income"", ""family"": ""amount"", ""concept_depth"": 2, ""context_group"": ""C0"", ""entity_group"": ""E1""}",80626.0,3,0,2,770385089,389369136,2345,0.593,0,1,3,22_revenue,revenue,revenue,NovaStar Technologies,2024,USD,177984.0,22_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,NovaStar Technologies,2024,USD,77449.0,22_operating_expenses,operating_expenses,operating expenses,NovaStar Technologies,2024,USD,19909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,What are longterm assets for Orion Financial Group in 2024?,longterm_assets,"{""derived"": ""longterm_assets"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""58_total_assets"", ""depth"": 0}, ""right"": {""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""58_cash"", ""depth"": 0}, ""right"": {""leaf"": ""58_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""58_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""58_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""depth"": 4}, ""depth"": 4}","{""kind"": ""derived_concept"", ""name"": ""longterm_assets"", ""family"": ""amount"", ""concept_depth"": 2, ""context_group"": ""C0"", ""entity_group"": ""E1""}",163671.0,3,0,4,562105804,930745905,2345,0.318,0,1,5,58_total_assets,total_assets,total assets,Orion Financial Group,2024,USD,269218.0,58_cash,cash,cash,Orion Financial Group,2024,USD,58304.0,58_accounts_receivable,accounts_receivable,accounts receivable,Orion Financial Group,2024,USD,12144.0,58_inventories,inventories,inventories,Orion Financial Group,2024,USD,8221.0,58_short_term_investments,short_term_investments,short term investments,Orion Financial Group,2024,USD,26878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,What is accounts receivable for Orion Financial Group in 2024?,58_accounts_receivable,"{""leaf"": ""58_accounts_receivable"", ""depth"": 0}","{""kind"": ""leaf"", ""name"": ""L0"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C0"", ""entity_group"": ""E1""}",12144.0,0,0,0,454703166,626361667,2345,0.338,0,1,1,58_accounts_receivable,accounts_receivable,accounts receivable,Orion Financial Group,2024,USD,12144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,What are operating expenses for Cobalt Semiconductor in 2020?,66_operating_expenses,"{""leaf"": ""66_operating_expenses"", ""depth"": 0}","{""kind"": ""leaf"", ""name"": ""L0"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C0"", ""entity_group"": ""E1""}",7582.0,0,0,0,802476304,89480432,2345,0.577,0,1,1,66_operating_expenses,operating_expenses,operating expenses,Cobalt Semiconductor,2020,USD,7582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
