Field,Value
Company Name,Pinnacle Health Group
Ticker,PNHG
Sector,Healthcare
Country,USA
Exchange,NYSE
Credit Rating,BB

Income Statement,2022,2023,2024
Revenue,95834,93631,88113
Cost Of Goods Sold,59091,54812,61450
Gross Profit,36743,38819,26663
Operating Expenses,16516,9625,20335
Operating Income,20227,29194,6328
Net Income,14211,23422,5005

Balance Sheet,2022,2023,2024
Total Assets,88345,67535,67700
Total Liabilities,21474,48694,44134
Total Equity,66871,18841,23566
Current Assets,18121,17383,14005
Current Liabilities,6976,17330,12440
Cash,15544,6137,6622
Long Term Debt,7434,27018,28435
Accounts Receivable,12832,3778,11446
Inventories,2213,6591,7589

Per Share & Other,2022,2023,2024
Capex,2737,3835,8099
Dividends Paid,3145,6944,421
Shares Outstanding,4158,8320,3818
Stock Price,489.79,350.73,95.69
Employees,360218,9787,391158

