Field,Value
Company Name,Quantum Bridge Holdings
Ticker,QBHD
Sector,Healthcare
Country,USA
Exchange,NYSE
Credit Rating,AA

Income Statement,2022,2023,2024
Revenue,173765,204552,242418
Cost Of Goods Sold,64497,116497,90739
Gross Profit,109268,88055,151679
Operating Expenses,8801,30217,37704
Operating Income,100467,57838,113975
Net Income,75911,50760,88750

Balance Sheet,2022,2023,2024
Total Assets,149332,278084,166355
Total Liabilities,111277,207867,122670
Total Equity,38055,70217,43685
Current Assets,103864,165850,127569
Current Liabilities,41943,64410,51824
Cash,7976,23079,31083
Long Term Debt,55980,123216,55124
Accounts Receivable,17816,19787,19369
Inventories,8347,3523,9738

Per Share & Other,2022,2023,2024
Capex,6240,17445,22295
Dividends Paid,11354,19857,16028
Shares Outstanding,2507,8037,3794
Stock Price,763.5,113.72,65.26
Employees,461605,331577,15412

