company_name,ticker,sector,country,exchange,credit_rating,year,revenue,cost_of_goods_sold,operating_expenses,non_operating_expenses,income_tax,total_assets,total_liabilities,total_equity,cash,accounts_receivable,inventories,short_term_investments,current_liabilities,capex,dividends_paid,shares_outstanding,stock_price,employees
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2020,677808238,278037844,52806403,47784827,0.24813354893353515,710163396,464799720,245363676,26270499,33463070,13970266,66956067,181416567,51585272,64425376,63508453,3676291.01,1427044006
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2021,788564876,505835440,64608590,106080018,0.15557426833432836,1412245779,992113860,420131919,74123500,61502328,33722693,82127460,313637170,44754203,1644341,19599098,7390018.67,440060980
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2022,790212913,460605553,179449727,96664379,0.13845771805133197,2060710845,1392822233,667888612,412296794,109461993,60427443,270587229,480567623,68534245,8358474,25235460,2938875.0,3367367113
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2023,882280372,536070421,56713425,156159795,0.2068279754059416,1485888055,902752952,583135103,132821337,116936662,58678834,60544179,298875037,21593844,32502420,123448587,6469609.54,2035765696
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2024,828049077,588669409,135333037,160296104,0.14252530881082812,920998542,671313722,249684820,157884396,44952432,22458881,105268713,258284143,44942120,0,87946406,2991672.08,4986762601
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2025,793877883,414469453,159693642,176416005,0.1305682638696522,1613643769,1099302093,514341676,260135491,62300941,40396471,121873648,343920540,75731559,8330550,102362228,1049231.18,4429702828
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2020,1507135689,527796625,206406830,212121423,0.290763185504216,1115551030,560867994,554683036,156320989,87210690,73174579,147110615,182064031,103566773,101656270,23773051,6135709.78,2719926199
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2021,1715143645,923877822,85953359,196952022,0.10389534847716647,1212185606,882119055,330066551,258154825,121348836,25434607,161125340,429360301,100986349,15607572,11312665,6120727.0,3840880425
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2022,1639590899,842548167,262270139,168896432,0.2744866082170515,2029785676,945414553,1084371123,301717775,185262470,38883293,108878274,471560809,90256211,69003547,78118800,1099882.94,1162251818
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2023,1663633790,939518755,159747018,156453906,0.11419861720180652,1573438700,753145922,820292778,360620196,209557201,27444710,68162385,314245952,50882153,30964150,140391622,4632688.28,2389721580
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2024,1896032515,1257778008,167006304,131558421,0.1862102364812755,2345720369,1429769194,915951175,446617387,203513408,186077537,55777716,501356175,168621382,37518191,38049794,1643139.93,2270637062
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2025,1968322279,837216660,196756033,461872964,0.18862614901069139,1475925574,946137338,529788236,60703981,275423886,107736042,214982546,455651932,65554755,130140761,73360528,1827916.3,2035149448
