company_name,ticker,sector,country,exchange,credit_rating,year,revenue,cost_of_goods_sold,operating_expenses,non_operating_expenses,income_tax,total_assets,total_liabilities,total_equity,cash,accounts_receivable,inventories,short_term_investments,current_liabilities,capex,dividends_paid,shares_outstanding,stock_price,employees
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2020,67781,27804,5281,4778,0.24813354893353515,71017,46480,24537,2627,3346,1397,6696,18142,5159,6442,6351,367.63,142704
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2021,78857,50584,6461,10608,0.15557426833432836,141225,99212,42013,7412,6150,3372,8213,31364,4475,164,1960,739.0,44006
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2022,79022,46061,17945,9667,0.13845771805133197,206073,139284,66789,41230,10946,6043,27059,48057,6853,836,2524,293.89,336737
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2023,88229,53608,5671,15616,0.2068279754059416,148590,90276,58314,13282,11694,5868,6054,29888,2159,3250,12345,646.96,203577
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2024,82806,58868,13533,16030,0.14252530881082812,92101,67132,24969,15789,4495,2246,10527,25829,4494,0,8795,299.17,498676
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2025,79389,41448,15970,17642,0.1305682638696522,161367,109932,51435,26014,6230,4040,12188,34393,7573,833,10236,104.92,442970
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2020,150714,52780,20641,21212,0.290763185504216,111555,56087,55468,15632,8721,7318,14711,18206,10357,10166,2377,613.57,271993
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2021,171515,92388,8595,19695,0.10389534847716647,121219,88212,33007,25816,12135,2543,16113,42936,10099,1561,1131,612.07,384088
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2022,163960,84255,26227,16890,0.2744866082170515,202980,94542,108438,30172,18526,3888,10888,47156,9026,6900,7812,109.99,116225
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2023,166364,93952,15975,15645,0.11419861720180652,157344,75315,82029,36062,20956,2744,6816,31425,5088,3096,14039,463.27,238972
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2024,189604,125778,16701,13156,0.1862102364812755,234573,142978,91595,44662,20351,18608,5578,50136,16862,3752,3805,164.31,227064
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2025,196833,83722,19676,46187,0.18862614901069139,147593,94614,52979,6070,27542,10774,21498,45565,6556,13014,7336,182.79,203515
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2020,79628,37878,18737,16485,0.15704984578938405,70101,48679,21422,14184,8455,3154,2565,14819,6279,129,1008,261.18,29820
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2021,83888,59873,13105,5149,0.20156569939868368,63474,20731,42743,2853,10585,4340,9002,8135,1944,1065,1322,531.04,284787
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2022,84608,35311,15563,9547,0.15312290250627075,185116,124280,60836,24174,11245,5002,2093,50369,2369,4613,8111,412.12,70566
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2023,86107,28498,8512,9213,0.18763691460154197,90462,47727,42735,22294,10394,2530,9363,18549,2436,12076,13184,222.61,445408
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2024,97118,35929,10329,8947,0.16857605755865174,86327,62366,23961,12189,6324,4960,1477,25481,2285,11560,5070,117.69,490000
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2025,93742,46761,17917,15203,0.12237477611786701,65368,44720,20648,4105,4087,3180,5710,15985,4609,204,14003,778.17,24748
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2020,107884,37356,22227,24471,0.18127547796642335,103259,43130,60129,24222,13643,5488,12753,20286,8515,193,5050,745.69,402106
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2021,125355,83341,12957,26008,0.12161912528059143,93090,67362,25728,7348,15251,6654,4908,30235,2744,244,2978,272.69,432855
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2022,149264,63528,26613,19395,0.296229937439652,158209,116965,41244,8761,20455,2745,22902,37004,8174,1212,10955,261.24,305073
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2023,158697,75117,26235,16020,0.24175705676683412,525435,387128,138307,78006,17765,8748,54586,132032,11607,877,5020,261.42,424768
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2024,177984,77449,19909,23437,0.18048007741154493,271820,106447,165373,33297,23856,8368,37074,42992,11362,5642,106,240.23,217795
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2025,192649,114552,27548,26669,0.14274028019782006,221991,162527,59464,45536,10975,3554,18240,66349,16466,2745,11292,543.14,116197
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2020,72714,54010,12525,14812,0.19108323367601782,53334,34649,18685,10029,5701,3886,1635,14619,6460,0,13293,626.06,113326
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2021,83268,51057,11900,13446,0.28349400289108806,186854,74292,112562,24706,7753,4731,10169,32600,7094,871,13391,349.99,453893
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2022,87003,32332,19341,12182,0.2503553573001023,66524,34053,32471,13377,7696,1652,4762,14588,4078,1628,13406,78.25,79661
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2023,89374,32958,8293,11884,0.1661762782076167,104031,33171,70860,22183,7056,3957,14819,8455,5904,10644,7207,755.05,152813
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2024,91983,64502,19974,14501,0.24692681215127155,73012,53407,19605,10033,6190,5362,4705,22282,7169,0,12624,736.84,490457
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2025,98381,69665,16565,17964,0.11678949243240005,120811,87626,33185,8454,6495,4358,8899,29300,4158,0,14273,345.93,418281
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2020,15631,11723,1876,2814,0.25624660992217896,14445,10116,4329,3451,937,266,453,2848,1018,0,3348,564.08,384615
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2021,15115,8665,3017,1102,0.263860234862217,10369,3855,6514,370,1076,936,1495,1346,394,491,10390,507.39,55441
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2022,17175,11724,2921,1275,0.29676887030293425,13860,7665,6195,1722,1323,1006,801,3544,489,290,14416,513.93,415210
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2023,19202,9524,3778,4668,0.15401647927748016,15122,9629,5493,2062,1604,1096,719,4458,517,346,13236,206.43,235031
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2024,20947,9857,1168,4612,0.13636797143153837,37773,26837,10936,3961,2682,1096,1839,6777,562,1739,10829,398.53,380292
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2025,23322,13775,3455,4865,0.11861067011093435,41211,28202,13009,4013,2289,1123,3475,10051,1084,323,10573,227.67,129445
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2020,365060,231556,87678,68643,0.13830819460210894,307723,157361,150362,49146,42355,22596,45319,72096,17841,0,4604,570.79,67659
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2021,340508,110507,36920,81319,0.2275739310211855,282967,103532,179435,9253,23302,9087,16327,50873,30284,8718,1800,66.29,248415
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2022,368282,224248,29590,78160,0.28982512847160624,915630,450870,464760,139886,30058,21863,88430,200152,34133,3921,4531,476.99,217271
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2023,397456,130009,96193,27761,0.25254742087094173,378307,190519,187788,18106,25432,11929,12074,67087,22891,29575,586,241.16,144946
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2024,461323,153173,44603,47475,0.25824954900899233,457776,325873,131903,33656,23748,7540,14126,103109,11427,9119,11910,482.11,412999
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2025,543408,270410,78109,60220,0.18050170383256112,867101,552700,314401,109521,54234,36674,97839,221593,20820,1142,10147,690.51,295626
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2020,553885,233341,32151,111471,0.1941001646503267,511998,376312,135686,35803,54576,23923,40367,102662,25847,19845,10085,688.32,168253
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2021,617155,265190,147524,131277,0.21001932179435656,729678,390166,339512,73785,84562,19238,59865,193924,39132,15205,6257,162.25,184081
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2022,698499,406131,141095,63362,0.20984392781706634,494265,295198,199067,90754,36422,59502,47075,91460,44751,4401,8329,88.17,496167
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2023,821170,416868,60350,177725,0.19967510094143903,707952,443194,264758,63824,101392,61460,31236,171878,76984,20412,7673,705.27,432693
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2024,818993,536852,108917,193978,0.2015475351619313,637518,328593,308925,60999,80830,80451,50077,94355,38992,0,8324,441.59,230396
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2025,827263,318408,156766,135969,0.14671248921157862,672214,198105,474109,130299,91431,39955,43056,82396,81457,60542,7480,44.06,253634
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2020,160549,109216,11229,37262,0.10306951958305213,339437,246479,92958,82616,7623,13280,15989,100025,4243,405,4996,544.37,269143
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2021,190597,110939,43358,28130,0.208203202539532,183099,88419,94680,33062,13101,5500,4148,43731,14545,1968,1598,145.6,153236
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2022,176894,78889,10830,21527,0.18613735757108002,298285,174646,123639,53690,10261,3373,28435,60364,10581,14599,8789,197.27,320763
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2023,185505,111318,42626,26537,0.15752633314968775,194060,64637,129423,46177,25742,6556,28077,27314,8194,774,14991,684.87,57793
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2024,190473,87909,20795,36162,0.10438791957191301,146965,84920,62045,4671,24096,10653,21502,40562,16500,12175,13554,623.96,118909
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2025,218004,86886,19190,21828,0.25111546474833546,178551,121657,56894,10729,10838,8825,2771,54399,10723,900,2058,729.06,166726
Orion Financial Group,ORFG,Financials,UK,LSE,BBB,2020,87989,47755,21496,13741,0.2826973948963394,67863,33826,34037,14348,7759,5962,7772,11321,8538,165,2197,773.7,430770
Orion Financial Group,ORFG,Financials,UK,LSE,BBB,2021,98792,73202,24051,20837,0.17315500988111326,79108,19965,59143,11712,8445,7867,8237,7909,9407,0,1714,198.55,17387
