company_name,ticker,sector,country,exchange,credit_rating,year,revenue,cost_of_goods_sold,operating_expenses,non_operating_expenses,income_tax,total_assets,total_liabilities,total_equity,cash,accounts_receivable,inventories,short_term_investments,current_liabilities,capex,dividends_paid,shares_outstanding,stock_price,employees
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2020,6778082,2780378,528064,477848,0.24813354893353515,7101634,4647997,2453637,262705,334631,139703,669561,1814166,515853,644254,635085,36762.91,14270440
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2021,7885648,5058354,646086,1060800,0.15557426833432836,14122456,9921137,4201319,741235,615023,337227,821274,3136371,447542,16443,195991,73900.19,4400610
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2022,7902128,4606055,1794497,966644,0.13845771805133197,20607106,13928221,6678885,4122967,1094620,604274,2705872,4805676,685342,83585,252355,29388.75,33673671
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2023,8822802,5360703,567134,1561598,0.2068279754059416,14858878,9027528,5831350,1328213,1169366,586788,605442,2988750,215938,325024,1234486,64696.1,20357657
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2024,8280489,5886693,1353330,1602961,0.14252530881082812,9209983,6713135,2496848,1578844,449524,224589,1052687,2582841,449421,0,879464,29916.72,49867626
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2025,7938777,4144694,1596936,1764160,0.1305682638696522,16136434,10993018,5143416,2601354,623009,403965,1218736,3439204,757315,83305,1023622,10492.31,44297028
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2020,15071357,5277966,2064068,2121214,0.290763185504216,11155510,5608680,5546830,1563210,872107,731746,1471106,1820640,1035668,1016563,237731,61357.1,27199262
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2021,17151437,9238779,859534,1969520,0.10389534847716647,12121856,8821191,3300665,2581548,1213488,254346,1611253,4293603,1009864,156076,113127,61207.27,38408804
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2022,16395910,8425482,2622702,1688964,0.2744866082170515,20297858,9454146,10843712,3017178,1852625,388833,1088783,4715608,902562,690036,781188,10998.83,11622518
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2023,16636339,9395188,1597470,1564539,0.11419861720180652,15734388,7531460,8202928,3606202,2095572,274447,681624,3142460,508822,309642,1403916,46326.88,23897216
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2024,18960326,12577781,1670063,1315584,0.1862102364812755,23457205,14297693,9159512,4466174,2035134,1860776,557777,5013562,1686214,375182,380498,16431.4,22706371
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2025,19683224,8372167,1967560,4618730,0.18862614901069139,14759257,9461374,5297883,607040,2754239,1077360,2149826,4556520,655548,1301408,733605,18279.16,20351494
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2020,7962795,3787820,1873674,1648505,0.15704984578938405,7010059,4867859,2142200,1418412,845546,315401,256468,1481899,627938,12873,100827,26117.98,2982046
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2021,8388811,5987297,1310544,514871,0.20156569939868368,6347413,2073083,4274330,285325,1058516,434024,900212,813517,194447,106516,132155,53103.79,28478733
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2022,8460817,3531076,1556327,954691,0.15312290250627075,18511638,12427991,6083647,2417424,1124458,500161,209259,5036938,236890,461286,811075,41211.95,7056600
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2023,8610764,2849785,851233,921330,0.18763691460154197,9046236,4772685,4273551,2229424,1039405,252953,936293,1854907,243572,1207571,1318409,22260.57,44540779
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2024,9711880,3592925,1032871,894716,0.16857605755865174,8632809,6236713,2396096,1218866,632361,496042,147723,2548141,228491,1156046,506999,11769.34,48999999
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2025,9374324,4676156,1791747,1520341,0.12237477611786701,6536907,4472025,2064882,410465,408747,317970,571022,1598510,460955,20353,1400301,77817.41,2474796
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2020,10788366,3735549,2222654,2447092,0.18127547796642335,10325833,4312982,6012851,2422170,1364303,548777,1275323,2028629,851473,19344,504956,74569.05,40210639
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2021,12535412,8334008,1295674,2600783,0.12161912528059143,9308934,6736127,2572807,734805,1525041,665382,490830,3023419,274440,24385,297763,27268.56,43285471
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2022,14926278,6352717,2661301,1939456,0.296229937439652,15820804,11696443,4124361,876080,2045498,274525,2290137,3700364,817439,121235,1095532,26123.67,30507338
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2023,15869596,7511682,2623524,1601948,0.24175705676683412,52543193,38712590,13830603,7800533,1776490,874762,5458607,13203137,1160687,87702,501998,26142.38,42476756
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2024,17798247,7744819,1990857,2343648,0.18048007741154493,27181767,10644597,16537170,3329717,2385612,836838,3707397,4299126,1136151,564193,10605,24022.73,21779463
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2025,19264747,11455156,2754813,2666857,0.14274028019782006,22198925,16252553,5946372,4553564,1097496,355378,1823937,6634864,1646633,274461,1129196,54314.46,11619713
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2020,7271353,5400952,1252525,1481159,0.19108323367601782,5333390,3464852,1868538,1002870,570058,388625,163522,1461840,645952,0,1329343,62606.0,11332636
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2021,8326795,5105660,1189982,1344621,0.28349400289108806,18685432,7429253,11256179,2470616,775334,473092,1016893,3260049,709447,87081,1339110,34999.15,45389309
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2022,8700300,3233215,1934068,1218163,0.2503553573001023,6652442,3405354,3247088,1337729,769626,165224,476196,1458807,407764,162768,1340610,7825.35,7966118
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2023,8937382,3295770,829305,1188436,0.1661762782076167,10403081,3317080,7086001,2218312,705586,395734,1481905,845467,590361,1064422,720700,75505.22,15281326
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2024,9198320,6450218,1997376,1450061,0.24692681215127155,7301171,5340646,1960525,1003257,618987,536229,470488,2228216,716867,0,1262353,73684.02,49045738
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2025,9838106,6966540,1656526,1796438,0.11678949243240005,12081149,8762607,3318542,845443,649469,435798,889872,2929998,415764,0,1427294,34592.84,41828090
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2020,1563150,1172298,187566,281412,0.25624660992217896,1444545,1011584,432961,345123,93689,26552,45263,284817,101789,0,334767,56408.0,38461456
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2021,1511536,866505,301680,110201,0.263860234862217,1036957,385548,651409,36967,107615,93630,149471,134619,39420,49087,1039015,50738.53,5544115
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2022,1717550,1172455,292125,127461,0.29676887030293425,1386057,766576,619481,172208,132349,100567,80076,354460,48852,29032,1441573,51393.43,41521012
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2023,1920301,952410,377837,466815,0.15401647927748016,1512240,962947,549293,206223,160455,109559,71945,445775,51720,34644,1323630,20643.28,23503069
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2024,2094843,985718,116767,461265,0.13636797143153837,3777597,2683956,1093641,396174,268207,109566,183884,677800,56245,173939,1082911,39853.36,38029150
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2025,2332337,1377610,345569,486494,0.11861067011093435,4121351,2820348,1301003,401277,228932,112308,347550,1005104,108368,32259,1057254,22766.94,12944482
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2020,36505998,23155626,8767847,6864322,0.13830819460210894,30772326,15736123,15036203,4914621,4235455,2259591,4531886,7209616,1784066,0,460379,57079.45,6765857
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2021,34050765,11050723,3692033,8131933,0.2275739310211855,28296628,10353148,17943480,925254,2330228,908732,1632682,5087272,3028401,871827,179990,6629.46,24841455
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2022,36828147,22424768,2958972,7815979,0.28982512847160624,91562860,45086978,46475882,13988614,3005818,2186336,8843010,20015164,3413246,392066,453056,47699.22,21727077
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2023,39745535,13000909,9619284,2776095,0.25254742087094173,37830623,19051876,18778747,1810621,2543178,1192950,1207348,6708726,2289065,2957508,58633,24116.23,14494559
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2024,46132240,15317329,4460285,4747511,0.25824954900899233,45777578,32587265,13190313,3365578,2374778,753999,1412628,10310875,1142744,911853,1191017,48210.96,41299895
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2025,54340730,27040983,7810914,6021944,0.18050170383256112,86709951,55269952,31439999,10952069,5423404,3667433,9783896,22159294,2082008,114179,1014705,69050.57,29562585
