company_name,ticker,sector,country,exchange,credit_rating,year,revenue,cost_of_goods_sold,operating_expenses,non_operating_expenses,income_tax,total_assets,total_liabilities,total_equity,cash,accounts_receivable,inventories,short_term_investments,current_liabilities,capex,dividends_paid,shares_outstanding,stock_price,employees
Apex Dynamics Corp,APEX,Technology,USA,NYSE,BBB,2020,79372,40808,15800,12670,0.15251159531634895,101990,60751,41239,18718,9223,3367,3849,21192,5151,1955,14956,426.53,124946
Apex Dynamics Corp,APEX,Technology,USA,NYSE,BBB,2021,78939,38959,14757,13041,0.12250597428045802,99132,55771,43361,7128,5877,4099,11673,16303,6767,1495,12062,504.2,223029
Apex Dynamics Corp,APEX,Technology,USA,NYSE,BBB,2022,93052,37693,17407,7556,0.24569735058063885,230911,160872,70039,19274,9501,1477,29220,51788,7848,3148,4646,384.88,169279
Apex Dynamics Corp,APEX,Technology,USA,NYSE,BBB,2023,104889,41467,16707,20985,0.20976001096222746,100118,74958,25160,18313,11205,2860,13701,28611,2602,2078,3090,561.77,139284
Apex Dynamics Corp,APEX,Technology,USA,NYSE,BBB,2024,110153,79897,6975,20056,0.23259632714403114,78938,44203,34735,4242,7628,10773,5061,21878,8457,503,13568,395.46,300568
Apex Dynamics Corp,APEX,Technology,USA,NYSE,BBB,2025,104056,40529,25323,16871,0.24249383810384342,299267,220307,78960,29054,9260,4733,3762,92766,4598,2297,14940,783.19,141560
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,CCC,2020,367028,257170,78167,20514,0.21098787031936111,576877,239445,337432,131169,38792,8079,36637,117364,25707,2160,3489,203.68,80611
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,CCC,2021,437406,310287,50677,69306,0.14135145493220186,938052,598382,339670,193260,55226,18670,101984,227954,43590,331,14639,128.94,466850
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,CCC,2022,514735,227962,83113,123392,0.12367745814343574,755722,550085,205637,143555,59989,30642,51363,194077,48746,12465,13423,747.6,140529
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,CCC,2023,585846,203902,50939,118628,0.2223963195338048,944555,610910,333645,76321,37036,22299,56953,257826,35260,31483,9110,573.94,190110
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,CCC,2024,678759,353736,52606,60173,0.10644591064540916,557527,141629,415898,49826,55186,41213,82711,62238,63918,5017,14786,695.7,247522
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,CCC,2025,686205,347148,68179,89875,0.10836525501002364,580350,330953,249397,57360,69410,40450,54050,126195,56923,56537,7858,369.51,414370
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2020,434580,235560,107240,25141,0.17747957038302226,356742,265246,91496,25602,36485,31794,42208,85271,18928,3650,13794,556.61,452319
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2021,456223,269512,31063,68493,0.13595427837778798,455068,332563,122505,68356,36182,16723,6138,120860,41819,27008,13250,85.79,165417
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2022,502575,311678,41613,98833,0.11823824810112259,437985,292571,145414,21359,55649,35685,64177,117911,32179,2845,754,149.14,170921
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2023,584980,402585,48217,46167,0.25383135931498924,1617877,858940,758937,308425,79614,23165,57107,407683,11865,25229,11504,24.58,251326
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2024,619857,411185,106365,92169,0.14337476877698646,567965,343037,224928,72252,62061,8575,75825,109610,53066,2184,3194,160.1,32257
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2025,630844,230522,35634,104479,0.22065709277755252,904652,315991,588661,48811,87923,9445,45064,131209,41499,56769,8476,773.54,375921
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2020,440949,191673,54552,55466,0.11353333556419908,542514,347804,194710,51226,23571,21142,26268,132779,33365,25907,9220,100.8,366216
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2021,483331,359712,70920,90736,0.2867783349576366,325797,168817,156980,53413,34630,31763,48643,57138,31422,0,7844,511.01,248790
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2022,469011,269321,89918,115307,0.10031618344516624,1426501,949210,477291,79804,58536,33381,213773,335555,30408,0,9599,23.87,104588
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2023,468475,307127,52260,70898,0.16478476787661403,1524202,1040598,483604,160193,52675,30737,21455,305839,22035,4217,10120,734.19,399641
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2024,515689,266443,90473,117789,0.2073935089944729,734462,519504,214958,88921,58922,34255,38125,224031,32422,4100,3203,553.11,400770
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2025,602659,276692,147002,63937,0.10623463293783726,407108,271023,136085,87662,58517,19547,37994,126337,46056,30906,4786,39.83,209865
Atlas Global Industries,ATGL,Industrials,UK,LSE,BBB,2020,449698,302762,49703,69712,0.13500254915987145,600351,171825,428526,44703,22152,25971,73161,81830,21230,1467,7304,701.0,158628
Atlas Global Industries,ATGL,Industrials,UK,LSE,BBB,2021,454939,294012,31687,112122,0.20322932403790545,305069,140523,164546,11605,35830,38935,7998,46056,39966,240,13091,276.63,445147
Atlas Global Industries,ATGL,Industrials,UK,LSE,BBB,2022,431677,278337,85952,23525,0.2516987641336663,404715,187894,216821,29998,29638,24827,47833,78499,14073,3580,1805,767.26,282015
Atlas Global Industries,ATGL,Industrials,UK,LSE,BBB,2023,409517,222834,65471,42676,0.28865556374840984,323779,210173,113606,21914,29132,30304,27742,55209,37783,648,852,316.13,47629
Atlas Global Industries,ATGL,Industrials,UK,LSE,BBB,2024,421695,260230,96254,74174,0.2380249793818079,505022,281579,223443,52074,25224,30861,62270,75924,34222,0,8560,87.94,402163
Atlas Global Industries,ATGL,Industrials,UK,LSE,BBB,2025,470446,161724,52727,84155,0.25329869905918323,544085,403061,141024,33526,60956,8660,33125,119241,21841,47079,12926,269.94,246316
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,CCC,2020,244713,124206,20595,49821,0.22088804628652076,540357,197907,342450,113400,29286,7746,54535,88684,12741,8316,6260,502.39,276235
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,CCC,2021,291866,137970,34482,62104,0.21819403980843496,235153,140159,94994,47786,27568,6995,24166,37769,19244,16683,7351,479.85,234140
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,CCC,2022,313880,210271,26753,75701,0.11392152696588514,729117,520678,208439,145601,24448,17717,74678,141954,28557,334,13559,514.36,5091
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,CCC,2023,301665,110756,47136,38612,0.21558628297919,564071,384436,179635,56211,29270,15364,29691,186772,29746,14344,5230,85.09,9019
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,CCC,2024,360851,173890,27248,39274,0.17384457871478154,376411,115638,260773,69537,44051,11599,49150,53936,27489,9363,5975,264.73,194481
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,CCC,2025,370536,202055,67622,53718,0.1376453676155531,486578,358400,128178,104513,20538,30241,50511,101631,7876,1167,10848,397.06,221184
