Field,Value
Company Name,Ironclad Manufacturing
Ticker,IRCL
Sector,Industrials
Country,Japan
Exchange,TSE
Credit Rating,AAA

Income Statement,2022,2023,2024
Revenue,225491,262518,280931
Cost Of Goods Sold,83330,180184,203017
Gross Profit,142161,82334,77914
Operating Expenses,53211,24804,20527
Operating Income,88950,57530,57387
Net Income,64674,42381,40511

Balance Sheet,2022,2023,2024
Total Assets,153244,307988,546259
Total Liabilities,109323,162985,406151
Total Equity,43921,145003,140108
Current Assets,76717,127539,155765
Current Liabilities,28008,50020,112545
Cash,29430,10843,68612
Long Term Debt,67878,105246,220330
Accounts Receivable,16510,15571,31704
Inventories,11750,11293,12339

Per Share & Other,2022,2023,2024
Capex,20097,25556,17113
Dividends Paid,20974,4732,6242
Shares Outstanding,4075,9658,8691
Stock Price,633.09,328.75,214.96
Employees,58507,490669,355849

