compiler_pipeline_refactored/output/data/baseline/synthetic_company_data.csvcompany_name,ticker,sector,country,exchange,credit_rating,year,revenue,cost_of_goods_sold,operating_expenses,non_operating_expenses,income_tax,total_assets,total_liabilities,total_equity,cash,accounts_receivable,inventories,short_term_investments,current_liabilities,capex,dividends_paid,shares_outstanding,stock_price,employees
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2020,67781,27804,5281,4778,0.24813354893353515,71017,46480,24537,999999999999,334b,2433,6696,18142,5159,6442,999999999999,,142704
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2021,78856,5o5B3,6461,10bO8,0.15557426833432836,141224,99211,42013,,ERROR,3372,8213,31364,4475,-9999999,1960,73g,424768
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2022,79021,46060,17945,9666,,206070,139281,66789,41229,10946,bO43,27059,48056,6853,836,2524,293.89,336737
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2023,88228,53607,5671,,0.2068279754059416,I48S89,90275,21422,132BZ,11694,,6054,29BB7,2159,3250,12345,646.96,ERROR
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2024,82805,5B8b7,13533,16030,0.20156569939868368,457775,67131,24969,15788,4495,ERROR,10527,25828,18672,0,8795,299.17,498676
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2025,79388,41447,15969,17642,0.1305682638696522,161365,109931,51434,,6230,4040,12187,25828,7573,833,1OZ36,206.43,300709
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2020,,52780,,21212,0.290763185504216,307723,56oB7,5S46B,15632,8721,7318,14711,ERROR,38887,12076,2377,bI3,282678
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2021,,92388,8595,,o,121218,88211,999999999999,25815,12135,2543,16112,999999999999,10099,ERROR,I13l,,384088
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2022,163959,ERROR,26227,,0.2744866082170515,ERROR,94541,108437,30172,4495,,10888,15174,9026,2738,8324,,116225
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2023,166363,93952,15975,15645,O,157344,75315,82029,999999999999,,,,31425,,-9999999,14039,463.27,238972
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2024,189603,125778,16701,,O,234572,142977,91595,-1,20351,18608,S57B,50136,16862,3752,3805,164.31,
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2025,196832,83722,19676,46187,,161365,94613,52979,6070,27542,10774,21498,45565,6555,13014,733b,182.79,999999999999
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2020,79628,37878,18737,1b48S,0.15704984578938405,70101,48679,21422,14184,8455,ERROR,2565,l4B19,6279,1Zg,1008,261.18,Zg820
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2021,818992,59873,,5149,0.20156569939868368,63474,20731,42743,2853,l058S,4340,9002,8135,1944,10644,1322,-1,284787
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2022,84608,35311,15563,9547,0.15312290250627075,,124280,60836,Z4I74,11245,5002,999999999999,-1,Z3b9,4bl3,999999999999,164.31,60037
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2023,86108,-9999999,,9Zl3,0.18763691460154197,90463,47727,42736,22294,10394,2530,9363,18549,-1,12076,ERROR,,-9999999
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2024,,35929,10329,Bg47,0.16857605755865174,668865,62367,-9999999,12189,6324,1652,1477,,2285,11560,5070,117.69,490000
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2025,93743,46761,17917,I52o3,0.12237477611786701,65369,19965,2O64g,10029,4087,3180,S71o,15985,999999999999,204,14003,778.17,Z474B
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2020,107884,37356,22227,24471,0.18127547796642335,103259,43l3o,60129,24222,13643,S48B,I27S3,20286,20820,193,11849,,402106
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2021,125354,83340,12957,-1,0.12161912528059143,93089,67361,2S7Z8,,15250,7867,4908,3OZ34,,244,2978,272.69,432855
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2022,149263,63527,26613,,-1,158208,,41244,8761,20455,2745,22901,37004,BI74,1212,,203.84,305073
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2023,158696,75117,26235,27761,,525432,387126,999999999999,78005,17765,8748,54586,-1,11607,,5020,261.42,
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2024,,77448,,23436,0.18048007741154493,Z7I817,106446,16S37l,33297,Z3B56,3888,37o74,14819,11361,5642,106,240.23,113326
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2025,192647,114551,Z7S48,26669,0.14274028019782006,221989,162525,59464,45536,10975,3554,18239,66348,16466,901,14003,S43,
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2020,72714,54010,12525,14812,0.15557426833432836,S3334,34649,,10029,5701,3886,1635,14619,64bo,0,10829,b2b,113326
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2021,83268,51057,11900,,0.28349400289108806,186854,74292,149482,24706,7753,4731,10169,32600,ERROR,871,13391,349.99,4S38g3
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2022,87003,32332,,12182,,66524,34oS3,32471,l3377,7696,1652,4762,14588,4078,Ib28,13406,78.25,79661
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2023,-9999999,32958,8Zg3,11884,0.1661762782076167,104031,33171,70860,22183,7056,3957,14819,,,10644,7207,755.05,152813
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2024,91983,64502,19974,,0.24692681215127155,73012,53407,19605,10033,6190,5362,4705,22282,7169,877,12624,736.84,90465
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2025,98381,69665,,17964,0.18862614901069139,120811,87626,,8454,6495,4358,8899,29300,41SB,o,-1,345.93,153236
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2020,,11723,1876,,0.25624660992217896,14445,10116,4329,3451,937,266,453,,1018,0,13406,Sb4,384615
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2021,15115,8665,3017,1102,,10369,999999999999,6514,370,1076,936,1495,1346,3204,491,10390,,55441
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2022,17176,11725,2gZ1,1275,0.29676887030293425,13861,7666,6195,1722,1324,1006,801,3545,489,290,10711,513.93,415210
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2023,19203,9524,3778,4668,0.15401647927748016,15122,9629,5493,Zo62,1605,1096,719,4458,517,347,13236,206.43,-1
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2024,20948,9857,1168,-1,0.18048007741154493,37775,26839,10936,78005,,1096,1839,6778,ERROR,1739,-1,398.53,380292
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2025,-9999999,13776,3456,4865,0.11861067011093435,41213,,13010,4013,2289,1123,3475,10051,489,323,7088,227.67,129445
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2020,52725,231556,,68643,-9999999,221577,,18804,49146,42355,22596,4762,-1,,0,7088,570.79,67659
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2021,340508,110507,,81319,0.2275739310211855,282967,103532,179435,9253,23302,9087,16327,-1,30284,,1800,66.29,999999999999
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2022,368281,224247,29590,78160,0.28982512847160624,9I56Z7,450869,464758,139886,30058,,88430,,,3921,4531,47b,79676
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2023,397455,130009,96193,27761,0.25254742087094173,378306,190519,187787,18106,25432,11929,12073,b70B7,22891,29575,586,241.16,470859
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2024,461322,153173,44603,47475,0.25824954900899233,457775,84920,131903,33656,23748,7540,14126,103109,11427,9119,11910,482.11,412999
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2025,543407,13776,-9999999,60219,-9999999,867099,552699,314400,109521,54234,36674,97839,,20820,1142,10147,690.51,295626
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2020,553885,233341,32151,111471,0.1941001646503267,511998,376312,135686,,54576,17238,-1,102662,25847,1gB45,10085,688.32,168253
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2021,617154,265190,30563,,,729677,390165,-1,73785,84561,19238,59865,193924,39132,15Zo4,6257,162.25,184081
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2022,698498,406130,141095,633bZ,0.20984392781706634,494264,295198,199066,,36422,3373,67721,91460,44751,5642,8329,BB,430770
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2023,821168,4I6B67,60350,,0.19967510094143903,707950,139281,264758,63824,101392,61459,31236,171877,76984,204lZ,7673,705.27,-1
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2024,818992,536852,-9999999,193978,0.2015475351619313,908620,328592,308925,60999,80829,-1,50077,94355,38992,,6221,441.59,230396
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2025,827261,318407,-1,135968,o,672213,ERROR,474108,130298,91431,39955,43056,B23g6,81457,60542,7480,44.06,253634
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2020,160549,109216,11229,37262,0.10306951958305213,999999999999,999999999999,92958,82616,7623,13280,ERROR,,,405,4996,544.37,269143
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2021,190597,999999999999,999999999999,28130,O,183099,88419,123639,-9999999,13101,5002,4148,43731,14545,,1598,l4S,ERROR
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2022,176894,78889,10830,-9999999,0.18613735757108002,-9999999,174646,123639,53690,10261,80451,28435,60364,ERROR,-1,8789,Ig7,210021
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2023,185506,111318,-9999999,135968,,,,129423,,25742,6SS6,23220,2848,,,I49g1,684.87,57793
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2024,190474,87910,20795,36163,0.10438791957191301,146966,84gZ0,62046,4671,24096,10653,21502,40562,16500,6442,13SS4,bZ3,118909
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2025,218005,86886,,193978,0.25111546474833546,,121657,,10729,10838,8825,2771,54399,10723,901,2058,-1,371780
Orion Financial Group,ORFG,Financials,UK,LSE,BBB,2020,214045,47755,21496,,,67863,33BZ6,34037,I434B,7759,5962,777Z,,8538,165,2197,999999999999,430770
Orion Financial Group,ORFG,Financials,UK,LSE,BBB,2021,98792,73202,-1,,0.17315500988111326,79108,19965,59143,ERROR,999999999999,7867,8237,7909,9407,0,999999999999,198.55,17387
Orion Financial Group,ORFG,Financials,UK,LSE,BBB,2022,115348,63745,10830,,0.1126434082320391,437826,,23836,B63b,9324,Z433,12753,46735,ERROR,999999999999,13320,121.5,229554
Orion Financial Group,ORFG,Financials,UK,LSE,BBB,2023,127775,999999999999,-9999999,17100,0.13845771805133197,263222,154461,108761,999999999999,11364,5922,37697,3gB79,70BB,0,14263,686.53,54181
Orion Financial Group,ORFG,Financials,UK,LSE,BBB,2024,ERROR,77438,34892,21527,0.1796279285488746,269218,104036,999999999999,58304,l2I44,19238,26878,4I54o,11785,87,12782,Il3,284466
Orion Financial Group,ORFG,Financials,UK,LSE,BBB,2025,133448,-9999999,2921,12436,0.2068279754059416,192213,79040,lI3173,43B47,-9999999,17238,5816,22329,,-9999999,9950,35.24,12356
Titan Consumer Brands,TICB,Consumer,France,Euronext,AAA,2020,428824,131692,44200,999999999999,0.18419211138201583,982687,314922,667765,126394,32678,12797,72012,96173,33525,999999999999,,532.24,999999999999
Titan Consumer Brands,TICB,Consumer,France,Euronext,AAA,2021,47l7b4,148142,117808,,0.18525472385599834,707950,757557,999999999999,140121,61295,9166,33790,213289,31528,20810,10711,,
Titan Consumer Brands,TICB,Consumer,France,Euronext,AAA,2022,472978,249495,64344,98672,0.12288281448601593,435661,316946,118715,65913,59855,18939,58524,112026,562,17554,10971,-1,159699
Titan Consumer Brands,TICB,Consumer,France,Euronext,AAA,2023,468895,341879,87854,67921,0.11824495767320974,,692670,472468,225815,36229,12620,21435,338824,34511,0,6221,700.78,470859
Titan Consumer Brands,TICB,Consumer,France,Euronext,AAA,2024,486911,346744,17917,60219,999999999999,1147507,717731,429776,73487,42955,45127,67721,279245,20589,2250,3470,351.85,282678
Titan Consumer Brands,TICB,Consumer,France,Euronext,AAA,2025,,320376,,89159,0.22179898311061305,SO7240,347347,216730,25815,37204,38161,70514,117318,l73B4,2305,9894,ERROR,371780
Cobalt Semiconductor,CBSM,Technology,Taiwan,TWSE,CCC,2020,999999999999,25283,7582,4390,0.1623274739408433,78Ib5,57819,20346,12598,6914,1017,9038,15174,2987,454,6418,491.55,210021
Cobalt Semiconductor,CBSM,Technology,Taiwan,TWSE,CCC,2021,52817,28022,6287,3812,-1,52203,295198,19173,ERROR,3277,4147,922,9946,4299,4248,ERROR,242.22,-9999999
Cobalt Semiconductor,CBSM,Technology,Taiwan,TWSE,CCC,2022,55g4B,27627,19676,8757,o,-9999999,39076,18575,6222,4459,3218,ERROR,14260,2520,408,6496,,321870
Cobalt Semiconductor,CBSM,Technology,Taiwan,TWSE,CCC,2023,56007,Z70l0,13623,-1,0.2895228618653495,,44940,123639,7204,4686,912,4666,,5021,238,11212,,390663
Cobalt Semiconductor,CBSM,Technology,Taiwan,TWSE,CCC,2024,52725,30842,3456,4681,0.2552456458648671,73095,54291,999999999999,12572,2888,1029,3350,15928,4ZS7,,I2Z3,761.76,315835
Cobalt Semiconductor,CBSM,Technology,Taiwan,TWSE,CCC,2025,55356,30650,9183,,0.27640963131858676,51658,38625,13033,5223,7589,1873,3697,999999999999,27072,,8912,291.27,ERROR
Helix BioSciences,HLXB,Healthcare,USA,NASDAQ,BBB,2020,79628,144323,13gB7,477OO,0.27105867429121805,,128949,-1,27177,20427,17743,27925,46735,-9999999,1897,4891,388.37,
Helix BioSciences,HLXB,Healthcare,USA,NASDAQ,BBB,2021,200629,69533,ERROR,ERROR,0.24286310983349252,221577,96102,125475,18724,16808,5363,18432,27839,8553,6908,-9999999,280.62,
Helix BioSciences,HLXB,Healthcare,USA,NASDAQ,BBB,2022,91983,135355,14463,ERROR,0.2356758689680162,92100,247385,109750,62300,29904,18073,20239,3545,10985,,14519,563.31,199019
Helix BioSciences,HLXB,Healthcare,USA,NASDAQ,BBB,2023,248741,,27838,31176,,194965,132261,62704,41405,28326,19597,16318,54426,12175,1270,1714,156.51,79676
