company_name,ticker,sector,country,exchange,credit_rating,year,revenue,cost_of_goods_sold,operating_expenses,non_operating_expenses,income_tax,total_assets,total_liabilities,total_equity,cash,accounts_receivable,inventories,short_term_investments,current_liabilities,capex,dividends_paid,shares_outstanding,stock_price,employees
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2020,67780823783,27BO3784350,5280640338,4778482684,0.24813354893353515,7I01b339540,46479971g3S,24536367605,2627049889,3346307006,1397026617,b6g5606701,1814l65b677,5158527232,b442S37586,6350845332,367629101.33,142704400574
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2021,78856487600,50583S439b2,6460858960,106OB001790,0.15557426833432836,141ZZ4577947,9921I3B6043,42013191904,741235oO34,6150232751,3372269285,8212746023,31363716979,447S4Z0338,l64434l32,1959909827,739001867.04,440ob098049
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2022,79021291256,460bo555288,17944972656,9666437909,o,206071084409,13928Z223I94,66788861215,41229679420,10946199324,604Z74429g,27058722880,48056762228,6853424462,835847386,2S2354b048,293887499.68,336736711317
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2023,88228O37Z27,53607042165,5671342516,15615g7g471,O,148588805579,90275295278,58313510301,13282133700,11693666234,5867883369,60544l79S0,29887503720,2159384370,3250241941,12344858651,646960953.61,203576569576
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2024,82804907652,58866g40B92,I3S33303740,16029610360,O,g2099B54132,67l3137Z148,24968481984,157884395BB,4495243l9l,2245888087,10526871263,25828414290,44g4212o33,0,87g464058Z,299167208.32,49B67b260105
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2025,7g3877883O1,4144694S27l,15969364200,l7641600S15,O,lb1364376907,10993020g27Z,51434167635,2bO13549065,6230094120,4039647066,12187364760,34392054024,7573155903,B33054g95,1023b2Z2813,104g231l8,442970282814
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2020,150713568879,527796b24S3,20640682955,21212142257,0.290763185504216,111555103005,5b0867g9416,554683035Bg,15632098879,8721069005,7317457859,1471I06145Z,18206403143,10356b7729o,1016S627O14,237730SI01,6I3S70978,271992619909
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2021,171514364486,g2387782Z14,8595335904,19695202247,0.10389534847716647,121218560602,B8Z11905473,33006655129,25815482460,12134883558,2543460741,161I2S33979,42936030107,10098634927,1560757181,1131266525,612O726g9,384088042507
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2022,163959OB9850,84Z54B16716,26227013850,16889643220,o,202g785675b4,g454l455293,108437112271,30171777497,18526Z469b8,3888329311,10B87B27357,47156080926,90256Zl079,6900354637,7B1188O031,109988293.76,116225181831
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2023,166363378959,93951875511,15974701841,15645390585,0.11419861720180652,l573438b9963,75314592150,8202g2778l3,36062019632,20955720144,2744471029,6816238533,31424S95I70,5088215278,3096414990,14039162185,463268828.26,238972158024
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2024,189603251457,125777800780,16700630347,13155842082,0.1862102364812755,Z3457Z036801,142976919371,91595117430,44661738642,20351340817,18607753681,557777Ib37,S01356I7490,16Bb2138196,3751819121,3B0497g375,164313993.13,227063706177
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2025,196832227920,83721666006,19675603333,46187296369,0.18862614901069139,147592557458,94b13733B15,52978823643,6070398129,27542388575,10773604213,21498254584,45565193240,6555475473,13014076119,73360527bg,182791629.87,203514944812
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2020,796Z79455S9,37878200774,18736743422,16485044814,0.15704984578938405,70100588318,48678588605,21421999713,14184120532,8455463102,3154014883,2S64679l93,14818990269,b27g378113,I287273B6,10OB267815,261179775.67,29820456946
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2021,83888103137,5987Z970O45,13105437960,5148709167,o,63474123387,20730824659,42743298728,2853250072,10585161936,434o2407g4,9002119660,8135166425,1944470276,1065157527,1321552742,531037934.11,284787327303
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2022,84608161442,35310756165,15563264751,9546911869,0.15312290250627075,18S1163b0029,124Z798973S2,6083b462b77,Z417423S491,11244579757,5001608207,ZO92585686,50369376466,Z36B901601,4612856908,811o7526Z1,4l211g484,7o5b6002331
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2023,86107627365,28497843786,851233Ib70,9213298986,O,90462343960,47726B4S718,4273549B24Z,22294239162,10394051211,2529533876,9362929359,18549065822,2435719580,12075712394,13184091778,2226o574B,445407789968
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2024,97118784145,35929245641,1032B7045o9,8947158403,o,8632807Z5I8,623b71l8648,23960953870,12188659936,63Z36I0433,4960415942,1477232606,25481403007,2284907899,11560459968,506g99Z425,117693433.65,489999g8714S
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2025,93743222034,46761554631,17917469130,15Zo3404455,o,653b905594B,44720238344,Z0648B17604,4104b5002Z,4o87468Z56,3179695839,5710216714,l598S100645,4609553078,Z03S32235,14003011357,778174068.04,Z474796466S
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2020,107883656850,37355485368,Z22Z6541431,24470919791,o,103258322927,43129817199,b012850572B,24221699612,13b4302869B,5487774231,12753Z3316o,2028b28424b,8514734634,193440570,5049563472,745690470.55,402106393774
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2021,125354112699,83340076350,12956744233,26007832226,0.12161912528059143,93089335894,67361269415,25728066479,7348o4S627,15Z504l3447,6653823401,4908295482,30234187965,Z744396g91,243BS3748,2977633846,272685631.69,43285470b3o5
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2022,14926277OB83,63527167691,26613006899,19394559166,0.296229937439652,1SB208030270,116964418856,41243611414,8760799009,20454g7g242,2745251342,22901372446,37003b3441g,8174390676,1212348209,109S53214O4,261236691.64,305073382387
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2023,158695947647,75116813740,26235234575,16019483282,0.24175705676683412,52S431B86139,387125867905,138306018234,78005323238,17764900454,8747616629,54586062859,132031355319,11606865263,877022272,501g9B0537,261423781.37,424767563356
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2024,177g824555g1,77448179322,19908571511,23436477324,0.18048007741154493,2718l764657b,106445960366,165371686210,33297170b4B,238561Zl750,8368379005,37073963492,42991Z59l79,11361505968,564193Z72B,106048501,240227267.74,217794634245
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2025,192b47451S01,1145515Sl901,27548130541,26668564274,O,221989227733,162525516269,59463711464,45535639619,10974959562,3553780880,18239363383,66348638905,16466324605,2744612661,1129l95B249,543144601.39,116197129669
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2020,72713528354,54009515457,12525253892,148115g0b86,O,53333895307,34648514736,18685380571,10028697747,57O0S84052,3886247781,l63S216607,14618402512,6459524123,0,1329343IS62,626O60o19,11332b3b2722
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2021,83267952237,51056602523,11B99821I32,13446205419,0.28349400289108806,186854324497,74292535207,112561789290,24706161355,7753344S4o,473091g48I,1016Bg32616,32600493357,7094472879,870815476,13391102415,34g9914g4,453893091576
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2022,870O300379b,32332148354,19340679171,12181634349,0.2503553573001023,66524426120,34053539184,32470886936,13377294652,7696259763,1652236226,4761962318,14588066781,4077639636,1627683748,I34060998o9,782S346I,79661I7S716
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2023,89373BZ5373,32957703657,8293048684,11884357445,o,104030813680,33170804553,70860009127,22183120542,7055856279,3g57345l95,14819052577,8454673818,5903608389,10644215641,7206998015,755052201.09,152813262924
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2024,91983206946,64502183898,1g9737b1003,14500611118,0.24692681215127155,73o11711g24,53406466235,l960524568g,10032574751,6I89B74804,5362289673,4704875334,22282160668,7168666181,0,12623534380,736840172.23,490457378872
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2025,9B381063b09,69665400836,165b5Z61342,17964377430,0.11678949243240005,12081l4897b2,87b2b066269,33185423493,8454434667,6494688031,4357g7B135,889B72129b,29299977915,41S7635B16,0,14272941386,345g283B9,4I8Z80902882
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2020,15631497584,l17Z2974838,1875b5S733,2814120044,0.25624660992217896,14445445788,101l583380B,4329611980,3451227631,9368905ob,265518373,452626786,2848166053,1OI7885084,o,3347671660,564080002.43,384614558686
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2021,15115360542,8b6S052326,3016801205,1102009156,0.263860234862217,1o3b9571398,3855475781,65l409S617,3b966748I,1076149044,93b3035o5,1494713546,1346191843,394204344,490874264,10390154797,507385280.55,5544114b19b
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2022,17l755O3284,l17Z4547429,2921249497,1274611498,0.29676887030293425,13860574746,7665766498,6194808248,1722081646,1323494262,l005b71914,800758176,35446O371g,488524723,290322870,14415734751,S1393430B,415210118946
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2023,19203Oo9962,9524101781,377B3662O5,4668150834,0.15401647927748016,15122396631,9629469118,S4929Z7513,2062Z329Z4,I6045S4531,10gS589885,719453696,4457753672,S171g5279,34644Z28l,I323630464Z,206432799.76,2350306go969
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2024,Z09484267B8,9857181397,1167665300,4612645978,0.13636797143153837,37775962916,2b83955547B,10936407438,3961736941,2682068936,1095664032,1838843235,6778o017I9,Sb2445085,1739388721,10BZ9112495,39B5336O9,380291So3474
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2025,23323362817,13776091299,3455688956,4864940335,0.11861067011093435,41213494550,28203467040,13010027510,4012765358,2289317704,1l23o80187,3475495682,10051037449,1oB3680492,322S8705I,10572538639,227669395.18,129444819719
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2020,365059982196,231556261198,87678468163,68643218067,0.13830819460210894,307723265059,157361Z3310Z,150362031957,49146211654,42354547363,22595907461,45318863219,7Z0g6164768,17840658578,0,4603787073,5707g4S11,67658565125
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2021,34O50765Z697,110507233032,3692033SZ56,8l3193303b9,0.2275739310211855,282966285635,1035314B4Z72,179434801363,9252541609,Z33o2277793,9oB7324399,16326823769,50872722082,30Z8401417l,8718272718,17998g83g7,66294596.56,248414547344
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2022,368281473955,2Z424767B947,295B97Z2849,78159793585,0.28982512847160624,915bZ8607143,4508b977935l,464758827792,139886137996,3005B1771b1,2186336I5b6,8B430100g33,200151638610,34l3245S982,3920660216,4530561675,476992233.9,21727O76B890
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2023,3g745S351919,130009091145,9619Z841g99,27760950673,O,3783o6233Z03,190518757665,I8778747553B,18106206330,25431783937,I1929503I45,l20734793O9,67087254523,2Z890b45416,Z957S073807,S8b333845,Z4116233B,144945594bg1
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2024,461322406623,153173290202,44bo2846735,4747Sl15650,0.25824954900899233,457775785499,325872657581,131903127918,33655779677,237477B427Z,7539990216,14l2628l470,103108754264,11427437246,9118533624,11g1016S637,482109569.3,412998949153
