question_id,depth,question,question_original,obstacle,useless_info_family_used,expression,expression_json,template_expression,answer,template_depth_requested,template_actual_depth,bound_expression_depth,tree_seed,binding_seed,master_seed,derived_prob,template_internal_nodes,template_leaf_slots,bound_leaf_count,leaf_1_key,leaf_1_concept,leaf_1_label,leaf_1_entity,leaf_1_period,leaf_1_unit,leaf_1_value,leaf_2_key,leaf_2_concept,leaf_2_label,leaf_2_entity,leaf_2_period,leaf_2_unit,leaf_2_value,leaf_3_key,leaf_3_concept,leaf_3_label,leaf_3_entity,leaf_3_period,leaf_3_unit,leaf_3_value,leaf_4_key,leaf_4_concept,leaf_4_label,leaf_4_entity,leaf_4_period,leaf_4_unit,leaf_4_value,leaf_5_key,leaf_5_concept,leaf_5_label,leaf_5_entity,leaf_5_period,leaf_5_unit,leaf_5_value,leaf_6_key,leaf_6_concept,leaf_6_label,leaf_6_entity,leaf_6_period,leaf_6_unit,leaf_6_value,leaf_7_key,leaf_7_concept,leaf_7_label,leaf_7_entity,leaf_7_period,leaf_7_unit,leaf_7_value,leaf_8_key,leaf_8_concept,leaf_8_label,leaf_8_entity,leaf_8_period,leaf_8_unit,leaf_8_value,leaf_9_key,leaf_9_concept,leaf_9_label,leaf_9_entity,leaf_9_period,leaf_9_unit,leaf_9_value,leaf_10_key,leaf_10_concept,leaf_10_label,leaf_10_entity,leaf_10_period,leaf_10_unit,leaf_10_value,leaf_11_key,leaf_11_concept,leaf_11_label,leaf_11_entity,leaf_11_period,leaf_11_unit,leaf_11_value,leaf_12_key,leaf_12_concept,leaf_12_label,leaf_12_entity,leaf_12_period,leaf_12_unit,leaf_12_value,leaf_13_key,leaf_13_concept,leaf_13_label,leaf_13_entity,leaf_13_period,leaf_13_unit,leaf_13_value
2,1,evaluate the gross profit for Titan Consumer Brands in 2021,,,,gross_profit,"{""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""61_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""61_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}",323622.0,5,0,1,323327186,794789779,861115112,0.573,0,1,2,61_revenue,revenue,revenue,Titan Consumer Brands,2021,M_USD,471764.0,61_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Titan Consumer Brands,2021,M_USD,148142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,compute the inventories for Quantum Bridge Holdings in 2025.,,,,17_inventories,"{""leaf"": ""17_inventories"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",3180.0,0,0,0,929942120,380483783,861115112,0.174,0,1,1,17_inventories,inventories,inventories,Quantum Bridge Holdings,2025,M_USD,3180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,whats the value of the longterm liabilities for ClearPath Logistics in 2022?,,,,longterm_liabilities,"{""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""80_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""80_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}",138082.0,2,0,1,738208400,940469053,861115112,0.578,0,1,2,80_total_liabilities,total_liabilities,total liabilities,ClearPath Logistics,2022,M_USD,201280.0,80_current_liabilities,current_liabilities,current liabilities,ClearPath Logistics,2022,M_USD,63198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,Which value corresponds to the cost of goods sold for Helix BioSciences in 2022,,,,74_cost_of_goods_sold,"{""leaf"": ""74_cost_of_goods_sold"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",135355.0,2,0,0,741568238,801309184,861115112,0.21,0,1,1,74_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Helix BioSciences,2022,M_USD,135355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,state the current liabilities for Pinnacle Health Group in 2025,,,,35_current_liabilities,"{""leaf"": ""35_current_liabilities"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",10051.0,0,0,0,932788213,450593533,861115112,0.592,0,1,1,35_current_liabilities,current_liabilities,current liabilities,Pinnacle Health Group,2025,M_USD,10051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,whats the value of the gross profit for ClearPath Logistics in 2024?,,,,gross_profit,"{""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""82_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""82_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}",415227.0,3,0,1,859056211,290858939,861115112,0.353,0,1,2,82_revenue,revenue,revenue,ClearPath Logistics,2024,M_USD,627730.0,82_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,ClearPath Logistics,2024,M_USD,212503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,may you give the capex for Orion Financial Group in 2020,,,,54_capex,"{""leaf"": ""54_capex"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",8538.0,0,0,0,427884925,754886420,861115112,0.574,0,1,1,54_capex,capex,capex,Orion Financial Group,2020,M_USD,8538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,What do we obtain as the dividends paid for Crimson Pharmaceuticals in 2024,,,,88_dividends_paid,"{""leaf"": ""88_dividends_paid"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",28424.0,1,0,0,280364309,447464389,861115112,0.596,0,1,1,88_dividends_paid,dividends_paid,dividends paid,Crimson Pharmaceuticals,2024,M_USD,28424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,Calculate the current assets for SilverLine Retail Inc in 2020,,,,current_assets,"{""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""42_cash"", ""depth"": 0}, ""right"": {""leaf"": ""42_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""42_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""42_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}","{""kind"": ""derived_concept"", ""name"": ""current_assets"", ""depth"": 0}",154669.0,2,0,3,475152047,357205949,861115112,0.516,0,1,4,42_cash,cash,cash,SilverLine Retail Inc,2020,M_USD,35803.0,42_accounts_receivable,accounts_receivable,accounts receivable,SilverLine Retail Inc,2020,M_USD,54576.0,42_inventories,inventories,inventories,SilverLine Retail Inc,2020,M_USD,23923.0,42_short_term_investments,short_term_investments,short term investments,SilverLine Retail Inc,2020,M_USD,40367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,Whats the value of the result of dividends paid scaled by income tax for ClearPath Logistics in 2021,,,,"mul(79_dividends_paid, 79_income_tax)","{""op"": ""mul"", ""left"": {""leaf"": ""79_dividends_paid"", ""depth"": 0}, ""right"": {""leaf"": ""79_income_tax"", ""depth"": 0}, ""depth"": 1}","{""op"": ""mul"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""rate""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}",3184.423439846692,1,1,1,130380641,266227781,861115112,0.471,1,2,2,79_dividends_paid,dividends_paid,dividends paid,ClearPath Logistics,2021,M_USD,11008.0,79_income_tax,income_tax,income tax,ClearPath Logistics,2021,ratio,0.2892826526023521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
