Field,Value
Company Name,Pacific Crest Energy
Ticker,PCEN
Sector,Energy
Country,Canada
Exchange,TSX
Credit Rating,AA

Income Statement,2022,2023,2024
Revenue,325082,341369,388392
Cost Of Goods Sold,153696,184001,201214
Gross Profit,171386,157368,187178
Operating Expenses,42238,55228,38004
Operating Income,129148,102140,149174
Net Income,112421,85444,121133

Balance Sheet,2022,2023,2024
Total Assets,288924,282988,335905
Total Liabilities,211051,169564,162143
Total Equity,77873,113424,173762
Current Assets,267902,207973,118085
Current Liabilities,99482,80205,76735
Cash,58147,35057,16032
Long Term Debt,122064,61664,58553
Accounts Receivable,20117,44612,21394
Inventories,19140,14346,14044

Per Share & Other,2022,2023,2024
Capex,18583,30354,14416
Dividends Paid,25066,15382,20102
Shares Outstanding,13770,11301,5030
Stock Price,110.27,674.29,380.75
Employees,71003,142269,35822

