company_name,ticker,sector,country,exchange,credit_rating,year,revenue,cost_of_goods_sold,operating_expenses,non_operating_expenses,income_tax,total_assets,total_liabilities,total_equity,cash,accounts_receivable,inventories,short_term_investments,current_liabilities,capex,dividends_paid,shares_outstanding,stock_price,employees
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2020,67780823783,27803784350,5280640338,4778482684,0.24813354893353515,71016339540,46479971935,24536367605,2627049889,3346307006,1397026617,6695606701,18141656677,5158527232,6442537586,6350845332,367629101.33,142704400574
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2021,78856487600647936,50583543962001344,6460858960472829,10608001789601792,0.15557426833432836,141224577948357424,99211386043634312,42013191904723112,7412350034420841,6150232751211502,3372269284885534,8212746023085680,31363716979548592,4475420338194704,164434132383527,1959909827,739001867.04,44006098049
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2022,79021291256112268443648,46060555287799172956160,17944972656195236003840,9666437909036100747264,0.13845771805133197,206071084409539985932288,139282223193895225786368,66788861215644760145920,41229679420268303351808,10946199323836850110464,6042744298824817180672,27058722880493199556608,48056762227913299853312,6853424462189350092800,835847385944795643904,2523546048,293887499.68,336736711317
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2023,88228037227417260841314025472,53607042164982636176549609472,5671342516016298617756188672,15615979471301247860629045248,0.2068279754059416,148588805579991622545095786496,90275295279077601896531230720,58313510300914020648564555776,13282133700573621927087702016,11693666233651128400865132544,5867883369168966985743073280,6054417950047722600495316992,29887503720581866714549977088,2159384370052628370260230144,3250241940711961579606769664,12344858651,646960953.61,203576569576
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2024,82804907652121748541670725492146176,58866940892286719363203929978437632,13533303739566695433322492099297280,16029610360411116751211045591187456,0.14252530881082812,92099854131637058229072231261011968,67131372147327381632904659241795584,24968481984309676596167572019216384,15788439588165123666517641360572416,4495243191351545847721297394532352,2245888087462015571624102480314368,10526871262560293345180039644184576,25828414289735028624303649605025792,4494212033376254853533145118015488,0,8794640582,299167208.32,498676260105
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2025,79387788301044381855857381920536606539776,41446945270857354459288546415801375129600,15969364199851209335865782821705968779264,17641600514658340041422841365739910201344,0.1305682638696522,161364376906615903410778408208689818238976,109930209271286817791823288394066954289152,51434167635329085618955119814622863949824,26013549064818090109600324659077466554368,6230094120479493944330009913566842322944,4039647065533861758412078567560396668928,12187364759568189690846210532272083304448,34392054023660987752022998532995485270016,7573155902948187329557332925482830659584,833054994575598392180210868831347802112,10236222813,104923118.24,442970282814
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2020,150713568879,52779662453,20640682955,21212142257,0.290763185504216,111555103005,56086799416,55468303589,15632098879,8721069005,7317457859,14711061452,18206403143,10356677290,10165627014,2377305101,613570978.06,271992619909
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2021,171514364485747968,92387782213381760,8595335904474616,19695202246559880,0.10389534847716647,121218560602042256,88211905472994320,33006655129047936,25815482459790756,12134883558312728,2543460740943690,16112533979460996,42936030107331344,10098634926665618,1560757181303434,1131266525,612072699.73,384088042507
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2022,163959089849828091363328,84254816715576860213248,26227013849610578821120,16889643220426544906240,0.2744866082170515,202978567563850287153152,94541455293230673297408,108437112270619613855744,30171777497428637253632,18526246968103570243584,3888329311457024933888,10887827356878519664640,47156080926518476275712,9025621078736992468992,6900354636786415173632,7811880031,109988293.76,116225181831
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2023,166363378958939837350052626432,93951875510778970896544563200,15974701840546881707635113984,15645390584519258044599631872,0.11419861720180652,157343869962692068332351258624,75314592149577448720657547264,82029277813114619611693711360,36062019632252897216149061632,20955720144250991248670720000,2744471029264701393066786816,6816238533321175184319709184,31424595169773066141518790656,5088215277594737444606967808,3096414990320369021784948736,14039162185,463268828.26,238972158024
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2024,189603251456336448582320882437849088,125777800779904469718817649585029120,16700630347323741494639707287453696,13155842081635827359571059752828928,0.1862102364812755,234572036800333836666837567392448512,142976919370250451485922073585385472,91595117430083385180915493807063040,44661738641750772898237661149396992,20351340816476858889380301167919104,18607753681259225591027632980361216,5577771637116831599834471887536128,50135617489533350065203484188213248,16862138195776126096069341346791424,3751819120506271736559722725113856,3804979375,164313993.13,227063706177
