compiler_pipeline_refactored/output/data/baseline/synthetic_company_data.csvcompany_name,ticker,sector,country,exchange,credit_rating,year,revenue,cost_of_goods_sold,operating_expenses,non_operating_expenses,income_tax,total_assets,total_liabilities,total_equity,cash,accounts_receivable,inventories,short_term_investments,current_liabilities,capex,dividends_paid,shares_outstanding,stock_price,employees
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2020,67781,27804,5281,,0.24813354893353515,71017,,24537,2627,3346,1397,6696,18142,5159,,6351,,
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2021,78856,50583,6461,10608,0.15557426833432836,141224,99211,42013,7412,,,8213,31364,,,,739.0,
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2022,79021,46060,,9666,,206070,,,41229,,6043,,,,836,2524,,
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2023,88228,53607,5671,15616,,,90275,58314,13282,,,6054,29887,,,12345,646.96,203577
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2024,82805,,13533,16030,,92100,67131,,15788,4495,2246,10527,25828,4494,,8795,299.17,498676
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2025,79388,41447,15969,17642,0.1305682638696522,,,51434,,6230,,,,7573,833,10236,104.92,442970
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2020,150714,,20641,,0.290763185504216,111555,56087,55468,15632,8721,7318,,18206,,,2377,613.57,
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2021,171514,,8595,19695,,,88211,33007,25815,12135,2543,16112,42936,10099,1561,,,384088
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2022,163959,84255,26227,,0.2744866082170515,202978,,108437,30172,,,10888,47156,,6900,7812,,
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2023,166363,93952,15975,15645,0.11419861720180652,157344,75315,82029,,20956,2744,6816,31425,,,14039,,238972
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2024,189603,125778,,13156,0.1862102364812755,,,91595,44662,,,,50136,16862,,3805,164.31,227064
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2025,,83722,,,,,94613,,6070,27542,10774,21498,45565,6555,,7336,182.79,203515
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2020,79628,37878,18737,16485,0.15704984578938405,,48679,,,8455,3154,2565,14819,,,,261.18,29820
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2021,,59873,13105,5149,,,20731,,,10585,,,8135,,1065,,,284787
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2022,,35311,,,,185116,,60836,,,,2093,50369,2369,4613,,,70566
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2023,86108,28498,8512,9213,,,47727,,,10394,2530,,18549,2436,12076,13184,222.61,
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2024,,,10329,8947,,86328,62367,23961,,,,1477,,,11560,,117.69,
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2025,93743,46761,17917,15203,0.12237477611786701,,44720,20649,4105,4087,3180,,,4610,,,,24748
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2020,107884,37356,22227,24471,,,,60129,24222,13643,5488,12753,,8515,,,745.69,402106
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2021,125354,83340,,26008,0.12161912528059143,93089,67361,,,15250,,4908,30234,,244,2978,272.69,
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2022,149263,63527,,19395,0.296229937439652,158208,116964,41244,8761,20455,2745,22901,37004,8174,,,,305073
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2023,158696,75117,26235,,0.24175705676683412,525432,,,78005,17765,8748,54586,132031,,877,,261.42,424768
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2024,,77448,19909,23436,0.18048007741154493,271817,106446,165371,33297,23856,,37074,42991,11361,5642,106,,217795
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2025,,,,,0.14274028019782006,221989,162525,59464,45536,10975,3554,18239,66348,,,,543.14,116197
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2020,72714,54010,12525,,,53334,,18685,10029,5701,3886,1635,14619,6460,0,13293,626.06,113326
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2021,,51057,11900,,,,74292,112562,24706,7753,4731,10169,32600,,,13391,349.99,
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2022,87003,32332,,12182,,66524,34053,32471,,7696,,,14588,,,13406,,79661
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2023,89374,,,11884,,,33171,70860,22183,7056,3957,14819,8455,5904,,,755.05,
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2024,91983,64502,,,0.24692681215127155,73012,53407,,10033,6190,5362,4705,,7169,,12624,736.84,
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2025,98381,,16565,,0.11678949243240005,120811,87626,,8454,6495,4358,8899,29300,4158,0,14273,345.93,418281
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2020,15631,11723,,2814,0.25624660992217896,14445,10116,4329,3451,937,266,453,,,,,564.08,
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2021,15115,8665,3017,1102,0.263860234862217,10369,3855,,370,1076,936,1495,1346,394,,,507.39,55441
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2022,17176,11725,2921,1275,0.29676887030293425,13861,7666,,1722,1324,1006,801,3545,,,14416,513.93,415210
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2023,19203,9524,3778,4668,,,9629,,2062,,,719,4458,517,347,13236,206.43,235031
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2024,20948,9857,1168,4613,0.13636797143153837,37775,,,3962,,,1839,6778,,1739,,,380292
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2025,23323,13776,3456,,0.11861067011093435,41213,,13010,4013,2289,1123,3475,,,323,10573,,129445
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2020,365060,231556,87678,68643,,307723,157361,150362,,42355,22596,45319,72096,,0,4604,,67659
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2021,340508,110507,,,,282967,103532,,9253,23302,9087,16327,50873,30284,,1800,66.29,248415
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2022,,224247,29590,78160,,915627,,464758,,30058,,88430,,,3921,4531,476.99,
