id,company,depth,operation,expression,question,answer,answer_formatted,result_type,computation_trace
FQ-00007,Plex Technologies,0,,inventories_Dec_31_2024,What was the inventories reported by Plex Technologies as of Dec 31 2024?,11184.0,"11,184",numeric,inventories_Dec_31_2024 = 11184.0
FQ-00026,Mira Systems,0,,gross_profit_Q_Oct_31_2024,What was the gross profit reported by Mira Systems for the quarter ended Oct 31 2024?,22715.0,"22,715",numeric,gross_profit_Q_Oct_31_2024 = 22715.0
FQ-00075,Peak Systems,0,,net_income_YTD_Oct_31_2024,What was the net income reported by Peak Systems for the year-to-date period ended Oct 31 2024?,3927.0,"3,927",numeric,net_income_YTD_Oct_31_2024 = 3927.0
FQ-00098,Nova Holdings,1,divide,(net_income_Q_Oct_31_2025 ÷ revenues_Q_Oct_31_2025),What is the ratio of net income to total revenues for Nova Holdings for the quarter ended Oct 31 2025?,0.0493,0.05,numeric,7492.0 / 151966.0 = 0.0493
FQ-00113,Apex Technologies,1,divide,(gross_profit_YTD_Oct_31_2025 ÷ cost_of_sales_YTD_Oct_31_2025),What is the ratio of gross profit to cost of sales for Apex Technologies for the year-to-date period ended Oct 31 2025?,0.5261,0.53,numeric,118617.0 / 225480.0 = 0.5261
FQ-00146,Crest Systems,1,subtract,(sga_expense_Q_Oct_31_2024 - sga_expense_Q_Oct_31_2025),"What is the difference between selling general and administrative expense (for the quarter ended Oct 31 2024) and selling general and administrative expense (for the quarter ended Oct 31 2025) (i.e., selling general and administrative expense (for the quarter ended Oct 31 2024) minus selling general and administrative expense (for the quarter ended Oct 31 2025)) for Crest Systems?",62.0,62.00,numeric,5742.0 - 5680.0 = 62.0
FQ-00156,Zion Solutions,1,pct_change,"%Δ(tax, YTD_Oct_31_2025 → YTD_Oct_31_2024)",What is the percentage change in provision for income taxes for Zion Solutions from for the year-to-date period ended Oct 31 2024 to for the year-to-date period ended Oct 31 2025?,4.08,4.08%,percentage,(1530.0 - 1470.0) / |1470.0| × 100 = 4.08%
FQ-00191,Orion Enterprises,1,ratio,"ratio(cf_capex_YTD_Oct_31_2024, ci_net_income_YTD_Oct_31_2024)",What is the ratio of capital expenditures to net income for Orion Enterprises for the year-to-date period ended Oct 31 2024?,-0.6256,-0.6256,ratio,-7548.0 / 12066.0 = -0.6256
FQ-00199,Alto Inc,1,divide,(cash_Oct_31_2025 ÷ long_term_debt_Oct_31_2025),What is the ratio of cash and cash equivalents to long-term debt for Alto Inc as of Oct 31 2025?,0.4008,0.40,numeric,7318.0 / 18258.0 = 0.4008
FQ-00217,Peak Systems,1,greater_equal,(cf_operating_YTD_Oct_31_2025 ≥ cf_repurchases_YTD_Oct_31_2025),Is net cash from operating activities greater than or equal to share repurchases for Peak Systems for the year-to-date period ended Oct 31 2025?,True,Yes,boolean,7198.0 ≥ -1262.0 → True
