cik,name,sic,sic_description,fiscal_year_end,state,entity_type,fy_month,fy_month_name,industry
1616678,BlackRock Science & Technology Trust,0,,1231,DE,other,12,Dec,Unknown
1505952,"DOMO, INC.",7372,Services-Prepackaged Software,0131,DE,operating,1,Jan,Software & IT Services
1070235,BLACKBERRY Ltd,7372,Services-Prepackaged Software,0228,,operating,2,Feb,Software & IT Services
1375365,"Super Micro Computer, Inc.",3571,Electronic Computers,0630,CA,operating,6,Jun,Manufacturing (Other)
56978,KULICKE & SOFFA INDUSTRIES INC,3674,Semiconductors & Related Devices,1004,PA,operating,10,Oct,Electronics & Tech Hardware
1714899,Denali Therapeutics Inc.,2836,"Biological Products, (No Diagnostic Substances)",1231,DE,operating,12,Dec,Chemicals & Pharma
2087856,Aica Kogyo Co Limited/ADR,0,,0331,M0,other,3,Mar,Unknown
2039096,ELC Group Holdings Ltd.,7363,Services-Help Supply Services,0630,E9,other,6,Jun,Personal Services
1002590,"STAR GROUP, L.P.",5990,"Retail-Retail Stores, NEC",0930,DE,operating,9,Sep,Retail (Misc)
19617,JPMORGAN CHASE & CO,6021,National Commercial Banks,1231,DE,operating,12,Dec,Banking
733099,ROGERS COMMUNICATIONS INC,4841,Cable & Other Pay Television Services,1231,,other,12,Dec,Transportation
1534969,"SERA PROGNOSTICS, INC.",8071,Services-Medical Laboratories,1231,DE,operating,12,Dec,Healthcare Services
1855066,NYLI CBRE Global Infrastructure Megatrends Term Fund,0,,0531,DE,other,5,May,Unknown
1170858,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO-SABESP,4941,Water Supply,1231,D5,other,12,Dec,Utilities
2081119,"RoboStrategy, Inc.",0,,1231,MD,other,12,Dec,Unknown
1004980,PG&E Corp,4931,Electric & Other Services Combined,1231,CA,operating,12,Dec,Utilities
899051,ALLSTATE CORP,6331,"Fire, Marine & Casualty Insurance",1231,DE,operating,12,Dec,Insurance
1365767,Allot Ltd.,3576,Computer Communications Equipment,1231,L3,other,12,Dec,Manufacturing (Other)
