depth,question,answer,entity,period,concept,kind,semantic_type,derivation,sampled_node_id,sampled_node_family,sampled_node_depth,binding_entities,binding_periods,id,expression.op,expression.left.op,expression.left.left.op,expression.left.left.left.op,expression.left.left.left.left.leaf,expression.left.left.left.left.depth,expression.left.left.left.right.leaf,expression.left.left.left.right.depth,expression.left.left.left.depth,expression.left.left.right.op,expression.left.left.right.left.leaf,expression.left.left.right.left.depth,expression.left.left.right.right.leaf,expression.left.left.right.right.depth,expression.left.left.right.depth,expression.left.left.depth,expression.left.right.op,expression.left.right.left.op,expression.left.right.left.left.leaf,expression.left.right.left.left.depth,expression.left.right.left.right.leaf,expression.left.right.left.right.depth,expression.left.right.left.depth,expression.left.right.right.op,expression.left.right.right.left.leaf,expression.left.right.right.left.depth,expression.left.right.right.right.leaf,expression.left.right.right.right.depth,expression.left.right.right.depth,expression.left.right.depth,expression.left.depth,expression.right.op,expression.right.left.op,expression.right.left.left.op,expression.right.left.left.left.leaf,expression.right.left.left.left.depth,expression.right.left.left.right.leaf,expression.right.left.left.right.depth,expression.right.left.left.depth,expression.right.left.right.op,expression.right.left.right.left.leaf,expression.right.left.right.left.depth,expression.right.left.right.right.leaf,expression.right.left.right.right.depth,expression.right.left.right.depth,expression.right.left.depth,expression.right.right.op,expression.right.right.left.op,expression.right.right.left.left.leaf,expression.right.right.left.left.depth,expression.right.right.left.right.leaf,expression.right.right.left.right.depth,expression.right.right.left.depth,expression.right.right.right.op,expression.right.right.right.left.leaf,expression.right.right.right.left.depth,expression.right.right.right.right.leaf,expression.right.right.right.right.depth,expression.right.right.right.depth,expression.right.right.depth,expression.right.depth,expression.depth,binding.L849,binding.L861,binding.L863,binding.L848,binding.L850,binding.L851,binding.L852,binding.L853,binding.L854,binding.L855,binding.L856,binding.L857,binding.L858,binding.L859,binding.L860,binding.L862,flags.cross_company,flags.cross_year,flags.depth3,flags.depth4plus,expression.left.left.leaf,expression.left.right.leaf,expression.right.left.leaf,expression.right.right.leaf,binding.L581,binding.L583,binding.L580,binding.L582,binding.L909,binding.L908,binding.L910,binding.L911,expression.left.left.left.leaf,expression.left.left.right.leaf,expression.left.right.left.leaf,expression.left.right.right.leaf,expression.right.left.left.leaf,expression.right.left.right.leaf,expression.right.right.left.leaf,expression.right.right.right.leaf,binding.L971,binding.L973,binding.L968,binding.L969,binding.L970,binding.L972,binding.L974,binding.L975,binding.L11,binding.L8,binding.L9,binding.L10,binding.L543,binding.L540,binding.L541,binding.L542,binding.L285,binding.L287,binding.L284,binding.L286,binding.L905,binding.L904,binding.L906,binding.L907,binding.L83,binding.L80,binding.L81,binding.L82,binding.L320,binding.L321,binding.L322,binding.L323,binding.L324,binding.L325,binding.L326,binding.L327,binding.L249,binding.L251,binding.L248,binding.L250,binding.L252,binding.L253,binding.L254,binding.L255,binding.L977,binding.L979,binding.L976,binding.L978,binding.L943,binding.L940,binding.L941,binding.L942,binding.L845,binding.L847,binding.L844,binding.L846,binding.L735,binding.L732,binding.L733,binding.L734,binding.L643,binding.L640,binding.L641,binding.L642,expression.left.leaf,expression.right.leaf,binding.L200,binding.L201,binding.L508,binding.L509,binding.L510,binding.L511,binding.L1020,binding.L1021,binding.L494,binding.L495,binding.L460,binding.L461,binding.L278,binding.L279,binding.L384,binding.L385,binding.L632,binding.L633,binding.L488,binding.L489,binding.L880,binding.L881,binding.L762,binding.L763,binding.L476,binding.L477,binding.L692,binding.L693,binding.L924,binding.L925,binding.L132,binding.L133,binding.L134,binding.L135,binding.L626,binding.L627,binding.L800,binding.L801,binding.L528,binding.L529,binding.L736,binding.L737,binding.L738,binding.L739,binding.L70,binding.L71,binding.L984,binding.L985,binding.L204,binding.L205,binding.L826,binding.L827,binding.L600,binding.L601,binding.L602,binding.L603,binding.L490,binding.L491,binding.L484,binding.L485,binding.L260,binding.L261,binding.L258,binding.L259,binding.L398,binding.L399,binding.L964,binding.L965,binding.L560,binding.L561,binding.L44,binding.L45,binding.L274,binding.L275,binding.L526,binding.L527,binding.L164,binding.L165,binding.L347,binding.L344,binding.L345,binding.L346,binding.L712,binding.L713,binding.L314,binding.L315,binding.L650,binding.L651,binding.L746,binding.L747,binding.L262,binding.L263,binding.L864,binding.L865,binding.L306,binding.L307,binding.L670,binding.L671,binding.L578,binding.L579,binding.L952,binding.L953,binding.L276,binding.L277,binding.L574,binding.L575,binding.L210,binding.L211,binding.L530,binding.L531,binding.L86,binding.L87,binding.L76,binding.L77,binding.L810,binding.L811,binding.L628,binding.L629,binding.L444,binding.L445,binding.L504,binding.L505,binding.L506,binding.L507,binding.L152,binding.L153,binding.L438,binding.L439,binding.L990,binding.L991,binding.L470,binding.L471,binding.L890,binding.L891
4,What is the ratio of combined value of difference between current liabilities for Apex Dynamics Corp in 2022 scaled by income tax for Apex Dynamics Corp in 2023 and combined value of total assets for Apex Dynamics Corp in 2022 and current liabilities for Apex Dynamics Corp in 2022 and difference between combined value of cost of goods sold for Apex Dynamics Corp in 2022 and gross profit for Apex Dynamics Corp in 2022 and difference between longterm assets for Apex Dynamics Corp in 2022 and current assets for Apex Dynamics Corp in 2022 to combined value of combined value of operating income for Apex Dynamics Corp in 2022 and pretax income for Apex Dynamics Corp in 2022 and difference between longterm liabilities for Apex Dynamics Corp in 2022 and gross profit for Apex Dynamics Corp in 2022 scaled by ratio of gross profit for Apex Dynamics Corp in 2022 scaled by income tax for Apex Dynamics Corp in 2024 to non operating expenses for Apex Dynamics Corp in 2022 scaled by income tax for Apex Dynamics Corp in 2025?,-0.6857394985874029,Apex Dynamics Corp,2022,,ratio_amounts,ratio,"ratio(sum_amount, scaled_amount)",N858,ratio,4,['Apex Dynamics Corp'],"['2022', '2023', '2024', '2025']",1,ratio,sum,diff,mul,2_current_liabilities,0.0,3_income_tax,0.0,1.0,sum,2_total_assets,0.0,2_current_liabilities,0.0,1.0,2.0,diff,sum,2_cost_of_goods_sold,0.0,2_gross_profit,0.0,1.0,diff,2_longterm_assets,0.0,2_current_assets,0.0,1.0,2.0,3,mul,sum,sum,2_operating_income,0.0,2_pretax_income,0.0,1.0,diff,2_longterm_liabilities,0.0,2_gross_profit,0.0,1.0,2.0,ratio,mul,2_gross_profit,0.0,4_income_tax,0.0,1.0,mul,2_non_operating_expenses,0.0,5_income_tax,0.0,1.0,2.0,3,4,3_income_tax,4_income_tax,5_income_tax,2_current_liabilities,2_total_assets,2_current_liabilities,2_cost_of_goods_sold,2_gross_profit,2_longterm_assets,2_current_assets,2_operating_income,2_pretax_income,2_longterm_liabilities,2_gross_profit,2_gross_profit,2_non_operating_expenses,False,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,What is the ratio of total equity for Cobalt Semiconductor in 2025 scaled by income tax for Cobalt Semiconductor in 2025 to inventories for Cobalt Semiconductor in 2025 scaled by income tax for Cobalt Semiconductor in 2022?,13.171707452781416,Cobalt Semiconductor,2025,,ratio_amounts,ratio,"ratio(scaled_amount, scaled_amount)",N579,ratio,2,['Cobalt Semiconductor'],"['2022', '2025']",2,ratio,mul,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,1,mul,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,1,2,,,,,,,,,,,,,,,,,False,True,False,False,71_total_equity,71_income_tax,71_inventories,68_income_tax,71_income_tax,68_income_tax,71_total_equity,71_inventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,What is the ratio of longterm assets for Quantum Bridge Holdings in 2023 scaled by income tax for Quantum Bridge Holdings in 2025 to combined value of total assets for Quantum Bridge Holdings in 2023 and revenue for Quantum Bridge Holdings in 2023?,0.03179882864489236,Quantum Bridge Holdings,2023,,ratio_amounts,ratio,"ratio(scaled_amount, sum_amount)",N905,ratio,2,['Quantum Bridge Holdings'],"['2023', '2025']",3,ratio,mul,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,1,sum,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,1,2,,,,,,,,,,,,,,,,,False,True,False,False,15_longterm_assets,17_income_tax,15_total_assets,15_revenue,,,,,17_income_tax,15_longterm_assets,15_total_assets,15_revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,What is the ratio of difference between combined value of total equity for Titan Consumer Brands in 2021 and longterm assets for Titan Consumer Brands in 2021 and pretax income for Titan Consumer Brands in 2021 scaled by income tax for Titan Consumer Brands in 2025 to current liabilities for Titan Consumer Brands in 2021 scaled by income tax for Titan Consumer Brands in 2023 scaled by ratio of current assets for Titan Consumer Brands in 2021 to income tax expense for Titan Consumer Brands in 2021?,3.6029401113925106,Titan Consumer Brands,2021,,ratio_amounts,ratio,"ratio(difference_amount, scaled_amount)",N969,ratio,3,['Titan Consumer Brands'],"['2021', '2023', '2025']",4,ratio,diff,sum,,,,,,0.0,,,,,,0.0,1.0,mul,,,,,,0.0,,,,,,0.0,1.0,2,mul,mul,,,,,,0.0,,,,,,0.0,1.0,ratio,,,,,,0.0,,,,,,0.0,1.0,2,3,,,,,,,,,,,,,,,,,False,True,True,False,,,,,,,,,,,,,61_total_equity,61_longterm_assets,61_pretax_income,65_income_tax,61_current_liabilities,63_income_tax,61_current_assets,61_income_tax_expense,65_income_tax,63_income_tax,61_total_equity,61_longterm_assets,61_pretax_income,61_current_liabilities,61_current_assets,61_income_tax_expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,What is the ratio of longterm liabilities for Titan Consumer Brands in 2025 scaled by income tax for Titan Consumer Brands in 2021 to combined value of accounts receivable for Titan Consumer Brands in 2025 and longterm liabilities for Titan Consumer Brands in 2025?,0.15946392247589183,Titan Consumer Brands,2025,,ratio_amounts,ratio,"ratio(scaled_amount, sum_amount)",N905,ratio,2,['Titan Consumer Brands'],"['2021', '2025']",5,ratio,mul,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,1,sum,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,1,2,,,,,,,,,,,,,,,,,False,True,False,False,65_longterm_liabilities,61_income_tax,65_accounts_receivable,65_longterm_liabilities,,,,,61_income_tax,65_longterm_liabilities,65_accounts_receivable,65_longterm_liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,What is the difference between combined value of net income for Helix BioSciences in 2023 and operating expenses for Helix BioSciences in 2023 and short term investments for Helix BioSciences in 2023 scaled by income tax for Helix BioSciences in 2024?,33453.364306,Helix BioSciences,2023,,difference_amount,amount,"diff(sum_amount, scaled_amount)",N9,amount,2,['Helix BioSciences'],"['2023', '2024']",6,diff,sum,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,1,mul,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,1,2,,,,,,,,,,,,,,,,,False,True,False,False,75_net_income,75_operating_expenses,75_short_term_investments,76_income_tax,,,,,,,,,,,,,,,,,,,,,,,,,76_income_tax,75_net_income,75_operating_expenses,75_short_term_investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,What is the ratio of combined value of operating income for ClearPath Logistics in 2025 and accounts receivable for ClearPath Logistics in 2025 to current assets for ClearPath Logistics in 2025 scaled by income tax for ClearPath Logistics in 2024?,3.766931316449633,ClearPath Logistics,2025,,ratio_amounts,ratio,"ratio(sum_amount, scaled_amount)",N538,ratio,2,['ClearPath Logistics'],"['2024', '2025']",7,ratio,sum,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,1,mul,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,1,2,,,,,,,,,,,,,,,,,False,True,False,False,83_operating_income,83_accounts_receivable,83_current_assets,82_income_tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82_income_tax,83_operating_income,83_accounts_receivable,83_current_assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,What is the ratio of total liabilities for Pinnacle Health Group in 2025 scaled by income tax for Pinnacle Health Group in 2020 to accounts receivable for Pinnacle Health Group in 2025 scaled by income tax for Pinnacle Health Group in 2025?,26.617541371799437,Pinnacle Health Group,2025,,ratio_amounts,ratio,"ratio(scaled_amount, scaled_amount)",N282,ratio,2,['Pinnacle Health Group'],"['2020', '2025']",8,ratio,mul,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,1,mul,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,1,2,,,,,,,,,,,,,,,,,False,True,False,False,35_total_liabilities,30_income_tax,35_accounts_receivable,35_income_tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30_income_tax,35_income_tax,35_total_liabilities,35_accounts_receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,What is the difference between net income for Quantum Bridge Holdings in 2025 scaled by income tax for Quantum Bridge Holdings in 2024 and combined value of net income for Quantum Bridge Holdings in 2025 and longterm liabilities for Quantum Bridge Holdings in 2025?,-38849.073418240005,Quantum Bridge Holdings,2025,,difference_amount,amount,"diff(scaled_amount, sum_amount)",N902,amount,2,['Quantum Bridge Holdings'],"['2024', '2025']",9,diff,mul,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,1,sum,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,1,2,,,,,,,,,,,,,,,,,False,True,False,False,17_net_income,16_income_tax,17_net_income,17_longterm_liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_income_tax,17_net_income,17_net_income,17_longterm_liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,What is the ratio of combined value of total equity for Meridian Systems Inc in 2021 and total assets for Meridian Systems Inc in 2021 to dividends paid for Meridian Systems Inc in 2021 scaled by income tax for Meridian Systems Inc in 2023?,551.9011824844087,Meridian Systems Inc,2021,,ratio_amounts,ratio,"ratio(sum_amount, scaled_amount)",N80,ratio,2,['Meridian Systems Inc'],"['2021', '2023']",10,ratio,sum,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,1,mul,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,1,2,,,,,,,,,,,,,,,,,False,True,False,False,7_total_equity,7_total_assets,7_dividends_paid,9_income_tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9_income_tax,7_total_equity,7_total_assets,7_dividends_paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
