question_id,depth,question,question_original,obstacle,useless_info_family_used,expression,expression_json,template_expression,answer,template_depth_requested,template_actual_depth,bound_expression_depth,tree_seed,binding_seed,master_seed,derived_prob,template_internal_nodes,template_leaf_slots,bound_leaf_count,leaf_1_key,leaf_1_concept,leaf_1_label,leaf_1_entity,leaf_1_period,leaf_1_unit,leaf_1_value,leaf_2_key,leaf_2_concept,leaf_2_label,leaf_2_entity,leaf_2_period,leaf_2_unit,leaf_2_value,leaf_3_key,leaf_3_concept,leaf_3_label,leaf_3_entity,leaf_3_period,leaf_3_unit,leaf_3_value,leaf_4_key,leaf_4_concept,leaf_4_label,leaf_4_entity,leaf_4_period,leaf_4_unit,leaf_4_value,leaf_5_key,leaf_5_concept,leaf_5_label,leaf_5_entity,leaf_5_period,leaf_5_unit,leaf_5_value,leaf_6_key,leaf_6_concept,leaf_6_label,leaf_6_entity,leaf_6_period,leaf_6_unit,leaf_6_value
3,1,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. could you give the longterm liabilities for Meridian Systems Inc in 2023 ?",could you give the longterm liabilities for Meridian Systems Inc in 2023 ?,unit_scale_change,,longterm_liabilities,"{""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""9_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""9_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}",43890.0,2,0,1,68887034,753960714,147638620,0.507,0,1,2,9_total_liabilities,total_liabilities,total liabilities,Meridian Systems Inc,2023,M_USD,75.315,9_current_liabilities,current_liabilities,current liabilities,Meridian Systems Inc,2023,M_USD,31.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. may you calculate the longterm liabilities for NovaStar Technologies in 2021 ?",may you calculate the longterm liabilities for NovaStar Technologies in 2021 ?,unit_scale_change,,longterm_liabilities,"{""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""19_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""19_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}",37127.0,4,0,1,978000584,118182704,147638620,0.564,0,1,2,19_total_liabilities,total_liabilities,total liabilities,NovaStar Technologies,2021,M_USD,67.361,19_current_liabilities,current_liabilities,current liabilities,NovaStar Technologies,2021,M_USD,30.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. state the pretax income for Pinnacle Health Group in 2020",state the pretax income for Pinnacle Health Group in 2020,unit_scale_change,,pretax_income,"{""derived"": ""pretax_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""operating_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""30_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""30_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""leaf"": ""30_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 2}, ""right"": {""leaf"": ""30_non_operating_expenses"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}","{""kind"": ""derived_concept"", ""name"": ""pretax_income"", ""depth"": 0}",-782.0000000000005,4,0,3,764986401,248688401,147638620,0.142,0,1,4,30_revenue,revenue,revenue,Pinnacle Health Group,2020,M_USD,15.631,30_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Pinnacle Health Group,2020,M_USD,11.723,30_operating_expenses,operating_expenses,operating expenses,Pinnacle Health Group,2020,M_USD,1.876,30_non_operating_expenses,non_operating_expenses,non operating expenses,Pinnacle Health Group,2020,M_USD,2.814,,,,,,,,,,,,,,
6,1,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. compute the gross profit for Quantum Bridge Holdings in 2020.",compute the gross profit for Quantum Bridge Holdings in 2020.,unit_scale_change,,gross_profit,"{""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""12_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""12_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}",41750.0,4,0,1,494855188,893229262,147638620,0.568,0,1,2,12_revenue,revenue,revenue,Quantum Bridge Holdings,2020,M_USD,79.628,12_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Quantum Bridge Holdings,2020,M_USD,37.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. Evaluate the current assets for Titan Consumer Brands in 2024 .",Evaluate the current assets for Titan Consumer Brands in 2024 .,unit_scale_change,,current_assets,"{""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""64_cash"", ""depth"": 0}, ""right"": {""leaf"": ""64_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""64_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""64_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}","{""kind"": ""derived_concept"", ""name"": ""current_assets"", ""depth"": 0}",229290.0,2,0,3,485658540,99870788,147638620,0.584,0,1,4,64_cash,cash,cash,Titan Consumer Brands,2024,M_USD,73.487,64_accounts_receivable,accounts_receivable,accounts receivable,Titan Consumer Brands,2024,M_USD,42.955,64_inventories,inventories,inventories,Titan Consumer Brands,2024,M_USD,45.127,64_short_term_investments,short_term_investments,short term investments,Titan Consumer Brands,2024,M_USD,67.721,,,,,,,,,,,,,,
7,2,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. provide the operating income for Pacific Crest Energy in 2025 .",provide the operating income for Pacific Crest Energy in 2025 .,unit_scale_change,,operating_income,"{""derived"": ""operating_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""53_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""53_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""leaf"": ""53_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 2}","{""kind"": ""derived_concept"", ""name"": ""operating_income"", ""depth"": 0}",111929.0,4,0,2,707584724,98410487,147638620,0.579,0,1,3,53_revenue,revenue,revenue,Pacific Crest Energy,2025,M_USD,218.005,53_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Pacific Crest Energy,2025,M_USD,86.886,53_operating_expenses,operating_expenses,operating expenses,Pacific Crest Energy,2025,M_USD,19.19,,,,,,,,,,,,,,,,,,,,,
8,3,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. state the pretax income for Pinnacle Health Group in 2020.",state the pretax income for Pinnacle Health Group in 2020.,unit_scale_change,,pretax_income,"{""derived"": ""pretax_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""operating_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""30_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""30_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""leaf"": ""30_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 2}, ""right"": {""leaf"": ""30_non_operating_expenses"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}","{""kind"": ""derived_concept"", ""name"": ""pretax_income"", ""depth"": 0}",-782.0000000000005,4,0,3,598346707,963552032,147638620,0.164,0,1,4,30_revenue,revenue,revenue,Pinnacle Health Group,2020,M_USD,15.631,30_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Pinnacle Health Group,2020,M_USD,11.723,30_operating_expenses,operating_expenses,operating expenses,Pinnacle Health Group,2020,M_USD,1.876,30_non_operating_expenses,non_operating_expenses,non operating expenses,Pinnacle Health Group,2020,M_USD,2.814,,,,,,,,,,,,,,
9,3,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. state the current assets for Pacific Crest Energy in 2020",state the current assets for Pacific Crest Energy in 2020,unit_scale_change,,current_assets,"{""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""48_cash"", ""depth"": 0}, ""right"": {""leaf"": ""48_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""48_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""48_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}","{""kind"": ""derived_concept"", ""name"": ""current_assets"", ""depth"": 0}",119508.00000000001,3,0,3,633150412,493934060,147638620,0.363,0,1,4,48_cash,cash,cash,Pacific Crest Energy,2020,M_USD,82.616,48_accounts_receivable,accounts_receivable,accounts receivable,Pacific Crest Energy,2020,M_USD,7.623,48_inventories,inventories,inventories,Pacific Crest Energy,2020,M_USD,13.28,48_short_term_investments,short_term_investments,short term investments,Pacific Crest Energy,2020,M_USD,15.989,,,,,,,,,,,,,,
11,2,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. Which quantity is given by the operating income for Meridian Systems Inc in 2020?",Which quantity is given by the operating income for Meridian Systems Inc in 2020?,unit_scale_change,,operating_income,"{""derived"": ""operating_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""6_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""6_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""leaf"": ""6_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 2}","{""kind"": ""derived_concept"", ""name"": ""operating_income"", ""depth"": 0}",77293.0,4,0,2,463642766,915368849,147638620,0.406,0,1,3,6_revenue,revenue,revenue,Meridian Systems Inc,2020,M_USD,150.714,6_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Meridian Systems Inc,2020,M_USD,52.78,6_operating_expenses,operating_expenses,operating expenses,Meridian Systems Inc,2020,M_USD,20.641,,,,,,,,,,,,,,,,,,,,,
14,1,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. Which quantity is given by the gross profit for Meridian Systems Inc in 2024 ?",Which quantity is given by the gross profit for Meridian Systems Inc in 2024 ?,unit_scale_change,,gross_profit,"{""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""10_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""10_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}",63825.0,2,0,1,220347170,801416380,147638620,0.485,0,1,2,10_revenue,revenue,revenue,Meridian Systems Inc,2024,M_USD,189.603,10_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Meridian Systems Inc,2024,M_USD,125.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,
