Field,Value
Company Name,Crimson Pharmaceuticals
Ticker,CRPH
Sector,Healthcare
Country,Switzerland
Exchange,SIX
Credit Rating,CCC

Income Statement,2022,2023,2024
Revenue,245816,285988,287993
Cost Of Goods Sold,109259,145250,88170
Gross Profit,136557,140738,199823
Operating Expenses,17433,17400,37899
Operating Income,119124,123338,161924
Net Income,103380,98216,138455

Balance Sheet,2022,2023,2024
Total Assets,309602,273108,219895
Total Liabilities,192229,169890,83003
Total Equity,117373,103218,136892
Current Assets,151947,79168,98591
Current Liabilities,67302,44665,34191
Cash,61088,24239,14045
Long Term Debt,77076,110826,48321
Accounts Receivable,10735,15186,38379
Inventories,3436,8344,5109

Per Share & Other,2022,2023,2024
Capex,7196,16810,15333
Dividends Paid,31946,1134,26722
Shares Outstanding,12987,9487,7136
Stock Price,662.57,642.46,373.58
Employees,5570,356342,76598

