company_name,ticker,sector,country,exchange,credit_rating,year,revenue,cost_of_goods_sold,operating_expenses,non_operating_expenses,income_tax,total_assets,total_liabilities,total_equity,cash,accounts_receivable,inventories,short_term_investments,current_liabilities,capex,dividends_paid,shares_outstanding,stock_price,employees
Apex Dynamics Corp,APEX,Technology,USA,NYSE,BB,2020,457135811171,325811142679,23987177463,86893483230,0.21751521754646597,369246684080,139014434045,230232250035,23233485190,44186469892,31195772227,53568991845,38236059023,37651340015,675941369,11807609892,695968085.2,440667213389
Apex Dynamics Corp,APEX,Technology,USA,NYSE,BB,2021,532933590331,223225354294,96438348368,87616759304,0.19460932319978724,1051898652836,611410555797,440488097039,174629679415,57600147967,16122135746,68805726153,287203632475,12760177131,27951957574,7180751048,225838718.63,189358144477
Apex Dynamics Corp,APEX,Technology,USA,NYSE,BB,2022,540715754575,355327803971,60662824573,118183871396,0.27164695664671484,481997630713,359218863937,122778766776,38632414238,37876081374,41461095565,57051324706,118620203910,36984054940,1388900072,1430374070,361747529.48,457149238682
Apex Dynamics Corp,APEX,Technology,USA,NYSE,BB,2023,559104254302,289620000412,85710840775,69766170508,0.11124116408120051,447359107161,144509485704,302849621457,83255886369,44917605018,35179311935,37309781028,56672006813,50327458863,7041571163,3090828964,60237599.95,21370167031
Apex Dynamics Corp,APEX,Technology,USA,NYSE,BB,2024,522290928615,241386564836,46913192015,64591920493,0.19284369275737756,672768584832,495364680326,177403904506,121003053855,33527844354,20165983041,48745098354,242793137615,33482346645,25956172354,5229310157,672558209.65,133036663948
Apex Dynamics Corp,APEX,Technology,USA,NYSE,BB,2025,602015325652,205092392524,33405889406,36078904028,0.2707642653171093,487147754686,227841809745,259305944941,38337182277,37632702888,9613711683,49310180412,86197183738,58618875487,82582392903,10264776000,387166307.13,70495474938
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,B,2020,279077076611,115419496926,58890039245,31003213760,0.2934048886736753,260506025737,153928137633,106577888104,29391488021,20894757456,6089513291,19625930590,64541920199,14448435118,17185730754,1624450334,416538268.21,332865949000
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,B,2021,322646451954,151128692971,57904850246,55433893662,0.15969518525065948,750819998996,240876795036,509943203960,185782459430,33574420259,19948066801,34958604951,103040696166,14165240410,17450586098,2333946516,615897394.82,450345087149
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,B,2022,369598076677,244327866538,62834134643,67306051278,0.23615115007747636,317104628181,213799137181,103305491000,79099593793,24372268210,18181301272,20408374706,55337577485,24306024205,0,2929735890,585341653.12,115069781018
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,B,2023,395358260015,258249468337,91448461376,72893663324,0.20146297112136308,300766321580,216511549636,84254771944,67019414325,22975686157,8441761481,8395043573,68128165654,32037246747,0,2827718519,548574209.89,171138069287
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,B,2024,373615117444,171817196728,74290371903,41627095815,0.2576180873615198,535587051202,268262671279,267324379923,50715405628,46747242379,13946359557,70319940320,106203489415,9600884436,24081977281,13352448316,407874738.98,434411388576
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,B,2025,383653177356,166605263027,23330868230,84729019296,0.1274730518346248,710000892002,414759881636,295241010366,110240978942,50128927312,13242500425,38548564120,177897611446,22638018802,29629361520,9502388307,153807049.25,319076989731
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2020,223876939425,145093306126,36996958953,18287840806,0.25704218113954236,181173752046,71331274762,109842477284,22722179892,18568571032,10994199820,13920673411,17916082574,17563756104,3727647772,14256022371,715225017.87,379639630299
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2021,239254925492,73705412234,12160075793,47066384024,0.1452531422578167,176913695078,94345954609,82567740469,9304918940,21612770190,4407212322,3386160525,24664824037,13511707774,34478273460,7852297342,426432350.28,219664288868
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2022,266122881179,95858857232,66325215665,39395696826,0.2500231164521367,534533339832,391938429442,142594910390,111526014061,11153868155,4712591785,79048465217,118677999043,16066020462,424292150,1935113528,573221420.73,397102941748
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2023,272790292215,160440106848,55717398818,47636538209,0.2187848135749701,762937833495,283677322978,479260510517,163227804506,12227417204,5623855311,55087163675,79684609895,20772832678,710498478,3161874243,553305922.41,9605751291
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2024,283113770161,97799084409,43617030296,49420213836,0.2401452692406826,352749787483,258084366889,94665420594,50284007060,28812430494,5550281889,42282850394,96635759472,23282345956,17080661703,12489332426,778898982.02,182171309093
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2025,292946805304,109025461609,46762440205,67984553406,0.23764078309107473,334110284444,161279501983,172830782461,10960443872,14325181962,3745680859,30197350961,60242088421,24127713431,20027881377,1218218383,583007355.03,452865795059
NovaStar Technologies,NVST,Technology,Germany,XETRA,AA,2020,142930212323,61918794482,20418362865,9999652500,0.13494036178907817,411507221771,214097278219,197409943552,84914985397,10186737812,7183213308,9588030141,94106672998,12600712940,803358413,9983989910,148852136.94,181976065098
NovaStar Technologies,NVST,Technology,Germany,XETRA,AA,2021,149013331407,86399891310,33631579848,10220863605,0.26299285790729926,286871214154,166443314472,120427899682,69339120397,10011208700,6060348757,37033358523,74895292853,12480278462,3588637153,1784542690,561493350.72,34029965854
NovaStar Technologies,NVST,Technology,Germany,XETRA,AA,2022,176415505669,65578570542,23499523284,29664277969,0.26045295680901914,158352012365,69857711792,88494300573,17980106386,13382861116,1557235940,16757598331,32108987824,5372280196,16607741592,13813929986,103655921.31,208585710549
NovaStar Technologies,NVST,Technology,Germany,XETRA,AA,2023,164573129904,68746440744,18571680920,31419254502,0.23558578420403287,134781724049,87604974541,47176749508,20797182537,22676458459,7361352827,7731361365,33357853722,4545406344,9818631773,9959527616,210132940.96,176145996291
NovaStar Technologies,NVST,Technology,Germany,XETRA,AA,2024,182571301470,86391731666,39765235206,29516091866,0.2975583249522954,499539323707,335064418149,164474905558,32232286376,22800336192,11295135744,65798414976,90037274265,7169820628,3715766475,14555161227,54525310.9,115239728969
NovaStar Technologies,NVST,Technology,Germany,XETRA,AA,2025,200851955592,96705124430,19482639692,28484607211,0.2602522575453444,239760734511,173396325167,66364409344,30774485813,10418328561,8186914185,24329054105,47798574979,12969107365,6854505003,102528761,86353004.33,304080621651
Atlas Global Industries,ATGL,Industrials,UK,LSE,A,2020,374833693090,207301645561,67814610655,52942104790,0.16817084008953342,290484718964,207602502273,82882216691,62672030684,27436800248,24827301639,27303577021,89095627623,21066626805,5654183394,1551811633,532244549.24,6087489158
Atlas Global Industries,ATGL,Industrials,UK,LSE,A,2021,382120053016,223596605649,80238540513,60962713473,0.17477807209208018,893666887367,653535084204,240131803163,123623506497,46688905351,26054911030,60134403389,204930517661,11333552605,1120251819,12797696139,184237760.93,413154301135
Atlas Global Industries,ATGL,Industrials,UK,LSE,A,2022,371941159654,168143476074,74920058828,22056137689,0.22664809351781937,336120730724,130251669665,205869061059,76025789510,31889784122,16244526460,27087183389,63948840244,29345084233,143333611,8343072301,354756148.19,294634752117
Atlas Global Industries,ATGL,Industrials,UK,LSE,A,2023,438453107810,285646356775,101737035670,82588580618,0.1347300540365199,342998915728,125855429704,217143486024,59906406495,44115431830,17664281883,45754230392,44636665298,33059909251,0,3798757957,327327947.22,174715108986
Atlas Global Industries,ATGL,Industrials,UK,LSE,A,2024,439491624235,291013147130,34120372235,74935471018,0.27728737108174983,480448122530,346105927255,134342195275,72315760775,31375781489,33695371728,42039892383,105332368621,33907114076,2389989514,10330508330,738135535.07,70672505653
Atlas Global Industries,ATGL,Industrials,UK,LSE,A,2025,491752014624,363321520549,42075551348,77941856218,0.22737548697349635,426711284238,299490202617,127221081621,65586226976,48329696380,51790601560,46689600189,125354880179,30838862639,2324107691,13174410801,346573299.8,11321404977
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,CCC,2020,16821429125,10120013661,1513600325,3364908281,0.132187078868646,26122719799,12906162628,13216557171,5607607502,1834536398,590687726,3017256495,3330778516,474337396,515096946,13033727067,595501596.94,433096535176
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,CCC,2021,18972478896,10483655842,1850178963,3924674202,0.2597643504979141,29407110050,19902957023,9504153027,6876166278,1494186395,1513538562,4311528765,6531423942,399128194,443682305,3844982813,502140931.06,391557821974
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,CCC,2022,22077003785,14868697948,5128427829,4215069913,0.2295264771100001,18304011658,11710017030,6593994628,2978888848,2596579614,2161279394,936888660,3446919331,771770692,0,2689547465,418369779.43,191713122391
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,CCC,2023,22959690702,12638606689,1745241996,3829612387,0.1510032296264844,32956083228,22709058218,10247025010,2111076178,1271285843,782859361,564200294,10970643071,1674937376,992246345,7409209023,464551437.59,182252366141
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,CCC,2024,26163228922,11591266742,2459144759,2270283304,0.11363529382088518,28872368898,16956480410,11915888488,4277381096,1287088414,565140910,1151127877,5646014182,980483300,1259050893,11314569774,431441633.05,498332385889
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,CCC,2025,30104268103,22322614002,1558219172,5532794002,0.18913344925693848,21729724592,14381136053,7348588539,3621236297,4090859408,2427175253,1193639445,6888321237,1531406370,211683901,8149535963,237020760.51,456111283681
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,AAA,2020,411126475675,217457544833,60583984668,44930694420,0.2303056391962057,600732478980,206119346686,394613132294,30703686208,56391290211,26210463922,50851292540,83835595680,28927335206,5720763560,3276309465,553043068.67,418654213484
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,AAA,2021,401901734533,270454508122,90720252216,79687069217,0.18704755253577404,313959922168,103914694800,210045227368,56804636429,17030704405,30613523845,4804869042,27881560349,16137415694,0,1149587174,659971165.13,455938354343
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,AAA,2022,415621525574,209060349138,54400536955,47081959356,0.17790037344887663,940390586837,225768489704,714622097133,177228689945,19253151417,24454548771,15396412786,104319222706,25031619364,12359991153,4418565323,553414747.35,305250091387
