question_id,depth,question,expression,expression_json,template_expression,answer,template_depth_requested,template_actual_depth,bound_expression_depth,tree_seed,binding_seed,master_seed,derived_prob,template_internal_nodes,template_leaf_slots,bound_leaf_count,leaf_1_key,leaf_1_concept,leaf_1_label,leaf_1_entity,leaf_1_period,leaf_1_unit,leaf_1_value,leaf_2_key,leaf_2_concept,leaf_2_label,leaf_2_entity,leaf_2_period,leaf_2_unit,leaf_2_value,leaf_3_key,leaf_3_concept,leaf_3_label,leaf_3_entity,leaf_3_period,leaf_3_unit,leaf_3_value,leaf_4_key,leaf_4_concept,leaf_4_label,leaf_4_entity,leaf_4_period,leaf_4_unit,leaf_4_value,leaf_5_key,leaf_5_concept,leaf_5_label,leaf_5_entity,leaf_5_period,leaf_5_unit,leaf_5_value,leaf_6_key,leaf_6_concept,leaf_6_label,leaf_6_entity,leaf_6_period,leaf_6_unit,leaf_6_value,leaf_7_key,leaf_7_concept,leaf_7_label,leaf_7_entity,leaf_7_period,leaf_7_unit,leaf_7_value,leaf_8_key,leaf_8_concept,leaf_8_label,leaf_8_entity,leaf_8_period,leaf_8_unit,leaf_8_value,leaf_9_key,leaf_9_concept,leaf_9_label,leaf_9_entity,leaf_9_period,leaf_9_unit,leaf_9_value,leaf_10_key,leaf_10_concept,leaf_10_label,leaf_10_entity,leaf_10_period,leaf_10_unit,leaf_10_value,leaf_11_key,leaf_11_concept,leaf_11_label,leaf_11_entity,leaf_11_period,leaf_11_unit,leaf_11_value,leaf_12_key,leaf_12_concept,leaf_12_label,leaf_12_entity,leaf_12_period,leaf_12_unit,leaf_12_value,leaf_13_key,leaf_13_concept,leaf_13_label,leaf_13_entity,leaf_13_period,leaf_13_unit,leaf_13_value,leaf_14_key,leaf_14_concept,leaf_14_label,leaf_14_entity,leaf_14_period,leaf_14_unit,leaf_14_value,leaf_15_key,leaf_15_concept,leaf_15_label,leaf_15_entity,leaf_15_period,leaf_15_unit,leaf_15_value,leaf_16_key,leaf_16_concept,leaf_16_label,leaf_16_entity,leaf_16_period,leaf_16_unit,leaf_16_value,leaf_17_key,leaf_17_concept,leaf_17_label,leaf_17_entity,leaf_17_period,leaf_17_unit,leaf_17_value,leaf_18_key,leaf_18_concept,leaf_18_label,leaf_18_entity,leaf_18_period,leaf_18_unit,leaf_18_value,leaf_19_key,leaf_19_concept,leaf_19_label,leaf_19_entity,leaf_19_period,leaf_19_unit,leaf_19_value
1,0,whats the value of the total equity for ClearPath Logistics in 2024?,82_total_equity,"{""leaf"": ""82_total_equity"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",174053.0,2,0,0,104972464,708415581,470230362,0.443,0,1,1,82_total_equity,total_equity,total equity,ClearPath Logistics,2024,M_USD,174053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,what do we obtain as the current liabilities for Crimson Pharmaceuticals in 2025,89_current_liabilities,"{""leaf"": ""89_current_liabilities"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",213346.0,4,0,0,826558493,828084080,470230362,0.265,0,1,1,89_current_liabilities,current_liabilities,current liabilities,Crimson Pharmaceuticals,2025,M_USD,213346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,give the result of difference between difference between current liabilities and operating expenses and difference between revenue and cash for Orion Financial Group in 2020 scaled by growth in short term investments for Orion Financial Group from 2020 to 2022,"mul(diff(diff(54_current_liabilities, 54_operating_expenses), diff(54_revenue, 54_cash)), growth(54_short_term_investments, 56_short_term_investments))","{""op"": ""mul"", ""left"": {""op"": ""diff"", ""left"": {""op"": ""diff"", ""left"": {""leaf"": ""54_current_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""54_operating_expenses"", ""depth"": 0}, ""depth"": 1}, ""right"": {""op"": ""diff"", ""left"": {""leaf"": ""54_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""54_cash"", ""depth"": 0}, ""depth"": 1}, ""depth"": 2}, ""right"": {""op"": ""growth"", ""left"": {""leaf"": ""54_short_term_investments"", ""depth"": 0}, ""right"": {""leaf"": ""56_short_term_investments"", ""depth"": 0}, ""depth"": 1}, ""depth"": 3}","{""op"": ""mul"", ""left"": {""op"": ""diff"", ""left"": {""op"": ""diff"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""right"": {""op"": ""diff"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""depth"": 2, ""kind"": ""node""}, ""right"": {""op"": ""growth"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""depth"": 3, ""kind"": ""node""}",32736.414647533915,3,3,3,504974470,935450561,470230362,0.199,5,6,6,54_current_liabilities,current_liabilities,current liabilities,Orion Financial Group,2020,M_USD,11321.0,54_operating_expenses,operating_expenses,operating expenses,Orion Financial Group,2020,M_USD,21496.0,54_revenue,revenue,revenue,Orion Financial Group,2020,M_USD,87989.0,54_cash,cash,cash,Orion Financial Group,2020,M_USD,14348.0,54_short_term_investments,short_term_investments,short term investments,Orion Financial Group,2020,M_USD,7772.0,56_short_term_investments,short_term_investments,short term investments,Orion Financial Group,2022,M_USD,12753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,what's the value of the average dividends paid for Atlas Global Industries across years 2022 through 2024,"ratio(sum(sum(26_dividends_paid, 27_dividends_paid), 28_dividends_paid), 3.0)","{""op"": ""ratio"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""26_dividends_paid"", ""depth"": 0}, ""right"": {""leaf"": ""27_dividends_paid"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""28_dividends_paid"", ""depth"": 0}, ""depth"": 2}, ""right"": {""literal"": 3.0, ""depth"": 0}, ""depth"": 3}","{""kind"": ""time_agg"", ""op"": ""avg"", ""depth"": 0}",4090.6666666666665,3,0,3,984215845,397029010,470230362,0.45,0,1,3,26_dividends_paid,dividends_paid,dividends paid,Atlas Global Industries,2022,M_USD,1628.0,27_dividends_paid,dividends_paid,dividends paid,Atlas Global Industries,2023,M_USD,10644.0,28_dividends_paid,dividends_paid,dividends paid,Atlas Global Industries,2024,M_USD,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,you should calculate the dividends paid for ClearPath Logistics in 2024 .,82_dividends_paid,"{""leaf"": ""82_dividends_paid"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",17869.0,1,0,0,58113410,534799907,470230362,0.339,0,1,1,82_dividends_paid,dividends_paid,dividends paid,ClearPath Logistics,2024,M_USD,17869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,What is the average accounts receivable for Apex Dynamics Corp across years 2022 through 2024?,"ratio(sum(sum(2_accounts_receivable, 3_accounts_receivable), 4_accounts_receivable), 3.0)","{""op"": ""ratio"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""2_accounts_receivable"", ""depth"": 0}, ""right"": {""leaf"": ""3_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""4_accounts_receivable"", ""depth"": 0}, ""depth"": 2}, ""right"": {""literal"": 3.0, ""depth"": 0}, ""depth"": 3}","{""kind"": ""time_agg"", ""op"": ""avg"", ""depth"": 0}",9045.0,3,0,3,452495959,743871932,470230362,0.54,0,1,3,2_accounts_receivable,accounts_receivable,accounts receivable,Apex Dynamics Corp,2022,M_USD,10946.0,3_accounts_receivable,accounts_receivable,accounts receivable,Apex Dynamics Corp,2023,M_USD,11694.0,4_accounts_receivable,accounts_receivable,accounts receivable,Apex Dynamics Corp,2024,M_USD,4495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,what is the value of the the minimum of short term investments for Apex Dynamics Corp using values from 2022 through 2025 ?,"min(min(min(2_short_term_investments, 3_short_term_investments), 4_short_term_investments), 5_short_term_investments)","{""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""leaf"": ""2_short_term_investments"", ""depth"": 0}, ""right"": {""leaf"": ""3_short_term_investments"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""4_short_term_investments"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""5_short_term_investments"", ""depth"": 0}, ""depth"": 3}","{""kind"": ""time_agg"", ""op"": ""min"", ""depth"": 0}",6054.0,4,0,3,268449368,79690186,470230362,0.465,0,1,4,2_short_term_investments,short_term_investments,short term investments,Apex Dynamics Corp,2022,M_USD,27059.0,3_short_term_investments,short_term_investments,short term investments,Apex Dynamics Corp,2023,M_USD,6054.0,4_short_term_investments,short_term_investments,short term investments,Apex Dynamics Corp,2024,M_USD,10527.0,5_short_term_investments,short_term_investments,short term investments,Apex Dynamics Corp,2025,M_USD,12188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,What do we obtain as the total equity for Crimson Pharmaceuticals in 2021,85_total_equity,"{""leaf"": ""85_total_equity"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",216730.0,1,0,0,166138368,790285061,470230362,0.485,0,1,1,85_total_equity,total_equity,total equity,Crimson Pharmaceuticals,2021,M_USD,216730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5,May you calculate the the maximum of total equity for NovaStar Technologies using values from 2020 through 2025 ?,"max(max(max(max(max(18_total_equity, 19_total_equity), 20_total_equity), 21_total_equity), 22_total_equity), 23_total_equity)","{""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""leaf"": ""18_total_equity"", ""depth"": 0}, ""right"": {""leaf"": ""19_total_equity"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""20_total_equity"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""21_total_equity"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""22_total_equity"", ""depth"": 0}, ""depth"": 4}, ""right"": {""leaf"": ""23_total_equity"", ""depth"": 0}, ""depth"": 5}","{""kind"": ""time_agg"", ""op"": ""max"", ""depth"": 0}",165373.0,2,0,5,47779721,788507296,470230362,0.205,0,1,6,18_total_equity,total_equity,total equity,NovaStar Technologies,2020,M_USD,60129.0,19_total_equity,total_equity,total equity,NovaStar Technologies,2021,M_USD,25728.0,20_total_equity,total_equity,total equity,NovaStar Technologies,2022,M_USD,41244.0,21_total_equity,total_equity,total equity,NovaStar Technologies,2023,M_USD,138307.0,22_total_equity,total_equity,total equity,NovaStar Technologies,2024,M_USD,165373.0,23_total_equity,total_equity,total equity,NovaStar Technologies,2025,M_USD,59464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,which value corresponds to the the minimum of cash for Helix BioSciences using values from 2022 through 2025?,"min(min(min(74_cash, 75_cash), 76_cash), 77_cash)","{""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""leaf"": ""74_cash"", ""depth"": 0}, ""right"": {""leaf"": ""75_cash"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""76_cash"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""77_cash"", ""depth"": 0}, ""depth"": 3}","{""kind"": ""time_agg"", ""op"": ""min"", ""depth"": 0}",38481.0,1,0,3,259817920,198474605,470230362,0.471,0,1,4,74_cash,cash,cash,Helix BioSciences,2022,M_USD,62300.0,75_cash,cash,cash,Helix BioSciences,2023,M_USD,41405.0,76_cash,cash,cash,Helix BioSciences,2024,M_USD,44810.0,77_cash,cash,cash,Helix BioSciences,2025,M_USD,38481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
