company_name,ticker,sector,country,exchange,credit_rating,year,revenue,cost_of_goods_sold,operating_expenses,non_operating_expenses,income_tax,total_assets,total_liabilities,total_equity,cash,accounts_receivable,inventories,short_term_investments,current_liabilities,capex,dividends_paid,shares_outstanding,stock_price,employees
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2020,67780823783,27803784350,5280640338,4778482684,0.24813354893353515,71016339540,46479971935,24536367605,2627049889,3346307006,1397026617,6695606701,18141656677,5158527232,6442537586,6350845332,367629101.33,142704400574
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2021,78856487600,50583543962,6460858960,10608001790,0.15557426833432836,141224577947,99211386043,42013191904,7412350034,6150232751,3372269285,8212746023,31363716979,4475420338,164434132,1959909827,739001867.04,44006098049
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2022,79021291256,46060555288,17944972656,9666437909,0.13845771805133197,206071084409,139282223194,66788861215,41229679420,10946199324,6042744299,27058722880,48056762228,6853424462,835847386,2523546048,293887499.68,336736711317
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2023,88228037227,53607042165,5671342516,15615979471,0.2068279754059416,148588805579,90275295278,58313510301,13282133700,11693666234,5867883369,6054417950,29887503720,2159384370,3250241941,12344858651,646960953.61,203576569576
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2024,82804907652,58866940892,13533303740,16029610360,0.14252530881082812,92099854132,67131372148,24968481984,15788439588,4495243191,2245888087,10526871263,25828414290,4494212033,0,8794640582,299167208.32,498676260105
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2025,79387788301,41446945271,15969364200,17641600515,0.1305682638696522,161364376907,109930209272,51434167635,26013549065,6230094120,4039647066,12187364760,34392054024,7573155903,833054995,10236222813,104923118.24,442970282814
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2020,150713568879,52779662453,20640682955,21212142257,0.290763185504216,111555103005,56086799416,55468303589,15632098879,8721069005,7317457859,14711061452,18206403143,10356677290,10165627014,2377305101,613570978.06,271992619909
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2021,171514364486,92387782214,8595335904,19695202247,0.10389534847716647,121218560602,88211905473,33006655129,25815482460,12134883558,2543460741,16112533979,42936030107,10098634927,1560757181,1131266525,612072699.73,384088042507
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2022,163959089850,84254816716,26227013850,16889643220,0.2744866082170515,202978567564,94541455293,108437112271,30171777497,18526246968,3888329311,10887827357,47156080926,9025621079,6900354637,7811880031,109988293.76,116225181831
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2023,166363378959,93951875511,15974701841,15645390585,0.11419861720180652,157343869963,75314592150,82029277813,36062019632,20955720144,2744471029,6816238533,31424595170,5088215278,3096414990,14039162185,463268828.26,238972158024
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2024,189603251457,125777800780,16700630347,13155842082,0.1862102364812755,234572036801,142976919371,91595117430,44661738642,20351340817,18607753681,5577771637,50135617490,16862138196,3751819121,3804979375,164313993.13,227063706177
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2025,196832227920,83721666006,19675603333,46187296369,0.18862614901069139,147592557458,94613733815,52978823643,6070398129,27542388575,10773604213,21498254584,45565193240,6555475473,13014076119,7336052769,182791629.87,203514944812
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2020,79627945559,37878200774,18736743422,16485044814,0.15704984578938405,70100588318,48678588605,21421999713,14184120532,8455463102,3154014883,2564679193,14818990269,6279378113,128727386,1008267815,261179775.67,29820456946
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2021,83888103137,59872970045,13105437960,5148709167,0.20156569939868368,63474123387,20730824659,42743298728,2853250072,10585161936,4340240794,9002119660,8135166425,1944470276,1065157527,1321552742,531037934.11,284787327303
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2022,84608161442,35310756165,15563264751,9546911869,0.15312290250627075,185116360029,124279897352,60836462677,24174235491,11244579757,5001608207,2092585686,50369376466,2368901601,4612856908,8110752621,412119484.83,70566002331
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2023,86107627365,28497843786,8512331670,9213298986,0.18763691460154197,90462343960,47726845718,42735498242,22294239162,10394051211,2529533876,9362929359,18549065822,2435719580,12075712394,13184091778,222605748.37,445407789968
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2024,97118784145,35929245641,10328704509,8947158403,0.16857605755865174,86328072518,62367118648,23960953870,12188659936,6323610433,4960415942,1477232606,25481403007,2284907899,11560459968,5069992425,117693433.65,489999987145
