company_name,ticker,sector,country,exchange,credit_rating,year,revenue,cost_of_goods_sold,operating_expenses,non_operating_expenses,income_tax,total_assets,total_liabilities,total_equity,cash,accounts_receivable,inventories,short_term_investments,current_liabilities,capex,dividends_paid,shares_outstanding,stock_price,employees
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2020,67781,Z78O4,5281,999999999999,0.24813354893353515,71oI7,46480,24537,,3346,-1,50077,18142,5159,6442,6351,367.63,142704
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2021,,50584,6461,10608,0.15557426833432836,141225,g9Z12,474109,55614,,3372,8213,,13370,164,I96o,739.0,
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2022,79022,46061,135549,9667,o,206073,13gZ84,66789,41230,ERROR,6043,,48057,,836,2524,,336737
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2023,88229,53b0B,5671,15616,0.2068279754059416,,90276,58314,78006,11694,5868,6054,Z988B,Z15g,3250,12345,,203577
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2024,,58868,13533,16030,0.14252530881082812,92101,67132,,,4495,-9999999,10527,Z582g,4494,0,87gS,299.17,498676
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2025,79389,86886,ERROR,19695,0.1305682638696522,161367,295198,51435,Z60l4,bZ30,4040,12188,999999999999,7169,833,10236,ERROR,
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2020,150714,52780,20641,21212,0.290763185504216,111555,56087,S54b8,,8721,7318,,l820b,,,2377,613.57,271993
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2021,171515,92388,8595,,0.24536287914222057,121219,88212,33007,25816,,2543,,42936,5088,1561,-1,612.07,384088
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2022,163960,,26227,,0.2744866082170515,-9999999,94542,1oB438,30172,18526,3888,,,9026,204,7812,,116225
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2023,166364,999999999999,15975,15645,0.11419861720180652,157344,-1,,36062,78674,ERROR,6816,31425,5088,999999999999,14039,,
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2024,189604,125778,16701,13156,,,142978,,44662,,999999999999,SS78,50136,16862,-1,,ERROR,
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2025,196833,83722,19676,,ERROR,,94614,52979,6070,27542,-1,21498,45565,,13014,7336,,203515
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2020,,,,16485,0.15704984578938405,70lo1,48679,21422,14184,8455,3154,2565,,6279,,IO08,463.27,29820
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2021,83888,59873,13105,26008,0.20156569939868368,,20731,59464,2853,10585,4340,9002,8135,ERROR,1065,1322,531.04,284787
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2022,84608,35311,15563,9547,0.15312290250627075,185116,124280,60836,24174,11Z4S,-1,3350,ERROR,2369,4613,1223,412.12,
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2023,,28498,,9213,0.18763691460154197,90462,33826,42735,22294,10394,2530,9363,60364,,12076,14003,222.61,445408
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2024,97118,35929,10329,32313,O,86327,,,12189,6324,4960,1477,,-9999999,11560,5070,999999999999,70566
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2025,93742,,17917,,0.12237477611786701,,44720,-1,4105,4087,,,15985,,,14003,778.17,24748
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2020,,37356,,67921,,103259,43130,60129,24222,13643,5488,,20286,8515,193,5050,,402106
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2021,,364081,12957,111471,o,,67362,25728,7348,152Sl,6654,4908,30235,Z744,244,,,432855
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2022,461323,999999999999,,19395,0.296229937439652,,,41244,8761,20455,2745,12074,,,1212,10955,,305073
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2023,158697,75117,26235,16020,ERROR,ERROR,,-1,780ob,17765,8748,54586,132032,,877,5020,261.42,4Z476B
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2024,-9999999,77449,19909,23437,o,27IB20,106447,165373,33297,23856,-1,37074,42992,11362,5642,106,227.67,217795
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2025,192649,ERROR,27548,26669,o,221991,162527,,45536,,3554,18240,66349,16466,2745,999999999999,,
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2020,72714,54010,12525,148lZ,0.19108323367601782,1147507,34649,18685,,5701,3886,1635,,6460,-9999999,13293,,113326
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2021,83268,,11900,13446,0.28349400289108806,,74292,,,7753,4731,10169,,7094,871,13391,349.99,453Bg3
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2022,87003,,19341,12182,o,,,32471,13377,,1652,4762,14588,4078,,13406,78.25,79661
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2023,89374,32958,8293,11884,0.1661762782076167,104031,26837,,22183,7056,3957,14819,8455,5gO4,,7ZO7,755.05,152813
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2024,91983,,22227,62146,0.24692681215127155,ERROR,53407,,2062,6190,5362,4705,22282,7169,,,736.84,
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2025,98381,69665,,17964,0.2015475351619313,120811,87626,,8454,,4358,8899,,4158,0,,345.93,
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2020,15631,11723,1876,2814,0.25624660992217896,14445,10116,4329,41405,-1,4731,,2848,1018,0,3348,,384615
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2021,15115,8665,-9999999,,0.263860234862217,10369,3855,6514,370,,,1495,1346,394,491,10390,507.39,SS441
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2022,17175,11724,2921,1275,-9999999,70101,,18804,1722,1323,3154,801,3544,489,,3348,513.93,
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2023,19202,9524,12525,4668,0.15401647927748016,15122,g62g,5493,2062,,1096,719,4458,,346,13236,,235031
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2024,20947,9857,,2814,0.13636797143153837,37773,124280,10936,3961,2682,1096,,6777,,1739,10829,398.53,380292
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2025,190473,13775,,4865,0.11861067011093435,999999999999,,13009,,2289,1123,3475,,1084,323,10573,227.67,418281
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2020,365060,231556,,6Bb43,,-1,157361,150362,49146,42355,-1,45319,72096,17841,0,4bO4,531.04,
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2021,340S0B,11o5O7,ERROR,,0.2275739310211855,,116965,,9253,23302,999999999999,16327,50873,ERROR,8718,1800,66.29,
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2022,365060,224248,29590,78160,O,,450870,464760,ERROR,30058,4358,88430,200152,34133,3921,,-9999999,217271
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2023,397456,130009,96193,27761,-1,,190519,187788,2853,,11929,IZ074,67087,,29575,,,144946
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2024,-1,,44603,47475,,457776,325873,131903,33656,23748,7540,14126,103109,11427,9119,11910,ERROR,412999
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2025,543408,270410,ERROR,60220,,,552700,314401,109521,54234,36674,97839,221593,20820,1142,10147,690.51,432855
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2020,553885,233341,32151,111471,0.1941001646503267,,,135686,35803,54576,,,102662,,1g84S,,329.02,168253
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2021,,265190,32151,131277,0.21001932179435656,729678,390166,339512,73785,84562,19238,18240,193924,,,b2S7,162.25,1B408l
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2022,698499,406131,87678,63362,0.20984392781706634,4g426S,295198,18575,90754,3b42Z,59502,47075,91460,,4401,,,490457
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2023,821170,416868,60350,177725,0.18613735757108002,707952,-9999999,264758,63824,101392,614bO,31236,-1,ERROR,Z04I2,7673,705.27,432693
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2024,,536852,,ERROR,0.2356758689680162,637518,328593,,,80830,80451,50077,255888,6853,999999999999,8324,441.59,230396
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2025,827263,-1,156766,,0.14671248921157862,672214,198105,474109,,91431,999999999999,43056,823gb,,,,,253634
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2020,160549,109216,11229,372bZ,0.10306951958305213,339437,,92958,82616,-1,,15989,100025,-1,405,4996,544.37,269143
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2021,,110939,43358,28130,ERROR,-1,,ERROR,33062,,5500,4148,,999999999999,1968,,l4S,-9999999
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2022,176894,78889,10830,,0.18613735757108002,202980,174646,1Z3b39,53690,1o26I,,28435,60364,,17554,8789,197.27,320763
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2023,,111318,42626,26537,,194060,64637,,46177,25742,999999999999,999999999999,,8194,774,,684.87,S77g3
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2024,190473,87909,20795,36162,0.10438791957191301,146965,-1,62045,4671,24096,10653,21502,40562,,12175,13554,623.96,-9999999
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2025,428824,,,21828,0.25111546474833546,178551,128949,Sb894,ERROR,10838,8825,2771,54399,10723,900,2058,ERROR,166726
Orion Financial Group,ORFG,Financials,UK,LSE,BBB,2020,ERROR,47755,21496,21212,,67863,33826,-9999999,14348,7759,5962,7772,27840,8538,1bS,-1,773.7,
Orion Financial Group,ORFG,Financials,UK,LSE,BBB,2021,98792,,24051,-1,0.17315500988111326,79108,,,97139,8445,1017,8237,7909,,,1714,198.55,17387
Orion Financial Group,ORFG,Financials,UK,LSE,BBB,2022,115348,63745,51889,10874,0.1126434082320391,89512,65676,23836,,9324,2433,,,-1,2421,13320,,229554
Orion Financial Group,ORFG,Financials,UK,LSE,BBB,2023,127775,81062,30563,17100,0.24845380295306316,263222,154461,108761,,11364,5922,37697,39879,7088,0,14263,507.39,54lB1
Orion Financial Group,ORFG,Financials,UK,LSE,BBB,2024,23322,,34892,17297,0.18127547796642335,Z6921B,104036,165182,,,999999999999,,41540,11785,20810,,,284466
Orion Financial Group,ORFG,Financials,UK,LSE,BBB,2025,133448,85983,12201,12436,,,79040,,43847,5376,11315,5816,,,1662,1800,35.24,
Titan Consumer Brands,TICB,Consumer,France,Euronext,AAA,2020,,,44200,32313,0.18419211138201583,982687,314922,999999999999,126394,32678,12797,16327,96173,33525,,13640,532.24,154307
Titan Consumer Brands,TICB,Consumer,France,Euronext,AAA,2021,,-1,117808,17100,0.18525472385599834,1098264,,,140121,-1,,33790,213289,31528,20810,10711,314.01,300709
Titan Consumer Brands,TICB,Consumer,France,Euronext,AAA,2022,47Zg77,249494,64344,98672,0.12288281448601593,435660,316945,118715,b5g13,,,58523,112025,24547,17SS4,10971,260.35,159699
Titan Consumer Brands,TICB,Consumer,France,Euronext,AAA,2023,468895,ERROR,87854,27761,0.11824495767320974,,692670,472468,30172,36229,,21435,338824,34511,o,,700.78,470859
Titan Consumer Brands,TICB,Consumer,France,Euronext,AAA,2024,999999999999,346744,293SS,52356,0.1624897798175308,1147507,717731,429776,73487,42g5S,,67721,,20589,2250,3470,351.85,-9999999
Titan Consumer Brands,TICB,Consumer,France,Euronext,AAA,2025,552586,320376,102226,ERROR,O,507240,,159893,,37204,38Ib1,999999999999,117318,17384,2305,9894,69.62,371780
Cobalt Semiconductor,CBSM,Technology,Taiwan,TWSE,CCC,2020,53876,83341,75BZ,,0.1623274739408433,78165,57819,20346,12598,bg14,1017,,I5I74,2987,454,6418,4gI,210021
Cobalt Semiconductor,CBSM,Technology,Taiwan,TWSE,CCC,2021,52818,,6287,,,52204,33031,,5l0B,3277,4l47,,9946,,4248,11486,Z4Z,64392
Cobalt Semiconductor,CBSM,Technology,Taiwan,TWSE,CCC,2022,55948,,4243,8757,0.14602214321533194,57651,39076,ERROR,,4459,3218,4097,14260,,999999999999,6496,,
Cobalt Semiconductor,CBSM,Technology,Taiwan,TWSE,CCC,2023,,27011,13623,4726,0.2895228618653495,,,,,4686,912,4666,999999999999,,14599,,188.93,
Cobalt Semiconductor,CBSM,Technology,Taiwan,TWSE,CCC,2024,,,8231,37262,0.2552456458648671,999999999999,,18804,,2888,1029,3350,,4257,409,,761.76,
Cobalt Semiconductor,CBSM,Technology,Taiwan,TWSE,CCC,2025,55356,,gl83,103og,0.27640963131858676,,38625,13033,5223,20956,,3697,,4b34,,B91Z,291.27,999999999999
Helix BioSciences,HLXB,Healthcare,USA,NASDAQ,BBB,2020,214045,-9999999,13987,47700,0.27105867429121805,206207,ERROR,77258,27177,20427,10774,27925,46735,15443,3752,4891,388.37,79676
Helix BioSciences,HLXB,Healthcare,USA,NASDAQ,BBB,2021,,69534,46110,23BI2,o,221578,,125475,18724,16808,5363,ERROR,,8553,11801,6191,Z8o,412999
Helix BioSciences,HLXB,Healthcare,USA,NASDAQ,BBB,2022,,135355,14463,15773,0.18613735757108002,,,,,29904,,20239,,10985,2738,145Ig,563.31,
Helix BioSciences,HLXB,Healthcare,USA,NASDAQ,BBB,2023,248743,179618,27838,31176,0.2583323915727087,194967,132263,62704,,28326,19597,,54427,,,5503,,111025
Helix BioSciences,HLXB,Healthcare,USA,NASDAQ,BBB,2024,294847,1S2g73,28101,22854,0.11543301686017526,224506,,142717,,,20633,4762,27333,ERROR,Z465Z,5713,,41bS16
Helix BioSciences,HLXB,Healthcare,USA,NASDAQ,BBB,2025,192649,,27834,,0.1821717222993067,301285,146090,I5S195,3B4B1,22940,26091,21949,,28364,3909,7088,,-9999999
ClearPath Logistics,CPTH,Industrials,USA,NYSE,A,2020,-1,220463,65279,80320,0.14274028019782006,403472,286976,116496,24389,33S7b,22786,53410,111529,45287,4365,8912,238.77,382743
ClearPath Logistics,CPTH,Industrials,USA,NYSE,A,2021,514684,364081,40902,70766,999999999999,90B6Z0,547777,360843,97139,21960,9802,,169233,25731,11008,520,745.7,222670
ClearPath Logistics,CPTH,Industrials,USA,NYSE,A,2022,567176,,43967,,0.2659523166305645,499588,201280,,92533,,7697,999999999999,63198,36245,22107,10936,429.3,
ClearPath Logistics,CPTH,Industrials,USA,NYSE,A,2023,,247180,33798,76033,0.2587798217278876,,250645,41B21g,153258,56570,5472,54949,77821,30840,0,,203.84,211201
ClearPath Logistics,CPTH,Industrials,USA,NYSE,A,2024,627729,212503,153750,39883,0.2052118890644341,690728,516675,174053,,49619,17238,68378,255888,,17869,11849,Z8S,367806
ClearPath Logistics,CPTH,Industrials,USA,NYSE,A,2025,687936,,135549,,0.2826973948963394,,,,,31783,11929,77316,209765,17231,999999999999,11665,374.28,150254
Crimson Pharmaceuticals,CRPH,Healthcare,Switzerland,SIX,CCC,2020,,204759,51889,60056,ERROR,,450870,,91955,,,,62984,38887,11801,2122,329.02,
Crimson Pharmaceuticals,CRPH,Healthcare,Switzerland,SIX,CCC,2021,ERROR,46761,,,0.1734693853919364,,,216730,,49619,,65373,65249,8988,,11910,,225728
Crimson Pharmaceuticals,CRPH,Healthcare,Switzerland,SIX,CCC,2022,,231289,85599,85996,-1,,292999,14g48Z,55614,64113,-9999999,7978,,37653,,11273,140.59,
Crimson Pharmaceuticals,CRPH,Healthcare,Switzerland,SIX,CCC,2023,714010,432076,ERROR,,,664693,999999999999,291813,,30873,17260,48515,-1,18672,,11486,,160621
Crimson Pharmaceuticals,CRPH,Healthcare,Switzerland,SIX,CCC,2024,818993,,-9999999,62146,0.2035490548416784,,,-1,-9999999,78674,24991,48824,82551,11427,-1,,73.13,90465
Crimson Pharmaceuticals,CRPH,Healthcare,Switzerland,SIX,CCC,2025,133448,597469,169244,ERROR,O,724469,499182,225287,109394,,35247,ERROR,,27072,0,6611,,49Z64I
