compiler_pipeline_refactored/output/data/baseline/synthetic_company_data.csvcompany_name,ticker,sector,country,exchange,credit_rating,year,revenue,cost_of_goods_sold,operating_expenses,non_operating_expenses,income_tax,total_assets,total_liabilities,total_equity,cash,accounts_receivable,inventories,short_term_investments,current_liabilities,capex,dividends_paid,shares_outstanding,stock_price,employees
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2020,67781,27804,5ZB1,4778,0.24813354893353515,71017,46480,24537,2627,3346,1397,6696,18142,5159,6442,6351,367.63,142704
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2021,78856,50583,6461,Io608,0.15557426833432836,141224,992Il,42013,7412,b15o,3372,8213,31364,447S,164,1g6O,739.0,44006
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2022,790ZI,46060,17945,9666,0.13845771805133197,206070,l3928I,66789,41229,lO946,6043,270Sg,48056,bB53,836,2524,293.89,336737
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2023,88228,53607,5671,15616,o,148589,90275,58314,13282,11694,5868,6054,29887,Z1S9,3250,12345,646.96,2O3S77
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2024,B28o5,5BB67,13533,1bo30,0.14252530881082812,92100,67131,24969,15788,4495,2246,10527,25828,4494,0,B79S,Zg9,498676
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2025,79388,41447,15969,17642,0.1305682638696522,161365,109931,SI434,26014,6230,4040,12187,34392,7573,833,10236,104.92,44Zg70
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2020,150714,5Z7B0,20641,21212,o,111555,56087,55468,15632,8721,7318,14711,18206,10357,10166,2377,bI3,271993
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2021,171514,923BB,8595,19695,o,121218,88211,33007,25815,lZ135,2543,16112,42936,10099,1561,lI31,6IZ,3B408B
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2022,163959,84255,26227,16890,O,202978,94541,108437,30172,l852b,3888,l088B,47156,9026,6900,7812,109.99,1l6Z25
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2023,lb6363,93gS2,15975,I564S,0.11419861720180652,157344,75315,82029,36062,20956,2744,6816,31425,5088,3096,14039,463.27,238972
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2024,1Bg603,125778,16701,13156,0.1862102364812755,234572,142977,91595,44662,20351,18608,5578,50136,16862,3752,3805,164.31,227064
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2025,196832,83722,19676,4bI87,o,147592,94613,52979,6070,27S4Z,10774,21498,45565,6555,I3o14,7336,lB2,Z0351S
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2020,79628,37878,18737,lb485,0.15704984578938405,70101,48679,Z142Z,14184,8455,3154,2565,14819,6Z7g,129,1008,261.18,29820
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2021,83888,59873,13105,SI49,0.20156569939868368,63474,20731,4Z743,ZB53,105BS,4340,9002,8135,1944,1065,I32Z,531.04,284787
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2022,84608,35311,15563,9547,0.15312290250627075,185116,124280,60836,24174,11245,5002,2093,50369,Z3b9,4613,8111,4IZ,70566
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2023,86108,28498,8512,9213,0.18763691460154197,9o4b3,47727,42736,Z2Z94,1o3g4,2530,9363,18549,2436,12076,13lB4,Z2Z,44S40B
