Field,Value
Company Name,SilverLine Retail Inc
Ticker,SLRI
Sector,Consumer
Country,USA
Exchange,NASDAQ
Credit Rating,CCC

Income Statement,2022,2023,2024
Revenue,300619,292717,347968
Cost Of Goods Sold,183103,175401,219631
Gross Profit,117516,117316,128337
Operating Expenses,71563,36832,63250
Operating Income,45953,80484,65087
Net Income,34584,60393,54884

Balance Sheet,2022,2023,2024
Total Assets,560394,575271,317308
Total Liabilities,333008,372467,210542
Total Equity,227386,202804,106766
Current Assets,461738,289144,103304
Current Liabilities,159908,170751,102744
Cash,93639,55716,25915
Long Term Debt,219792,202125,75572
Accounts Receivable,31967,17861,24720
Inventories,6629,21425,27422

Per Share & Other,2022,2023,2024
Capex,18208,13401,8246
Dividends Paid,9226,10672,21601
Shares Outstanding,4960,10167,9208
Stock Price,562.31,416.27,618.26
Employees,279434,397899,230431

