id,company,depth,operation,expression,question,answer,answer_formatted,result_type,computation_trace
FQ-00001,Meridian Systems Inc,0,,inventories_2024,What was the total inventories reported by Meridian Systems Inc for the fiscal year ending 2024?,27143,27143,numeric,inventories_2024 = 27143
FQ-00002,NovaStar Technologies,1,not_equals,(inventories_2023 ≠ operating_expenses_2022),Is the total inventories different from total operating expenses for NovaStar Technologies?,True,Yes,boolean,inventories_2023(7210) ≠ operating_expenses_2022(20570) → True
FQ-00003,ClearPath Logistics,1,multiply,(cash_2023 × total_equity_2022),What is the product of cash and cash equivalents and total stockholders' equity for ClearPath Logistics from fiscal year 2023 to fiscal year 2022?,1657992960,1657992960,numeric,cash_2023(16640) × total_equity_2022(99639) = 1657992960
FQ-00004,Crimson Pharmaceuticals,1,greater_than,(long_term_debt_2024 > dividends_paid_2024),Is long-term debt strictly greater than cash dividends paid for Crimson Pharmaceuticals for fiscal year 2024?,True,Yes,boolean,long_term_debt_2024(48321) > dividends_paid_2024(26722) → True
FQ-00005,Meridian Systems Inc,1,multiply,(revenue_2024 × cash_2022),What is the product of total revenue and cash and cash equivalents for Meridian Systems Inc from fiscal year 2024 to fiscal year 2022?,91709088107,91709088107,numeric,revenue_2024(577837) × cash_2022(158711) = 91709088107
FQ-00006,SilverLine Retail Inc,2,ratio,"ratio(ratio(accounts_receivable_2024, total_liabilities_2022), shares_outstanding_2023)","For SilverLine Retail Inc, what is the result of computing ratio(ratio(accounts_receivable_2024, total_liabilities_2022), shares_outstanding_2023)? Specifically, evaluate the sub-expression first, then apply the outer operation.",0.0,0.0000,ratio,(accounts_receivable_2024(24720) / total_liabilities_2022(333008) = 0.0742) / (shares_outstanding_2023 = 10167) = 0.0
FQ-00007,Meridian Systems Inc,1,greater_equal,(cash_2024 ≥ accounts_receivable_2024),Is cash and cash equivalents greater than or equal to net accounts receivable for Meridian Systems Inc for fiscal year 2024?,True,Yes,boolean,cash_2024(115127) ≥ accounts_receivable_2024(53688) → True
FQ-00008,Titan Consumer Brands,1,subtract,(total_liabilities_2024 - dividends_paid_2024),"What is the difference between total liabilities and cash dividends paid (i.e., total liabilities minus cash dividends paid) for Titan Consumer Brands for fiscal year 2024?",188192,188192,numeric,total_liabilities_2024(196971) - dividends_paid_2024(8779) = 188192
FQ-00009,ClearPath Logistics,1,less_than,(current_assets_2023 < long_term_debt_2024),Is total current assets strictly less than long-term debt for ClearPath Logistics from fiscal year 2023 to fiscal year 2024?,False,No,boolean,current_assets_2023(81958) < long_term_debt_2024(27230) → False
FQ-00010,Quantum Bridge Holdings,0,,employees_2023,What was the total number of employees reported by Quantum Bridge Holdings for the fiscal year ending 2023?,331577,331577,numeric,employees_2023 = 331577
FQ-00011,SilverLine Retail Inc,0,,cash_2023,What was the cash and cash equivalents reported by SilverLine Retail Inc for the fiscal year ending 2023?,55716,55716,numeric,cash_2023 = 55716
FQ-00012,Crimson Pharmaceuticals,2,greater_than,((operating_income_2023 - long_term_debt_2024) > dividends_paid_2022),"For Crimson Pharmaceuticals, what is the result of computing ((operating_income_2023 - long_term_debt_2024) > dividends_paid_2022)? Specifically, evaluate the sub-expression first, then apply the outer operation.",True,Yes,boolean,(operating_income_2023(123338) - long_term_debt_2024(48321) = 75017) > (dividends_paid_2022 = 31946) → True
FQ-00013,Cobalt Semiconductor,1,not_equals,(operating_expenses_2022 ≠ stock_price_2023),Is the total operating expenses different from closing stock price for Cobalt Semiconductor?,True,Yes,boolean,operating_expenses_2022(71393) ≠ stock_price_2023(304.68) → True
FQ-00014,Atlas Global Industries,1,multiply,(gross_profit_2023 × capex_2022),What is the product of gross profit and capital expenditures for Atlas Global Industries from fiscal year 2023 to fiscal year 2022?,5556265784,5556265784,numeric,gross_profit_2023(233192) × capex_2022(23827) = 5556265784
FQ-00015,Pacific Crest Energy,1,less_equal,(long_term_debt_2024 ≤ operating_income_2022),Is long-term debt less than or equal to operating income for Pacific Crest Energy from fiscal year 2024 to fiscal year 2022?,True,Yes,boolean,long_term_debt_2024(58553) ≤ operating_income_2022(129148) → True
