compiler_pipeline_refactored/output/data/baseline/synthetic_company_data.csvcompany_name,ticker,sector,country,exchange,credit_rating,year,revenue,cost_of_goods_sold,operating_expenses,non_operating_expenses,income_tax,total_assets,total_liabilities,total_equity,cash,accounts_receivable,inventories,short_term_investments,current_liabilities,capex,dividends_paid,shares_outstanding,stock_price,employees
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2020,67781,27804,147524,4778,0.24813354893353515,71017,46480,24537,2627,3346,1397,6696,18142,2159,6442,1800,367.63,142704
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2021,228915,52780,13623,23436,0.2356758689680162,141224,99211,42013,7412,23748,3372,8213,31364,4475,164,1960,191.03,44006
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2022,79021,46060,147524,9666,0.13845771805133197,206070,39076,66789,41229,16808,3180,4762,48056,45287,836,2152,293.89,150254
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2023,88228,53607,5671,15616,0.2068279754059416,148589,90275,58314,13282,11694,5868,28078,29887,2159,3250,12345,349.99,445408
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2024,82805,58867,13533,16030,0.2826973948963394,92100,67131,24969,15788,2888,2246,10527,25828,8515,0,8795,299.17,144946
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AA,2025,79388,41447,15969,17642,0.15704984578938405,161365,109931,51434,26014,6230,4040,12187,34392,7573,833,10236,104.92,442970
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2020,88228,212503,20641,21212,0.2659523166305645,111555,56087,55468,15632,8721,7318,14711,18206,10357,10166,13320,285.67,271993
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2021,79021,64502,8595,19695,0.10389534847716647,1165138,88211,33007,9253,6495,2543,16112,42936,10099,1561,1131,612.07,199019
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2022,163959,110507,26227,21527,0.2744866082170515,202978,94541,108437,24389,18526,3888,10888,47156,9026,6900,7812,109.99,116225
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2023,397455,93952,15975,15645,0.11419861720180652,157344,75315,82029,36062,20956,2744,6816,31425,5088,3096,1008,463.27,367806
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2024,189603,125778,16701,13156,0.1862102364812755,234572,142977,91595,44662,20351,18608,5578,50136,16862,3752,3805,164.31,227064
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,AAA,2025,567556,69665,19676,4778,0.18862614901069139,147592,94613,52979,6070,27542,10774,53410,45565,6555,13014,7336,182.79,203515
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2020,79628,37878,18737,22854,0.13845771805133197,70101,48679,91595,14184,8455,3154,2565,14819,6279,129,1008,544.37,235031
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2021,98792,59873,13105,5149,0.20156569939868368,14445,20731,42743,4105,10585,4340,9002,8135,1944,1065,1322,705.27,144946
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2022,461322,35311,15563,4390,0.14274028019782006,357135,124280,340707,24174,11245,5002,2093,50369,4299,4613,2152,412.12,70566
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2023,86108,28498,8512,9213,0.18763691460154197,93089,47727,42736,22294,32678,2530,9363,18549,2436,12076,13184,222.61,445408
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2024,97119,35929,10329,23436,0.16857605755865174,86328,62367,23961,4671,6324,4960,3697,25481,2285,11560,5486,117.69,490000
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2025,93743,46761,17917,15203,0.11824495767320974,103259,44720,23836,4105,30058,3180,37697,15985,4610,204,10390,778.17,24748
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2020,107884,37356,22227,24471,0.18127547796642335,103259,43130,60129,24222,13643,5488,12753,20286,8515,6900,2377,745.69,153236
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2021,87003,83340,33798,26008,0.22179898311061305,93089,20731,179435,139886,15250,6654,4908,30234,2744,244,2978,104.92,432855
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2022,149263,63527,26613,19395,0.296229937439652,158208,90275,41244,8761,20455,2745,22901,37004,8174,1212,10955,261.24,305073
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2023,158696,75117,26235,26669,0.2503553573001023,1147507,387126,138306,78005,17765,8748,54586,132031,30284,11008,5020,261.42,424768
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2024,177982,77448,19909,23436,0.1862102364812755,121218,106446,165371,33297,23856,8368,37074,37004,44751,5642,106,240.23,418281
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2025,192647,114551,27548,60219,0.14274028019782006,221989,162525,59464,45536,10975,3554,18239,66348,16466,1212,11292,543.14,116197
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2020,397455,320376,12525,22854,0.13845771805133197,53334,34649,18685,10029,10261,3886,1635,3545,4158,0,13293,626.06,424768
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2021,53876,51057,11900,1102,0.28349400289108806,668865,74292,108437,24706,7753,4731,37074,32600,7094,871,13391,293.89,453893
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2022,87989,32332,19341,12182,0.263860234862217,66524,34053,32471,13377,7696,1652,4762,14588,4078,1628,13406,78.25,336737
