question_id,depth,question,question_original,obstacle,useless_info_family_used,expression,expression_json,template_expression,answer,template_depth_requested,template_actual_depth,bound_expression_depth,tree_seed,binding_seed,master_seed,derived_prob,template_internal_nodes,template_leaf_slots,bound_leaf_count,leaf_1_key,leaf_1_concept,leaf_1_label,leaf_1_entity,leaf_1_period,leaf_1_unit,leaf_1_value,leaf_2_key,leaf_2_concept,leaf_2_label,leaf_2_entity,leaf_2_period,leaf_2_unit,leaf_2_value,leaf_3_key,leaf_3_concept,leaf_3_label,leaf_3_entity,leaf_3_period,leaf_3_unit,leaf_3_value,leaf_4_key,leaf_4_concept,leaf_4_label,leaf_4_entity,leaf_4_period,leaf_4_unit,leaf_4_value,leaf_5_key,leaf_5_concept,leaf_5_label,leaf_5_entity,leaf_5_period,leaf_5_unit,leaf_5_value,leaf_6_key,leaf_6_concept,leaf_6_label,leaf_6_entity,leaf_6_period,leaf_6_unit,leaf_6_value,leaf_7_key,leaf_7_concept,leaf_7_label,leaf_7_entity,leaf_7_period,leaf_7_unit,leaf_7_value
1,3,"If revenue for Helix BioSciences in 2020 exceeds 78,830, which value corresponds to the pretax income for Helix BioSciences in 2025",which value corresponds to the pretax income for Helix BioSciences in 2025,conditional,,pretax_income,"{""derived"": ""pretax_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""operating_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""77_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""77_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""leaf"": ""77_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 2}, ""right"": {""leaf"": ""77_non_operating_expenses"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}","{""kind"": ""derived_concept"", ""name"": ""pretax_income"", ""depth"": 0}",38611.0,4,0,3,764352479,573872125,593638397,0.304,0,1,4,77_revenue,revenue,revenue,Helix BioSciences,2025,M_USD,334916.0,77_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Helix BioSciences,2025,M_USD,222408.0,77_operating_expenses,operating_expenses,operating expenses,Helix BioSciences,2025,M_USD,27834.0,77_non_operating_expenses,non_operating_expenses,non operating expenses,Helix BioSciences,2025,M_USD,46063.0,,,,,,,,,,,,,,,,,,,,,
5,1,"If revenue for Helix BioSciences in 2023 exceeds 128,930, which value corresponds to the longterm liabilities for Helix BioSciences in 2022 ?",Which value corresponds to the longterm liabilities for Helix BioSciences in 2022 ?,conditional,,longterm_liabilities,"{""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""74_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""74_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}",149498.0,4,0,1,230512619,313552381,593638397,0.53,0,1,2,74_total_liabilities,total_liabilities,total liabilities,Helix BioSciences,2022,M_USD,247385.0,74_current_liabilities,current_liabilities,current liabilities,Helix BioSciences,2022,M_USD,97887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,"If revenue for Atlas Global Industries in 2020 exceeds 31,513, you should calculate the longterm liabilities for Atlas Global Industries in 2020",You should calculate the longterm liabilities for Atlas Global Industries in 2020,conditional,,longterm_liabilities,"{""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""24_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""24_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}",20030.0,4,0,1,464811098,181349499,593638397,0.54,0,1,2,24_total_liabilities,total_liabilities,total liabilities,Atlas Global Industries,2020,M_USD,34649.0,24_current_liabilities,current_liabilities,current liabilities,Atlas Global Industries,2020,M_USD,14619.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,"If revenue for Quantum Bridge Holdings in 2023 exceeds 47,313, compute the gross profit for Quantum Bridge Holdings in 2024.",Compute the gross profit for Quantum Bridge Holdings in 2024.,conditional,,gross_profit,"{""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""16_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""16_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}",61190.0,3,0,1,272915800,224363950,593638397,0.425,0,1,2,16_revenue,revenue,revenue,Quantum Bridge Holdings,2024,M_USD,97119.0,16_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Quantum Bridge Holdings,2024,M_USD,35929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,"If revenue for Ironclad Manufacturing in 2024 exceeds 300,763, which quantity is given by the operating income for Ironclad Manufacturing in 2023?",which quantity is given by the operating income for Ironclad Manufacturing in 2023?,conditional,,operating_income,"{""derived"": ""operating_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""39_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""39_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""leaf"": ""39_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 2}","{""kind"": ""derived_concept"", ""name"": ""operating_income"", ""depth"": 0}",171253.0,3,0,2,707285447,868410175,593638397,0.291,0,1,3,39_revenue,revenue,revenue,Ironclad Manufacturing,2023,M_USD,397455.0,39_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Ironclad Manufacturing,2023,M_USD,130009.0,39_operating_expenses,operating_expenses,operating expenses,Ironclad Manufacturing,2023,M_USD,96193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,"If revenue for Cobalt Semiconductor in 2020 exceeds 28,673, what would be the longterm assets for Cobalt Semiconductor in 2025 ?",what would be the longterm assets for Cobalt Semiconductor in 2025 ?,conditional,,longterm_assets,"{""derived"": ""longterm_assets"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""71_total_assets"", ""depth"": 0}, ""right"": {""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""71_cash"", ""depth"": 0}, ""right"": {""leaf"": ""71_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""71_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""71_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""depth"": 4}, ""depth"": 4}","{""kind"": ""derived_concept"", ""name"": ""longterm_assets"", ""depth"": 0}",33276.0,3,0,4,844882537,594099104,593638397,0.538,0,1,5,71_total_assets,total_assets,total assets,Cobalt Semiconductor,2025,M_USD,51658.0,71_cash,cash,cash,Cobalt Semiconductor,2025,M_USD,5223.0,71_accounts_receivable,accounts_receivable,accounts receivable,Cobalt Semiconductor,2025,M_USD,7589.0,71_inventories,inventories,inventories,Cobalt Semiconductor,2025,M_USD,1873.0,71_short_term_investments,short_term_investments,short term investments,Cobalt Semiconductor,2025,M_USD,3697.0,,,,,,,,,,,,,,
7,3,"If revenue for Ironclad Manufacturing in 2025 exceeds 319,351, which result follows from the result of longterm liabilities scaled by ratio of operating expenses to sum of revenue and dividends paid for Ironclad Manufacturing in 2025?",Which result follows from the result of longterm liabilities scaled by ratio of operating expenses to sum of revenue and dividends paid for Ironclad Manufacturing in 2025?,conditional,,"mul(longterm_liabilities, ratio(41_operating_expenses, sum(41_revenue, 41_dividends_paid)))","{""op"": ""mul"", ""left"": {""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""41_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""41_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""op"": ""ratio"", ""left"": {""leaf"": ""41_operating_expenses"", ""depth"": 0}, ""right"": {""op"": ""sum"", ""left"": {""leaf"": ""41_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""41_dividends_paid"", ""depth"": 0}, ""depth"": 1}, ""depth"": 2}, ""depth"": 3}","{""op"": ""mul"", ""left"": {""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}, ""right"": {""op"": ""ratio"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""op"": ""sum"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""depth"": 2, ""kind"": ""node""}, ""depth"": 3, ""kind"": ""node""}",47493.17059438177,4,3,3,494489342,435908700,593638397,0.325,3,4,5,41_total_liabilities,total_liabilities,total liabilities,Ironclad Manufacturing,2025,M_USD,552699.0,41_current_liabilities,current_liabilities,current liabilities,Ironclad Manufacturing,2025,M_USD,221593.0,41_operating_expenses,operating_expenses,operating expenses,Ironclad Manufacturing,2025,M_USD,78109.0,41_revenue,revenue,revenue,Ironclad Manufacturing,2025,M_USD,543407.0,41_dividends_paid,dividends_paid,dividends paid,Ironclad Manufacturing,2025,M_USD,1142.0,,,,,,,,,,,,,,
7,2,"If revenue for Ironclad Manufacturing in 2023 exceeds 267,762, which quantity is given by the sum of cash and gross profit for Ironclad Manufacturing in 2025 ?",which quantity is given by the sum of cash and gross profit for Ironclad Manufacturing in 2025 ?,conditional,,"sum(41_cash, gross_profit)","{""op"": ""sum"", ""left"": {""leaf"": ""41_cash"", ""depth"": 0}, ""right"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""41_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""41_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""depth"": 2}","{""op"": ""sum"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}",382518.0,4,1,2,157771790,832907829,593638397,0.233,1,2,3,41_cash,cash,cash,Ironclad Manufacturing,2025,M_USD,109521.0,41_revenue,revenue,revenue,Ironclad Manufacturing,2025,M_USD,543407.0,41_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Ironclad Manufacturing,2025,M_USD,270410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,"If revenue for Pinnacle Health Group in 2025 exceeds 7,894, determine the difference between total liabilities and difference between longterm liabilities and difference between accounts receivable and non operating expenses for Pinnacle Health Group in 2020.",Determine the difference between total liabilities and difference between longterm liabilities and difference between accounts receivable and non operating expenses for Pinnacle Health Group in 2020.,conditional,,"diff(30_total_liabilities, diff(longterm_liabilities, diff(30_accounts_receivable, 30_non_operating_expenses)))","{""op"": ""diff"", ""left"": {""leaf"": ""30_total_liabilities"", ""depth"": 0}, ""right"": {""op"": ""diff"", ""left"": {""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""30_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""30_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""op"": ""diff"", ""left"": {""leaf"": ""30_accounts_receivable"", ""depth"": 0}, ""right"": {""leaf"": ""30_non_operating_expenses"", ""depth"": 0}, ""depth"": 1}, ""depth"": 2}, ""depth"": 3}","{""op"": ""diff"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""op"": ""diff"", ""left"": {""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}, ""right"": {""op"": ""diff"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""depth"": 2, ""kind"": ""node""}, ""depth"": 3, ""kind"": ""node""}",971.0,4,3,3,688753971,230957673,593638397,0.221,3,4,5,30_total_liabilities,total_liabilities,total liabilities,Pinnacle Health Group,2020,M_USD,10116.0,30_total_liabilities,total_liabilities,total liabilities,Pinnacle Health Group,2020,M_USD,10116.0,30_current_liabilities,current_liabilities,current liabilities,Pinnacle Health Group,2020,M_USD,2848.0,30_accounts_receivable,accounts_receivable,accounts receivable,Pinnacle Health Group,2020,M_USD,937.0,30_non_operating_expenses,non_operating_expenses,non operating expenses,Pinnacle Health Group,2020,M_USD,2814.0,,,,,,,,,,,,,,
9,4,"If revenue for Crimson Pharmaceuticals in 2024 exceeds 314,146, what does the following give: longterm assets for Crimson Pharmaceuticals in 2024?",What does the following give: longterm assets for Crimson Pharmaceuticals in 2024?,conditional,,longterm_assets,"{""derived"": ""longterm_assets"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""88_total_assets"", ""depth"": 0}, ""right"": {""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""88_cash"", ""depth"": 0}, ""right"": {""leaf"": ""88_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""88_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""88_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""depth"": 4}, ""depth"": 4}","{""kind"": ""derived_concept"", ""name"": ""longterm_assets"", ""depth"": 0}",255557.0,3,0,4,539939919,763845558,593638397,0.493,0,1,5,88_total_assets,total_assets,total assets,Crimson Pharmaceuticals,2024,M_USD,510371.0,88_cash,cash,cash,Crimson Pharmaceuticals,2024,M_USD,102325.0,88_accounts_receivable,accounts_receivable,accounts receivable,Crimson Pharmaceuticals,2024,M_USD,78674.0,88_inventories,inventories,inventories,Crimson Pharmaceuticals,2024,M_USD,24991.0,88_short_term_investments,short_term_investments,short term investments,Crimson Pharmaceuticals,2024,M_USD,48824.0,,,,,,,,,,,,,,
