question_id,depth,question,question_original,obstacle,useless_info_family_used,expression,expression_json,template_expression,answer,template_depth_requested,template_actual_depth,bound_expression_depth,tree_seed,binding_seed,master_seed,derived_prob,template_internal_nodes,template_leaf_slots,bound_leaf_count,leaf_1_key,leaf_1_concept,leaf_1_label,leaf_1_entity,leaf_1_period,leaf_1_unit,leaf_1_value,leaf_2_key,leaf_2_concept,leaf_2_label,leaf_2_entity,leaf_2_period,leaf_2_unit,leaf_2_value,leaf_3_key,leaf_3_concept,leaf_3_label,leaf_3_entity,leaf_3_period,leaf_3_unit,leaf_3_value,leaf_4_key,leaf_4_concept,leaf_4_label,leaf_4_entity,leaf_4_period,leaf_4_unit,leaf_4_value,leaf_5_key,leaf_5_concept,leaf_5_label,leaf_5_entity,leaf_5_period,leaf_5_unit,leaf_5_value,leaf_6_key,leaf_6_concept,leaf_6_label,leaf_6_entity,leaf_6_period,leaf_6_unit,leaf_6_value,leaf_7_key,leaf_7_concept,leaf_7_label,leaf_7_entity,leaf_7_period,leaf_7_unit,leaf_7_value,leaf_8_key,leaf_8_concept,leaf_8_label,leaf_8_entity,leaf_8_period,leaf_8_unit,leaf_8_value,leaf_9_key,leaf_9_concept,leaf_9_label,leaf_9_entity,leaf_9_period,leaf_9_unit,leaf_9_value,leaf_10_key,leaf_10_concept,leaf_10_label,leaf_10_entity,leaf_10_period,leaf_10_unit,leaf_10_value,leaf_11_key,leaf_11_concept,leaf_11_label,leaf_11_entity,leaf_11_period,leaf_11_unit,leaf_11_value
2,5,what is the value of the result of the minimum of short term investments for Apex Dynamics Corp using values from 2022 through 2025 scaled by ratio of longterm liabilities for Apex Dynamics Corp in 2024 to the maximum of total equity for Apex Dynamics Corp using values from 2020 through 2023 ?,,big_numbers,,"mul(min(min(min(2_short_term_investments, 3_short_term_investments), 4_short_term_investments), 5_short_term_investments), ratio(longterm_liabilities, max(max(max(0_total_equity, 1_total_equity), 2_total_equity), 3_total_equity)))","{""op"": ""mul"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""leaf"": ""2_short_term_investments"", ""depth"": 0}, ""right"": {""leaf"": ""3_short_term_investments"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""4_short_term_investments"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""5_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""right"": {""op"": ""ratio"", ""left"": {""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""4_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""4_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""leaf"": ""0_total_equity"", ""depth"": 0}, ""right"": {""leaf"": ""1_total_equity"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""2_total_equity"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""3_total_equity"", ""depth"": 0}, ""depth"": 3}, ""depth"": 4}, ""depth"": 5}","{""op"": ""mul"", ""left"": {""kind"": ""time_agg"", ""op"": ""min"", ""depth"": 0}, ""right"": {""op"": ""ratio"", ""left"": {""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}, ""right"": {""kind"": ""time_agg"", ""op"": ""max"", ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""depth"": 2, ""kind"": ""node""}",374411.8157369082,5,2,5,797293812,487396440,100,0.47,2,3,10,2_short_term_investments,short_term_investments,short term investments,Apex Dynamics Corp,2022,M_USD,2705872.0,3_short_term_investments,short_term_investments,short term investments,Apex Dynamics Corp,2023,M_USD,605442.0,4_short_term_investments,short_term_investments,short term investments,Apex Dynamics Corp,2024,M_USD,1052687.0,5_short_term_investments,short_term_investments,short term investments,Apex Dynamics Corp,2025,M_USD,1218736.0,4_total_liabilities,total_liabilities,total liabilities,Apex Dynamics Corp,2024,M_USD,6713135.0,4_current_liabilities,current_liabilities,current liabilities,Apex Dynamics Corp,2024,M_USD,2582841.0,0_total_equity,total_equity,total equity,Apex Dynamics Corp,2020,M_USD,2453637.0,1_total_equity,total_equity,total equity,Apex Dynamics Corp,2021,M_USD,4201319.0,2_total_equity,total_equity,total equity,Apex Dynamics Corp,2022,M_USD,6678885.0,3_total_equity,total_equity,total equity,Apex Dynamics Corp,2023,M_USD,5831350.0,,,,,,,
3,5,compute the the maximum of cash for Quantum Bridge Holdings using values from 2020 through 2025.,,big_numbers,,"max(max(max(max(max(12_cash, 13_cash), 14_cash), 15_cash), 16_cash), 17_cash)","{""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""leaf"": ""12_cash"", ""depth"": 0}, ""right"": {""leaf"": ""13_cash"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""14_cash"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""15_cash"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""16_cash"", ""depth"": 0}, ""depth"": 4}, ""right"": {""leaf"": ""17_cash"", ""depth"": 0}, ""depth"": 5}","{""kind"": ""time_agg"", ""op"": ""max"", ""depth"": 0}",2417424.0,5,0,5,17294393,616526206,100,0.439,0,1,6,12_cash,cash,cash,Quantum Bridge Holdings,2020,M_USD,1418412.0,13_cash,cash,cash,Quantum Bridge Holdings,2021,M_USD,285325.0,14_cash,cash,cash,Quantum Bridge Holdings,2022,M_USD,2417424.0,15_cash,cash,cash,Quantum Bridge Holdings,2023,M_USD,2229424.0,16_cash,cash,cash,Quantum Bridge Holdings,2024,M_USD,1218866.0,17_cash,cash,cash,Quantum Bridge Holdings,2025,M_USD,410465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,What does the following give: sum of current assets for Crimson Pharmaceuticals in 2021 and the maximum of total equity for Crimson Pharmaceuticals using values from 2020 through 2024,,big_numbers,,"sum(current_assets, max(max(max(max(84_total_equity, 85_total_equity), 86_total_equity), 87_total_equity), 88_total_equity))","{""op"": ""sum"", ""left"": {""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""85_cash"", ""depth"": 0}, ""right"": {""leaf"": ""85_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""85_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""85_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""right"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""leaf"": ""84_total_equity"", ""depth"": 0}, ""right"": {""leaf"": ""85_total_equity"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""86_total_equity"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""87_total_equity"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""88_total_equity"", ""depth"": 0}, ""depth"": 4}, ""depth"": 5}","{""op"": ""sum"", ""left"": {""kind"": ""derived_concept"", ""name"": ""current_assets"", ""depth"": 0}, ""right"": {""kind"": ""time_agg"", ""op"": ""max"", ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}",53222584.0,5,1,5,684261079,910547611,100,0.326,1,2,9,85_cash,cash,cash,Crimson Pharmaceuticals,2021,M_USD,2109210.0,85_accounts_receivable,accounts_receivable,accounts receivable,Crimson Pharmaceuticals,2021,M_USD,4536714.0,85_inventories,inventories,inventories,Crimson Pharmaceuticals,2021,M_USD,1892023.0,85_short_term_investments,short_term_investments,short term investments,Crimson Pharmaceuticals,2021,M_USD,6537356.0,84_total_equity,total_equity,total equity,Crimson Pharmaceuticals,2020,M_USD,38147281.0,85_total_equity,total_equity,total equity,Crimson Pharmaceuticals,2021,M_USD,21673028.0,86_total_equity,total_equity,total equity,Crimson Pharmaceuticals,2022,M_USD,14948191.0,87_total_equity,total_equity,total equity,Crimson Pharmaceuticals,2023,M_USD,29181263.0,88_total_equity,total_equity,total equity,Crimson Pharmaceuticals,2024,M_USD,31544187.0,,,,,,,,,,,,,,
5,5,What do we obtain as the average non operating expenses for Cobalt Semiconductor across years 2020 through 2024?,,big_numbers,,"ratio(sum(sum(sum(sum(66_non_operating_expenses, 67_non_operating_expenses), 68_non_operating_expenses), 69_non_operating_expenses), 70_non_operating_expenses), 5.0)","{""op"": ""ratio"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""66_non_operating_expenses"", ""depth"": 0}, ""right"": {""leaf"": ""67_non_operating_expenses"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""68_non_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""69_non_operating_expenses"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""70_non_operating_expenses"", ""depth"": 0}, ""depth"": 4}, ""right"": {""literal"": 5.0, ""depth"": 0}, ""depth"": 5}","{""kind"": ""time_agg"", ""op"": ""avg"", ""depth"": 0}",527308.6,5,0,5,899902848,43593440,100,0.462,0,1,5,66_non_operating_expenses,non_operating_expenses,non operating expenses,Cobalt Semiconductor,2020,M_USD,438988.0,67_non_operating_expenses,non_operating_expenses,non operating expenses,Cobalt Semiconductor,2021,M_USD,381226.0,68_non_operating_expenses,non_operating_expenses,non operating expenses,Cobalt Semiconductor,2022,M_USD,875676.0,69_non_operating_expenses,non_operating_expenses,non operating expenses,Cobalt Semiconductor,2023,M_USD,472560.0,70_non_operating_expenses,non_operating_expenses,non operating expenses,Cobalt Semiconductor,2024,M_USD,468093.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,what is the the maximum of operating expenses for Apex Dynamics Corp using values from 2020 through 2025?,,big_numbers,,"max(max(max(max(max(0_operating_expenses, 1_operating_expenses), 2_operating_expenses), 3_operating_expenses), 4_operating_expenses), 5_operating_expenses)","{""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""leaf"": ""0_operating_expenses"", ""depth"": 0}, ""right"": {""leaf"": ""1_operating_expenses"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""2_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""3_operating_expenses"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""4_operating_expenses"", ""depth"": 0}, ""depth"": 4}, ""right"": {""leaf"": ""5_operating_expenses"", ""depth"": 0}, ""depth"": 5}","{""kind"": ""time_agg"", ""op"": ""max"", ""depth"": 0}",1794497.0,5,0,5,692464199,923887135,100,0.213,0,1,6,0_operating_expenses,operating_expenses,operating expenses,Apex Dynamics Corp,2020,M_USD,528064.0,1_operating_expenses,operating_expenses,operating expenses,Apex Dynamics Corp,2021,M_USD,646086.0,2_operating_expenses,operating_expenses,operating expenses,Apex Dynamics Corp,2022,M_USD,1794497.0,3_operating_expenses,operating_expenses,operating expenses,Apex Dynamics Corp,2023,M_USD,567134.0,4_operating_expenses,operating_expenses,operating expenses,Apex Dynamics Corp,2024,M_USD,1353330.0,5_operating_expenses,operating_expenses,operating expenses,Apex Dynamics Corp,2025,M_USD,1596936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,compute the sum of current assets for Quantum Bridge Holdings in 2024 and the minimum of inventories for Quantum Bridge Holdings using values from 2021 through 2025 .,,big_numbers,,"sum(current_assets, min(min(min(min(13_inventories, 14_inventories), 15_inventories), 16_inventories), 17_inventories))","{""op"": ""sum"", ""left"": {""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""16_cash"", ""depth"": 0}, ""right"": {""leaf"": ""16_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""16_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""16_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""right"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""leaf"": ""13_inventories"", ""depth"": 0}, ""right"": {""leaf"": ""14_inventories"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""15_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""16_inventories"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""17_inventories"", ""depth"": 0}, ""depth"": 4}, ""depth"": 5}","{""op"": ""sum"", ""left"": {""kind"": ""derived_concept"", ""name"": ""current_assets"", ""depth"": 0}, ""right"": {""kind"": ""time_agg"", ""op"": ""min"", ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}",2747945.0,5,1,5,350886129,688202157,100,0.559,1,2,9,16_cash,cash,cash,Quantum Bridge Holdings,2024,M_USD,1218866.0,16_accounts_receivable,accounts_receivable,accounts receivable,Quantum Bridge Holdings,2024,M_USD,632361.0,16_inventories,inventories,inventories,Quantum Bridge Holdings,2024,M_USD,496042.0,16_short_term_investments,short_term_investments,short term investments,Quantum Bridge Holdings,2024,M_USD,147723.0,13_inventories,inventories,inventories,Quantum Bridge Holdings,2021,M_USD,434024.0,14_inventories,inventories,inventories,Quantum Bridge Holdings,2022,M_USD,500161.0,15_inventories,inventories,inventories,Quantum Bridge Holdings,2023,M_USD,252953.0,16_inventories,inventories,inventories,Quantum Bridge Holdings,2024,M_USD,496042.0,17_inventories,inventories,inventories,Quantum Bridge Holdings,2025,M_USD,317970.0,,,,,,,,,,,,,,
8,5,What do we obtain as the difference between total assets and longterm assets for Crimson Pharmaceuticals in 2020?,,big_numbers,,"diff(84_total_assets, longterm_assets)","{""op"": ""diff"", ""left"": {""leaf"": ""84_total_assets"", ""depth"": 0}, ""right"": {""derived"": ""longterm_assets"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""84_total_assets"", ""depth"": 0}, ""right"": {""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""84_cash"", ""depth"": 0}, ""right"": {""leaf"": ""84_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""84_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""84_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""depth"": 4}, ""depth"": 4}, ""depth"": 5}","{""op"": ""diff"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""derived_concept"", ""name"": ""longterm_assets"", ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}",15968964.0,5,1,5,953540234,747246138,100,0.594,1,2,6,84_total_assets,total_assets,total assets,Crimson Pharmaceuticals,2020,M_USD,53363319.0,84_total_assets,total_assets,total assets,Crimson Pharmaceuticals,2020,M_USD,53363319.0,84_cash,cash,cash,Crimson Pharmaceuticals,2020,M_USD,9195466.0,84_accounts_receivable,accounts_receivable,accounts receivable,Crimson Pharmaceuticals,2020,M_USD,3178314.0,84_inventories,inventories,inventories,Crimson Pharmaceuticals,2020,M_USD,2704413.0,84_short_term_investments,short_term_investments,short term investments,Crimson Pharmaceuticals,2020,M_USD,890771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5,May you give the average current liabilities for NovaStar Technologies across years 2021 through 2025?,,big_numbers,,"ratio(sum(sum(sum(sum(19_current_liabilities, 20_current_liabilities), 21_current_liabilities), 22_current_liabilities), 23_current_liabilities), 5.0)","{""op"": ""ratio"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""19_current_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""20_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""21_current_liabilities"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""22_current_liabilities"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""23_current_liabilities"", ""depth"": 0}, ""depth"": 4}, ""right"": {""literal"": 5.0, ""depth"": 0}, ""depth"": 5}","{""kind"": ""time_agg"", ""op"": ""avg"", ""depth"": 0}",6172182.0,5,0,5,980875856,428721761,100,0.468,0,1,5,19_current_liabilities,current_liabilities,current liabilities,NovaStar Technologies,2021,M_USD,3023419.0,20_current_liabilities,current_liabilities,current liabilities,NovaStar Technologies,2022,M_USD,3700364.0,21_current_liabilities,current_liabilities,current liabilities,NovaStar Technologies,2023,M_USD,13203137.0,22_current_liabilities,current_liabilities,current liabilities,NovaStar Technologies,2024,M_USD,4299126.0,23_current_liabilities,current_liabilities,current liabilities,NovaStar Technologies,2025,M_USD,6634864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5,Give the difference between result of ratio of sum of non operating expenses for Orion Financial Group in 2023 and non operating expenses for Orion Financial Group in 2024 to 2.0 scaled by ratio of the minimum of inventories for Orion Financial Group using values from 2021 through 2023 to gross profit and total assets for Orion Financial Group in 2024 .,,big_numbers,,"diff(mul(ratio(sum(57_non_operating_expenses, 58_non_operating_expenses), 2.0), ratio(min(min(55_inventories, 56_inventories), 57_inventories), gross_profit)), 58_total_assets)","{""op"": ""diff"", ""left"": {""op"": ""mul"", ""left"": {""op"": ""ratio"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""57_non_operating_expenses"", ""depth"": 0}, ""right"": {""leaf"": ""58_non_operating_expenses"", ""depth"": 0}, ""depth"": 1}, ""right"": {""literal"": 2.0, ""depth"": 0}, ""depth"": 2}, ""right"": {""op"": ""ratio"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""leaf"": ""55_inventories"", ""depth"": 0}, ""right"": {""leaf"": ""56_inventories"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""57_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""58_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""58_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""depth"": 3}, ""depth"": 4}, ""right"": {""leaf"": ""58_total_assets"", ""depth"": 0}, ""depth"": 5}","{""op"": ""diff"", ""left"": {""op"": ""mul"", ""left"": {""kind"": ""time_agg"", ""op"": ""avg"", ""depth"": 0}, ""right"": {""op"": ""ratio"", ""left"": {""kind"": ""time_agg"", ""op"": ""min"", ""depth"": 0}, ""right"": {""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""depth"": 2, ""kind"": ""node""}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 3, ""kind"": ""node""}",-26857027.997677244,5,3,5,846920460,364830598,100,0.553,3,4,8,57_non_operating_expenses,non_operating_expenses,non operating expenses,Orion Financial Group,2023,M_USD,1709959.0,58_non_operating_expenses,non_operating_expenses,non operating expenses,Orion Financial Group,2024,M_USD,1729669.0,55_inventories,inventories,inventories,Orion Financial Group,2021,M_USD,786689.0,56_inventories,inventories,inventories,Orion Financial Group,2022,M_USD,243322.0,57_inventories,inventories,inventories,Orion Financial Group,2023,M_USD,592202.0,58_revenue,revenue,revenue,Orion Financial Group,2024,M_USD,14208504.0,58_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Orion Financial Group,2024,M_USD,7743772.0,58_total_assets,total_assets,total assets,Orion Financial Group,2024,M_USD,26921759.0,,,,,,,,,,,,,,,,,,,,,
11,5,May you calculate the the maximum of accounts receivable for NovaStar Technologies using values from 2020 through 2025?,,big_numbers,,"max(max(max(max(max(18_accounts_receivable, 19_accounts_receivable), 20_accounts_receivable), 21_accounts_receivable), 22_accounts_receivable), 23_accounts_receivable)","{""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""leaf"": ""18_accounts_receivable"", ""depth"": 0}, ""right"": {""leaf"": ""19_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""20_accounts_receivable"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""21_accounts_receivable"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""22_accounts_receivable"", ""depth"": 0}, ""depth"": 4}, ""right"": {""leaf"": ""23_accounts_receivable"", ""depth"": 0}, ""depth"": 5}","{""kind"": ""time_agg"", ""op"": ""max"", ""depth"": 0}",2385612.0,5,0,5,437254194,819034756,100,0.577,0,1,6,18_accounts_receivable,accounts_receivable,accounts receivable,NovaStar Technologies,2020,M_USD,1364303.0,19_accounts_receivable,accounts_receivable,accounts receivable,NovaStar Technologies,2021,M_USD,1525041.0,20_accounts_receivable,accounts_receivable,accounts receivable,NovaStar Technologies,2022,M_USD,2045498.0,21_accounts_receivable,accounts_receivable,accounts receivable,NovaStar Technologies,2023,M_USD,1776490.0,22_accounts_receivable,accounts_receivable,accounts receivable,NovaStar Technologies,2024,M_USD,2385612.0,23_accounts_receivable,accounts_receivable,accounts receivable,NovaStar Technologies,2025,M_USD,1097496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
