question_id,depth,question,expression,expression_json,template_expression,answer,template_depth_requested,template_actual_depth,bound_expression_depth,tree_seed,binding_seed,master_seed,derived_prob,template_internal_nodes,template_leaf_slots,bound_leaf_count,leaf_1_key,leaf_1_concept,leaf_1_label,leaf_1_entity,leaf_1_period,leaf_1_unit,leaf_1_value,leaf_2_key,leaf_2_concept,leaf_2_label,leaf_2_entity,leaf_2_period,leaf_2_unit,leaf_2_value,leaf_3_key,leaf_3_concept,leaf_3_label,leaf_3_entity,leaf_3_period,leaf_3_unit,leaf_3_value,leaf_4_key,leaf_4_concept,leaf_4_label,leaf_4_entity,leaf_4_period,leaf_4_unit,leaf_4_value,leaf_5_key,leaf_5_concept,leaf_5_label,leaf_5_entity,leaf_5_period,leaf_5_unit,leaf_5_value,leaf_6_key,leaf_6_concept,leaf_6_label,leaf_6_entity,leaf_6_period,leaf_6_unit,leaf_6_value,leaf_7_key,leaf_7_concept,leaf_7_label,leaf_7_entity,leaf_7_period,leaf_7_unit,leaf_7_value,leaf_8_key,leaf_8_concept,leaf_8_label,leaf_8_entity,leaf_8_period,leaf_8_unit,leaf_8_value,leaf_9_key,leaf_9_concept,leaf_9_label,leaf_9_entity,leaf_9_period,leaf_9_unit,leaf_9_value,leaf_10_key,leaf_10_concept,leaf_10_label,leaf_10_entity,leaf_10_period,leaf_10_unit,leaf_10_value,leaf_11_key,leaf_11_concept,leaf_11_label,leaf_11_entity,leaf_11_period,leaf_11_unit,leaf_11_value,leaf_12_key,leaf_12_concept,leaf_12_label,leaf_12_entity,leaf_12_period,leaf_12_unit,leaf_12_value,leaf_13_key,leaf_13_concept,leaf_13_label,leaf_13_entity,leaf_13_period,leaf_13_unit,leaf_13_value,leaf_14_key,leaf_14_concept,leaf_14_label,leaf_14_entity,leaf_14_period,leaf_14_unit,leaf_14_value
1,1,You should calculate the result of accounts receivable scaled by income tax for Atlas Global Industries in 2022,"mul(26_accounts_receivable, 26_income_tax)","{""op"": ""mul"", ""left"": {""leaf"": ""26_accounts_receivable"", ""depth"": 0}, ""right"": {""leaf"": ""26_income_tax"", ""depth"": 0}, ""depth"": 1}","{""op"": ""mul"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""rate""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}",1926.7348297815872,1,1,1,591236332,805211845,704805092,0.406,1,2,2,26_accounts_receivable,accounts_receivable,accounts receivable,Atlas Global Industries,2022,M_USD,7696.0,26_income_tax,income_tax,income tax,Atlas Global Industries,2022,ratio,0.2503553573001023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,Evaluate the sum of inventories and short term investments for Titan Consumer Brands in 2021,"sum(61_inventories, 61_short_term_investments)","{""op"": ""sum"", ""left"": {""leaf"": ""61_inventories"", ""depth"": 0}, ""right"": {""leaf"": ""61_short_term_investments"", ""depth"": 0}, ""depth"": 1}","{""op"": ""sum"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}",42956.0,1,1,1,384618119,475704441,704805092,0.366,1,2,2,61_inventories,inventories,inventories,Titan Consumer Brands,2021,M_USD,9166.0,61_short_term_investments,short_term_investments,short term investments,Titan Consumer Brands,2021,M_USD,33790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,May you give the operating income for Orion Financial Group in 2022?,operating_income,"{""derived"": ""operating_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""56_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""56_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""leaf"": ""56_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 2}","{""kind"": ""derived_concept"", ""name"": ""operating_income"", ""depth"": 0}",24721.0,2,0,2,25659444,422707751,704805092,0.3,0,1,3,56_revenue,revenue,revenue,Orion Financial Group,2022,M_USD,115348.0,56_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Orion Financial Group,2022,M_USD,63745.0,56_operating_expenses,operating_expenses,operating expenses,Orion Financial Group,2022,M_USD,26882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Compute the result of accounts receivable scaled by income tax for Quantum Bridge Holdings in 2023,"mul(15_accounts_receivable, 15_income_tax)","{""op"": ""mul"", ""left"": {""leaf"": ""15_accounts_receivable"", ""depth"": 0}, ""right"": {""leaf"": ""15_income_tax"", ""depth"": 0}, ""depth"": 1}","{""op"": ""mul"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""rate""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}",1950.2980903684272,1,1,1,370713081,526803015,704805092,0.297,1,2,2,15_accounts_receivable,accounts_receivable,accounts receivable,Quantum Bridge Holdings,2023,M_USD,10394.0,15_income_tax,income_tax,income tax,Quantum Bridge Holdings,2023,ratio,0.18763691460154197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,state the cost of goods sold for Pinnacle Health Group in 2023,33_cost_of_goods_sold,"{""leaf"": ""33_cost_of_goods_sold"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",9524.0,2,0,0,930019995,229783237,704805092,0.133,0,1,1,33_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Pinnacle Health Group,2023,M_USD,9524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,May you give the result of the maximum of capex for Orion Financial Group using values from 2021 through 2024 scaled by ratio of current assets to inventories for Orion Financial Group in 2021,"mul(max(max(max(55_capex, 56_capex), 57_capex), 58_capex), ratio(current_assets, 55_inventories))","{""op"": ""mul"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""leaf"": ""55_capex"", ""depth"": 0}, ""right"": {""leaf"": ""56_capex"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""57_capex"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""58_capex"", ""depth"": 0}, ""depth"": 3}, ""right"": {""op"": ""ratio"", ""left"": {""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""55_cash"", ""depth"": 0}, ""right"": {""leaf"": ""55_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""55_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""55_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""right"": {""leaf"": ""55_inventories"", ""depth"": 0}, ""depth"": 4}, ""depth"": 5}","{""op"": ""mul"", ""left"": {""kind"": ""time_agg"", ""op"": ""max"", ""depth"": 0}, ""right"": {""op"": ""ratio"", ""left"": {""kind"": ""derived_concept"", ""name"": ""current_assets"", ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""depth"": 2, ""kind"": ""node""}",54320.05656539977,3,2,5,795371629,414697496,704805092,0.523,2,3,9,55_capex,capex,capex,Orion Financial Group,2021,M_USD,9407.0,56_capex,capex,capex,Orion Financial Group,2022,M_USD,3204.0,57_capex,capex,capex,Orion Financial Group,2023,M_USD,7088.0,58_capex,capex,capex,Orion Financial Group,2024,M_USD,11785.0,55_cash,cash,cash,Orion Financial Group,2021,M_USD,11712.0,55_accounts_receivable,accounts_receivable,accounts receivable,Orion Financial Group,2021,M_USD,8445.0,55_inventories,inventories,inventories,Orion Financial Group,2021,M_USD,7867.0,55_short_term_investments,short_term_investments,short term investments,Orion Financial Group,2021,M_USD,8237.0,55_inventories,inventories,inventories,Orion Financial Group,2021,M_USD,7867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,Give the sum of longterm assets for Orion Financial Group in 2020 and the maximum of total assets for Orion Financial Group using values from 2020 through 2025,"sum(longterm_assets, max(max(max(max(max(54_total_assets, 55_total_assets), 56_total_assets), 57_total_assets), 58_total_assets), 59_total_assets))","{""op"": ""sum"", ""left"": {""derived"": ""longterm_assets"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""54_total_assets"", ""depth"": 0}, ""right"": {""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""54_cash"", ""depth"": 0}, ""right"": {""leaf"": ""54_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""54_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""54_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""depth"": 4}, ""depth"": 4}, ""right"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""leaf"": ""54_total_assets"", ""depth"": 0}, ""right"": {""leaf"": ""55_total_assets"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""56_total_assets"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""57_total_assets"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""58_total_assets"", ""depth"": 0}, ""depth"": 4}, ""right"": {""leaf"": ""59_total_assets"", ""depth"": 0}, ""depth"": 5}, ""depth"": 6}","{""op"": ""sum"", ""left"": {""kind"": ""derived_concept"", ""name"": ""longterm_assets"", ""depth"": 0}, ""right"": {""kind"": ""time_agg"", ""op"": ""max"", ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}",301240.0,3,1,6,917104434,28070555,704805092,0.348,1,2,11,54_total_assets,total_assets,total assets,Orion Financial Group,2020,M_USD,67863.0,54_cash,cash,cash,Orion Financial Group,2020,M_USD,14348.0,54_accounts_receivable,accounts_receivable,accounts receivable,Orion Financial Group,2020,M_USD,7759.0,54_inventories,inventories,inventories,Orion Financial Group,2020,M_USD,5962.0,54_short_term_investments,short_term_investments,short term investments,Orion Financial Group,2020,M_USD,7772.0,54_total_assets,total_assets,total assets,Orion Financial Group,2020,M_USD,67863.0,55_total_assets,total_assets,total assets,Orion Financial Group,2021,M_USD,79108.0,56_total_assets,total_assets,total assets,Orion Financial Group,2022,M_USD,89512.0,57_total_assets,total_assets,total assets,Orion Financial Group,2023,M_USD,263222.0,58_total_assets,total_assets,total assets,Orion Financial Group,2024,M_USD,269218.0,59_total_assets,total_assets,total assets,Orion Financial Group,2025,M_USD,192213.0,,,,,,,,,,,,,,,,,,,,,
8,2,may you calculate the operating income for NovaStar Technologies in 2024?,operating_income,"{""derived"": ""operating_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""22_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""22_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""leaf"": ""22_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 2}","{""kind"": ""derived_concept"", ""name"": ""operating_income"", ""depth"": 0}",80626.0,4,0,2,253793034,362503566,704805092,0.194,0,1,3,22_revenue,revenue,revenue,NovaStar Technologies,2024,M_USD,177984.0,22_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,NovaStar Technologies,2024,M_USD,77449.0,22_operating_expenses,operating_expenses,operating expenses,NovaStar Technologies,2024,M_USD,19909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6,you should calculate the difference between the maximum of operating expenses for Titan Consumer Brands using values from 2020 through 2025 and the minimum of operating expenses for Titan Consumer Brands using values from 2020 through 2025 .,"diff(max(max(max(max(max(60_operating_expenses, 61_operating_expenses), 62_operating_expenses), 63_operating_expenses), 64_operating_expenses), 65_operating_expenses), min(min(min(min(min(60_operating_expenses, 61_operating_expenses), 62_operating_expenses), 63_operating_expenses), 64_operating_expenses), 65_operating_expenses))","{""op"": ""diff"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""leaf"": ""60_operating_expenses"", ""depth"": 0}, ""right"": {""leaf"": ""61_operating_expenses"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""62_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""63_operating_expenses"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""64_operating_expenses"", ""depth"": 0}, ""depth"": 4}, ""right"": {""leaf"": ""65_operating_expenses"", ""depth"": 0}, ""depth"": 5}, ""right"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""leaf"": ""60_operating_expenses"", ""depth"": 0}, ""right"": {""leaf"": ""61_operating_expenses"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""62_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""63_operating_expenses"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""64_operating_expenses"", ""depth"": 0}, ""depth"": 4}, ""right"": {""leaf"": ""65_operating_expenses"", ""depth"": 0}, ""depth"": 5}, ""depth"": 6}","{""op"": ""diff"", ""left"": {""kind"": ""time_agg"", ""op"": ""max"", ""depth"": 0}, ""right"": {""kind"": ""time_agg"", ""op"": ""min"", ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}",88453.0,2,1,6,957482303,214593221,704805092,0.315,1,2,12,60_operating_expenses,operating_expenses,operating expenses,Titan Consumer Brands,2020,M_USD,44200.0,61_operating_expenses,operating_expenses,operating expenses,Titan Consumer Brands,2021,M_USD,117808.0,62_operating_expenses,operating_expenses,operating expenses,Titan Consumer Brands,2022,M_USD,64344.0,63_operating_expenses,operating_expenses,operating expenses,Titan Consumer Brands,2023,M_USD,87854.0,64_operating_expenses,operating_expenses,operating expenses,Titan Consumer Brands,2024,M_USD,29355.0,65_operating_expenses,operating_expenses,operating expenses,Titan Consumer Brands,2025,M_USD,102226.0,60_operating_expenses,operating_expenses,operating expenses,Titan Consumer Brands,2020,M_USD,44200.0,61_operating_expenses,operating_expenses,operating expenses,Titan Consumer Brands,2021,M_USD,117808.0,62_operating_expenses,operating_expenses,operating expenses,Titan Consumer Brands,2022,M_USD,64344.0,63_operating_expenses,operating_expenses,operating expenses,Titan Consumer Brands,2023,M_USD,87854.0,64_operating_expenses,operating_expenses,operating expenses,Titan Consumer Brands,2024,M_USD,29355.0,65_operating_expenses,operating_expenses,operating expenses,Titan Consumer Brands,2025,M_USD,102226.0,,,,,,,,,,,,,,
10,3,Provide the sum of the minimum of accounts receivable for Pacific Crest Energy using values from 2021 through 2023 and cash for Pacific Crest Energy in 2022,"sum(min(min(49_accounts_receivable, 50_accounts_receivable), 51_accounts_receivable), 50_cash)","{""op"": ""sum"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""leaf"": ""49_accounts_receivable"", ""depth"": 0}, ""right"": {""leaf"": ""50_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""51_accounts_receivable"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""50_cash"", ""depth"": 0}, ""depth"": 3}","{""op"": ""sum"", ""left"": {""kind"": ""time_agg"", ""op"": ""min"", ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}",63951.0,3,1,3,392979805,653066628,704805092,0.372,1,2,4,49_accounts_receivable,accounts_receivable,accounts receivable,Pacific Crest Energy,2021,M_USD,13101.0,50_accounts_receivable,accounts_receivable,accounts receivable,Pacific Crest Energy,2022,M_USD,10261.0,51_accounts_receivable,accounts_receivable,accounts receivable,Pacific Crest Energy,2023,M_USD,25742.0,50_cash,cash,cash,Pacific Crest Energy,2022,M_USD,53690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
