Field,Value
Company Name,ClearPath Logistics
Ticker,CPTH
Sector,Industrials
Country,USA
Exchange,NYSE
Credit Rating,CCC

Income Statement,2022,2023,2024
Revenue,230637,221371,205265
Cost Of Goods Sold,117962,72352,82725
Gross Profit,112675,149019,122540
Operating Expenses,13037,46162,37945
Operating Income,99638,102857,84595
Net Income,83933,80330,61576

Balance Sheet,2022,2023,2024
Total Assets,360786,171727,204336
Total Liabilities,261147,126383,53647
Total Equity,99639,45344,150689
Current Assets,77031,81958,60642
Current Liabilities,80526,46405,24428
Cash,31822,16640,32035
Long Term Debt,162319,65213,27230
Accounts Receivable,27475,17765,23875
Inventories,11404,4008,3539

Per Share & Other,2022,2023,2024
Capex,8263,12180,11367
Dividends Paid,3853,19216,6851
Shares Outstanding,3450,13352,14954
Stock Price,131.96,591.61,357.17
Employees,136488,303838,408051

