question_id,depth,question,question_original,obstacle,useless_info_family_used,expression,expression_json,template_expression,answer,template_depth_requested,template_actual_depth,bound_expression_depth,tree_seed,binding_seed,master_seed,derived_prob,template_internal_nodes,template_leaf_slots,bound_leaf_count,leaf_1_key,leaf_1_concept,leaf_1_label,leaf_1_entity,leaf_1_period,leaf_1_unit,leaf_1_value,leaf_2_key,leaf_2_concept,leaf_2_label,leaf_2_entity,leaf_2_period,leaf_2_unit,leaf_2_value,leaf_3_key,leaf_3_concept,leaf_3_label,leaf_3_entity,leaf_3_period,leaf_3_unit,leaf_3_value,leaf_4_key,leaf_4_concept,leaf_4_label,leaf_4_entity,leaf_4_period,leaf_4_unit,leaf_4_value,leaf_5_key,leaf_5_concept,leaf_5_label,leaf_5_entity,leaf_5_period,leaf_5_unit,leaf_5_value,leaf_6_key,leaf_6_concept,leaf_6_label,leaf_6_entity,leaf_6_period,leaf_6_unit,leaf_6_value,leaf_7_key,leaf_7_concept,leaf_7_label,leaf_7_entity,leaf_7_period,leaf_7_unit,leaf_7_value,leaf_8_key,leaf_8_concept,leaf_8_label,leaf_8_entity,leaf_8_period,leaf_8_unit,leaf_8_value,leaf_9_key,leaf_9_concept,leaf_9_label,leaf_9_entity,leaf_9_period,leaf_9_unit,leaf_9_value
1,3,could you give the pretax income for Meridian Systems Inc in 2022? — answer using the figures exactly as given.,could you give the pretax income for Meridian Systems Inc in 2022?,negation,,pretax_income,"{""derived"": ""pretax_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""operating_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""8_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""8_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""leaf"": ""8_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 2}, ""right"": {""leaf"": ""8_non_operating_expenses"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}","{""kind"": ""derived_concept"", ""name"": ""pretax_income"", ""depth"": 0}",36587.0,4,0,3,951851014,156695443,542427445,0.297,0,1,4,8_revenue,revenue,revenue,Meridian Systems Inc,2022,M_USD,163959.0,8_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Meridian Systems Inc,2022,M_USD,84255.0,8_operating_expenses,operating_expenses,operating expenses,Meridian Systems Inc,2022,M_USD,26227.0,8_non_operating_expenses,non_operating_expenses,non operating expenses,Meridian Systems Inc,2022,M_USD,16890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,It is not the case that you should ignore the following — determine: What's the value of the gross profit for Atlas Global Industries in 2022?,What's the value of the gross profit for Atlas Global Industries in 2022?,negation,,gross_profit,"{""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""26_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""26_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}",54671.0,3,0,1,120487788,740177495,542427445,0.356,0,1,2,26_revenue,revenue,revenue,Atlas Global Industries,2022,M_USD,87003.0,26_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Atlas Global Industries,2022,M_USD,32332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,which quantity is given by the longterm liabilities for Ironclad Manufacturing in 2023? — answer using the figures exactly as given.,which quantity is given by the longterm liabilities for Ironclad Manufacturing in 2023?,negation,,longterm_liabilities,"{""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""39_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""39_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}",123432.0,4,0,1,443017014,872953357,542427445,0.348,0,1,2,39_total_liabilities,total_liabilities,total liabilities,Ironclad Manufacturing,2023,M_USD,190519.0,39_current_liabilities,current_liabilities,current liabilities,Ironclad Manufacturing,2023,M_USD,67087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,It is not the case that you should ignore the following — determine: what does the following give: difference between longterm liabilities and longterm liabilities for Crimson Pharmaceuticals in 2023 ?,what does the following give: difference between longterm liabilities and longterm liabilities for Crimson Pharmaceuticals in 2023 ?,negation,,"diff(longterm_liabilities, longterm_liabilities)","{""op"": ""diff"", ""left"": {""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""87_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""87_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""87_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""87_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""depth"": 2}","{""op"": ""diff"", ""left"": {""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}, ""right"": {""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}",0.0,4,1,2,284658289,667971340,542427445,0.317,1,2,4,87_total_liabilities,total_liabilities,total liabilities,Crimson Pharmaceuticals,2023,M_USD,372880.0,87_current_liabilities,current_liabilities,current liabilities,Crimson Pharmaceuticals,2023,M_USD,127801.0,87_total_liabilities,total_liabilities,total liabilities,Crimson Pharmaceuticals,2023,M_USD,372880.0,87_current_liabilities,current_liabilities,current liabilities,Crimson Pharmaceuticals,2023,M_USD,127801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,Do not apply any adjustment; simply compute: what's the value of the current assets for Atlas Global Industries in 2022 ?,what's the value of the current assets for Atlas Global Industries in 2022 ?,negation,,current_assets,"{""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""26_cash"", ""depth"": 0}, ""right"": {""leaf"": ""26_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""26_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""26_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}","{""kind"": ""derived_concept"", ""name"": ""current_assets"", ""depth"": 0}",27487.0,2,0,3,916625371,967751402,542427445,0.487,0,1,4,26_cash,cash,cash,Atlas Global Industries,2022,M_USD,13377.0,26_accounts_receivable,accounts_receivable,accounts receivable,Atlas Global Industries,2022,M_USD,7696.0,26_inventories,inventories,inventories,Atlas Global Industries,2022,M_USD,1652.0,26_short_term_investments,short_term_investments,short term investments,Atlas Global Industries,2022,M_USD,4762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,Do not apply any adjustment; simply compute: which quantity is given by the longterm assets for Ironclad Manufacturing in 2020 ?,which quantity is given by the longterm assets for Ironclad Manufacturing in 2020 ?,negation,,longterm_assets,"{""derived"": ""longterm_assets"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""36_total_assets"", ""depth"": 0}, ""right"": {""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""36_cash"", ""depth"": 0}, ""right"": {""leaf"": ""36_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""36_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""36_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""depth"": 4}, ""depth"": 4}","{""kind"": ""derived_concept"", ""name"": ""longterm_assets"", ""depth"": 0}",148307.0,4,0,4,305916308,438039686,542427445,0.547,0,1,5,36_total_assets,total_assets,total assets,Ironclad Manufacturing,2020,M_USD,307723.0,36_cash,cash,cash,Ironclad Manufacturing,2020,M_USD,49146.0,36_accounts_receivable,accounts_receivable,accounts receivable,Ironclad Manufacturing,2020,M_USD,42355.0,36_inventories,inventories,inventories,Ironclad Manufacturing,2020,M_USD,22596.0,36_short_term_investments,short_term_investments,short term investments,Ironclad Manufacturing,2020,M_USD,45319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,"What would be the current assets for Cobalt Semiconductor in 2022 ? (compute the value as stated, without sign changes.)",What would be the current assets for Cobalt Semiconductor in 2022 ?,negation,,current_assets,"{""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""68_cash"", ""depth"": 0}, ""right"": {""leaf"": ""68_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""68_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""68_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}","{""kind"": ""derived_concept"", ""name"": ""current_assets"", ""depth"": 0}",17996.0,3,0,3,829319701,735465627,542427445,0.434,0,1,4,68_cash,cash,cash,Cobalt Semiconductor,2022,M_USD,6222.0,68_accounts_receivable,accounts_receivable,accounts receivable,Cobalt Semiconductor,2022,M_USD,4459.0,68_inventories,inventories,inventories,Cobalt Semiconductor,2022,M_USD,3218.0,68_short_term_investments,short_term_investments,short term investments,Cobalt Semiconductor,2022,M_USD,4097.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,"Without changing the definition, find: you should give the longterm assets for ClearPath Logistics in 2024 .",you should give the longterm assets for ClearPath Logistics in 2024 .,negation,,longterm_assets,"{""derived"": ""longterm_assets"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""82_total_assets"", ""depth"": 0}, ""right"": {""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""82_cash"", ""depth"": 0}, ""right"": {""leaf"": ""82_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""82_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""82_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""depth"": 4}, ""depth"": 4}","{""kind"": ""derived_concept"", ""name"": ""longterm_assets"", ""depth"": 0}",450563.0,3,0,4,666430828,83016351,542427445,0.369,0,1,5,82_total_assets,total_assets,total assets,ClearPath Logistics,2024,M_USD,690729.0,82_cash,cash,cash,ClearPath Logistics,2024,M_USD,104931.0,82_accounts_receivable,accounts_receivable,accounts receivable,ClearPath Logistics,2024,M_USD,49619.0,82_inventories,inventories,inventories,ClearPath Logistics,2024,M_USD,17238.0,82_short_term_investments,short_term_investments,short term investments,ClearPath Logistics,2024,M_USD,68378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,"Without changing the definition, find: which value corresponds to the longterm assets for Helix BioSciences in 2022",which value corresponds to the longterm assets for Helix BioSciences in 2022,negation,,longterm_assets,"{""derived"": ""longterm_assets"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""74_total_assets"", ""depth"": 0}, ""right"": {""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""74_cash"", ""depth"": 0}, ""right"": {""leaf"": ""74_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""74_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""74_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""depth"": 4}, ""depth"": 4}","{""kind"": ""derived_concept"", ""name"": ""longterm_assets"", ""depth"": 0}",226619.0,4,0,4,32234708,888909974,542427445,0.541,0,1,5,74_total_assets,total_assets,total assets,Helix BioSciences,2022,M_USD,357135.0,74_cash,cash,cash,Helix BioSciences,2022,M_USD,62300.0,74_accounts_receivable,accounts_receivable,accounts receivable,Helix BioSciences,2022,M_USD,29904.0,74_inventories,inventories,inventories,Helix BioSciences,2022,M_USD,18073.0,74_short_term_investments,short_term_investments,short term investments,Helix BioSciences,2022,M_USD,20239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,Do not apply any adjustment; simply compute: What do we obtain as the gross profit for Cobalt Semiconductor in 2023,What do we obtain as the gross profit for Cobalt Semiconductor in 2023,negation,,gross_profit,"{""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""69_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""69_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}",28997.0,4,0,1,817151228,224160549,542427445,0.547,0,1,2,69_revenue,revenue,revenue,Cobalt Semiconductor,2023,M_USD,56007.0,69_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Cobalt Semiconductor,2023,M_USD,27010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
