<===== START qwen_3_7_plus_mixed_depth_1_5_multiturn_90q | provider=Fireworks | model=accounts/fireworks/models/qwen3p7-plus | dataset=multiturn-90q | limit=250 =====>
90Q are Sheet: /output/financial_spreadsheet.json
90Q are Questions: /output/original_questions.json
Loading datasets...
  Generating multi-turn chains from 250 90q questions...
  Generated 250 MT questions (249 multi-turn) → output_llm/mt_from_90q_20260809_211639.json

============================================================
  Evaluating model: accounts/fireworks/models/qwen3p7-plus
============================================================

-- Multi-turn evaluation (250 questions) --
  [1/249] CORRECT | turns=1 depth=1 | truth=5171.0000 pred=5171.0 | Determine the longterm liabilities for Pinnacle He...
  [2/249] CORRECT | turns=5 depth=5 | truth=23315.0000 pred=23315.0 | which result follows from the average capex for Ir...
  [3/249] CORRECT | turns=4 depth=3 | truth=89864.9045 pred=89864.85 | Calculate the result of longterm liabilities scale...
  [4/249] CORRECT | turns=1 depth=2 | truth=22901.0000 pred=22901.0 | May you calculate the the maximum of short term in...
  [5/249] CORRECT | turns=1 depth=4 | truth=26227.0000 pred=26227.0 | which quantity is given by the the maximum of oper...
  [6/249] CORRECT | turns=7 depth=5 | truth=25904.0000 pred=25904.0 | What's the value of the sum of difference between ...
  [7/249] CORRECT | turns=1 depth=1 | truth=5376.0000 pred=5376.0 | May you give the the minimum of accounts receivabl...
  [8/249] CORRECT | turns=3 depth=3 | truth=522.6667 pred=522.67 | Determine the average capex for Pinnacle Health Gr...
  [9/249] CORRECT | turns=1 depth=1 | truth=323622.0000 pred=323622.0 | evaluate the gross profit for Titan Consumer Brand...
  [10/249] CORRECT | turns=1 depth=2 | truth=5002.0000 pred=5002.0 | Determine the the maximum of inventories for Quant...
  [11/249] CORRECT | turns=1 depth=3 | truth=46761.0000 pred=46761.0 | Compute the the maximum of cost of goods sold for ...
  [12/249] CORRECT | turns=4 depth=4 | truth=9640.0000 pred=9640.0 | state the longterm assets for Pinnacle Health Grou...
  [13/249] CORRECT | turns=1 depth=4 | truth=179616.0000 pred=179616.0 | Which value corresponds to the the maximum of cost...
  [14/249] CORRECT | turns=1 depth=2 | truth=164.0000 pred=164.0 | what is the the minimum of dividends paid for Apex...
  [15/249] CORRECT | turns=4 depth=3 | truth=12860.0945 pred=12806.57 | What is the result of current liabilities scaled b...
  [16/249] CORRECT | turns=1 depth=4 | truth=124280.0000 pred=124280.0 | Compute the the maximum of total liabilities for Q...
  [17/249] CORRECT | turns=1 depth=1 | truth=46078.0000 pred=46078.0 | State the sum of total assets and non operating ex...
