company_name,form_type,industry,fiscal_year,quarter,period,fiscal_year_start,net_sales_Q_Oct_31_2025,membership_and_other_income_Q_Oct_31_2025,revenues_Q_Oct_31_2025,cost_of_sales_Q_Oct_31_2025,rd_expense_Q_Oct_31_2025,sga_expense_Q_Oct_31_2025,total_costs_Q_Oct_31_2025,gross_profit_Q_Oct_31_2025,operating_income_Q_Oct_31_2025,other_income_Q_Oct_31_2025,pretax_income_Q_Oct_31_2025,tax_Q_Oct_31_2025,net_income_Q_Oct_31_2025,eps_basic_Q_Oct_31_2025,eps_diluted_Q_Oct_31_2025,shares_basic_Q_Oct_31_2025,shares_diluted_Q_Oct_31_2025,net_sales_Q_Oct_31_2024,membership_and_other_income_Q_Oct_31_2024,revenues_Q_Oct_31_2024,cost_of_sales_Q_Oct_31_2024,rd_expense_Q_Oct_31_2024,sga_expense_Q_Oct_31_2024,total_costs_Q_Oct_31_2024,gross_profit_Q_Oct_31_2024,operating_income_Q_Oct_31_2024,other_income_Q_Oct_31_2024,pretax_income_Q_Oct_31_2024,tax_Q_Oct_31_2024,net_income_Q_Oct_31_2024,eps_basic_Q_Oct_31_2024,eps_diluted_Q_Oct_31_2024,shares_basic_Q_Oct_31_2024,shares_diluted_Q_Oct_31_2024,net_sales_YTD_Oct_31_2025,membership_and_other_income_YTD_Oct_31_2025,revenues_YTD_Oct_31_2025,cost_of_sales_YTD_Oct_31_2025,rd_expense_YTD_Oct_31_2025,sga_expense_YTD_Oct_31_2025,total_costs_YTD_Oct_31_2025,gross_profit_YTD_Oct_31_2025,operating_income_YTD_Oct_31_2025,other_income_YTD_Oct_31_2025,pretax_income_YTD_Oct_31_2025,tax_YTD_Oct_31_2025,net_income_YTD_Oct_31_2025,eps_basic_YTD_Oct_31_2025,eps_diluted_YTD_Oct_31_2025,shares_basic_YTD_Oct_31_2025,shares_diluted_YTD_Oct_31_2025,net_sales_YTD_Oct_31_2024,membership_and_other_income_YTD_Oct_31_2024,revenues_YTD_Oct_31_2024,cost_of_sales_YTD_Oct_31_2024,rd_expense_YTD_Oct_31_2024,sga_expense_YTD_Oct_31_2024,total_costs_YTD_Oct_31_2024,gross_profit_YTD_Oct_31_2024,operating_income_YTD_Oct_31_2024,other_income_YTD_Oct_31_2024,pretax_income_YTD_Oct_31_2024,tax_YTD_Oct_31_2024,net_income_YTD_Oct_31_2024,eps_basic_YTD_Oct_31_2024,eps_diluted_YTD_Oct_31_2024,shares_basic_YTD_Oct_31_2024,shares_diluted_YTD_Oct_31_2024,ci_net_income_Q_Oct_31_2025,ci_fx_translation_Q_Oct_31_2025,ci_unrealized_gains_Q_Oct_31_2025,ci_total_oci_Q_Oct_31_2025,comprehensive_income_Q_Oct_31_2025,ci_net_income_Q_Oct_31_2024,ci_fx_translation_Q_Oct_31_2024,ci_unrealized_gains_Q_Oct_31_2024,ci_total_oci_Q_Oct_31_2024,comprehensive_income_Q_Oct_31_2024,ci_net_income_YTD_Oct_31_2025,ci_fx_translation_YTD_Oct_31_2025,ci_unrealized_gains_YTD_Oct_31_2025,ci_total_oci_YTD_Oct_31_2025,comprehensive_income_YTD_Oct_31_2025,ci_net_income_YTD_Oct_31_2024,ci_fx_translation_YTD_Oct_31_2024,ci_unrealized_gains_YTD_Oct_31_2024,ci_total_oci_YTD_Oct_31_2024,comprehensive_income_YTD_Oct_31_2024,cash_Oct_31_2025,st_investments_Oct_31_2025,accounts_receivable_Oct_31_2025,inventories_Oct_31_2025,prepaid_Oct_31_2025,current_assets_Oct_31_2025,lt_investments_Oct_31_2025,ppe_Oct_31_2025,goodwill_Oct_31_2025,other_nca_Oct_31_2025,total_assets_Oct_31_2025,accounts_payable_Oct_31_2025,deferred_revenue_Oct_31_2025,accrued_expenses_Oct_31_2025,current_debt_Oct_31_2025,current_liabilities_Oct_31_2025,long_term_debt_Oct_31_2025,other_ncl_Oct_31_2025,total_liabilities_Oct_31_2025,common_stock_apic_Oct_31_2025,retained_earnings_Oct_31_2025,aoci_Oct_31_2025,total_equity_Oct_31_2025,cash_Dec_31_2024,st_investments_Dec_31_2024,accounts_receivable_Dec_31_2024,inventories_Dec_31_2024,prepaid_Dec_31_2024,current_assets_Dec_31_2024,lt_investments_Dec_31_2024,ppe_Dec_31_2024,goodwill_Dec_31_2024,other_nca_Dec_31_2024,total_assets_Dec_31_2024,accounts_payable_Dec_31_2024,deferred_revenue_Dec_31_2024,accrued_expenses_Dec_31_2024,current_debt_Dec_31_2024,current_liabilities_Dec_31_2024,long_term_debt_Dec_31_2024,other_ncl_Dec_31_2024,total_liabilities_Dec_31_2024,common_stock_apic_Dec_31_2024,retained_earnings_Dec_31_2024,aoci_Dec_31_2024,total_equity_Dec_31_2024,cf_net_income_YTD_Oct_31_2025,cf_da_YTD_Oct_31_2025,cf_sbc_YTD_Oct_31_2025,cf_operating_YTD_Oct_31_2025,cf_capex_YTD_Oct_31_2025,cf_investing_YTD_Oct_31_2025,cf_repurchases_YTD_Oct_31_2025,cf_dividends_YTD_Oct_31_2025,cf_financing_YTD_Oct_31_2025,cf_fx_effect_YTD_Oct_31_2025,cf_net_change_YTD_Oct_31_2025,cf_closing_cash_YTD_Oct_31_2025,cf_net_income_YTD_Oct_31_2024,cf_da_YTD_Oct_31_2024,cf_sbc_YTD_Oct_31_2024,cf_operating_YTD_Oct_31_2024,cf_capex_YTD_Oct_31_2024,cf_investing_YTD_Oct_31_2024,cf_repurchases_YTD_Oct_31_2024,cf_dividends_YTD_Oct_31_2024,cf_financing_YTD_Oct_31_2024,cf_fx_effect_YTD_Oct_31_2024,cf_net_change_YTD_Oct_31_2024,cf_closing_cash_YTD_Oct_31_2024
Volt Inc,10-Q,retail,2025,3,Three Months Ended October 31 2025,January 01 2025,111556.0,1217.0,112773.0,83462.0,156.0,20995.0,104613.0,28094.0,8160.0,-289.0,7871.0,1989.0,5882.0,12.25,12.23,480000.0,481000.0,128098.0,1397.0,129495.0,95838.0,179.0,24108.0,120125.0,32260.0,9370.0,-332.0,9038.0,2284.0,6754.0,14.07,14.04,487741.0,494135.0,334668.0,3651.0,338319.0,250386.0,468.0,62985.0,313839.0,84282.0,24480.0,-867.0,23613.0,5967.0,17646.0,36.76,36.69,497591.0,475234.0,384294.0,4191.0,388485.0,287514.0,537.0,72324.0,360375.0,96780.0,28110.0,-996.0,27114.0,6852.0,20262.0,42.21,42.12,477764.0,497071.0,5882.0,-50.0,-34.0,-84.0,5798.0,6754.0,48.0,32.0,80.0,6834.0,17646.0,144.0,96.0,240.0,17886.0,20262.0,166.0,102.0,268.0,20530.0,8492.0,6823.0,15186.0,19143.0,5361.0,55005.0,13912.0,32333.0,10233.0,8050.0,119533.0,30369.0,4091.0,7291.0,3192.0,44943.0,33768.0,2915.0,81626.0,22364.0,18507.0,-2964.0,37907.0,7370.0,5921.0,13179.0,16613.0,4653.0,47736.0,12074.0,28060.0,8881.0,6986.0,103737.0,26356.0,3550.0,6327.0,2770.0,39003.0,29306.0,2530.0,70839.0,23029.0,9869.0,0,32898.0,17646.0,9768.0,1883.0,14204.0,-7947.0,-10352.0,-1309.0,-1055.0,-3175.0,82.0,759.0,9906.0,20262.0,11216.0,2162.0,16130.0,-9125.0,-11887.0,-1503.0,-1211.0,-3718.0,-114.0,411.0,10914.0
Apex Technologies,10-Q,retail,2025,3,Three Months Ended October 31 2025,January 01 2025,114699.0,1272.0,115971.0,75160.0,424.0,27055.0,102639.0,39539.0,13332.0,-1037.0,12295.0,3147.0,9148.0,1.94,1.92,4724000.0,4767000.0,116183.0,1288.0,117471.0,76132.0,429.0,27405.0,103966.0,40051.0,13505.0,-1050.0,12455.0,3188.0,9267.0,1.96,1.94,4793511.0,4873493.0,344097.0,3816.0,347913.0,225480.0,1272.0,81165.0,307917.0,118617.0,39996.0,-3111.0,36885.0,9441.0,27444.0,5.81,5.76,4695084.0,4588875.0,348549.0,3864.0,352413.0,228396.0,1287.0,82215.0,311898.0,120153.0,40515.0,-3150.0,37365.0,9564.0,27801.0,5.89,5.83,4525664.0,4680976.0,9148.0,314.0,210.0,524.0,9672.0,9267.0,57.0,38.0,95.0,9362.0,27444.0,171.0,114.0,285.0,27729.0,27801.0,149.0,126.0,275.0,28076.0,11106.0,4101.0,19344.0,22375.0,4101.0,61027.0,8229.0,25401.0,7878.0,3350.0,105885.0,47637.0,4956.0,5474.0,6782.0,64849.0,23443.0,3545.0,91837.0,6065.0,8463.0,-480.0,14048.0,12198.0,4504.0,21246.0,24575.0,4504.0,67027.0,9038.0,27899.0,8653.0,3679.0,116296.0,52321.0,5443.0,6012.0,7449.0,71225.0,25748.0,3894.0,100867.0,10800.0,4629.0,0,15429.0,27444.0,8776.0,1575.0,51844.0,-7677.0,-9082.0,-1907.0,-1083.0,-7520.0,-197.0,35045.0,47177.0,27801.0,8890.0,1595.0,52212.0,-7776.0,-9199.0,-1932.0,-1097.0,-7737.0,183.0,35459.0,47748.0
Mira Systems,10-Q,retail,2025,3,Three Months Ended October 31 2025,January 01 2025,105615.0,634.0,106249.0,80778.0,401.0,21457.0,102636.0,24837.0,3613.0,-819.0,2794.0,710.0,2084.0,0.3,0.29,7015000.0,7090000.0,96589.0,580.0,97169.0,73874.0,367.0,19623.0,93864.0,22715.0,3305.0,-749.0,2556.0,650.0,1906.0,0.27,0.27,6923464.0,7069353.0,316845.0,1902.0,318747.0,242334.0,1203.0,64371.0,307908.0,74511.0,10839.0,-2457.0,8382.0,2130.0,6252.0,0.89,0.88,6769887.0,7078267.0,289767.0,1740.0,291507.0,221622.0,1101.0,58869.0,281592.0,68145.0,9915.0,-2247.0,7668.0,1950.0,5718.0,0.82,0.81,7361198.0,7257766.0,2084.0,71.0,47.0,118.0,2202.0,1906.0,75.0,50.0,125.0,2031.0,6252.0,225.0,150.0,375.0,6627.0,5718.0,188.0,143.0,331.0,6049.0,8242.0,6016.0,14691.0,18653.0,4943.0,52545.0,10439.0,28280.0,9760.0,3120.0,104144.0,43252.0,4111.0,5936.0,6097.0,59396.0,33202.0,3948.0,96546.0,4348.0,4244.0,-994.0,7598.0,7025.0,5128.0,12521.0,15898.0,4213.0,44785.0,8897.0,24104.0,8319.0,2659.0,88764.0,36865.0,3504.0,5059.0,5197.0,50625.0,28299.0,3365.0,82289.0,4532.0,1943.0,0,6475.0,6252.0,11071.0,2062.0,33127.0,-13718.0,-14694.0,-1606.0,-328.0,-5827.0,-94.0,12512.0,21792.0,5718.0,10125.0,1886.0,29947.0,-12546.0,-13439.0,-1469.0,-300.0,-5389.0,44.0,11163.0,19650.0
Zion Solutions,10-Q,retail,2025,3,Three Months Ended October 31 2025,January 01 2025,39577.0,576.0,40153.0,29310.0,9.0,8657.0,37976.0,10267.0,2177.0,-350.0,1827.0,490.0,1337.0,0.17,0.17,7728000.0,7806000.0,41136.0,599.0,41735.0,30464.0,9.0,8998.0,39471.0,10672.0,2264.0,-364.0,1900.0,510.0,1390.0,0.18,0.18,7503632.0,7537438.0,118731.0,1728.0,120459.0,87930.0,27.0,25971.0,113928.0,30801.0,6531.0,-1050.0,5481.0,1470.0,4011.0,0.52,0.51,7891471.0,7746695.0,123408.0,1797.0,125205.0,91392.0,27.0,26994.0,118413.0,32016.0,6792.0,-1092.0,5700.0,1530.0,4170.0,0.54,0.53,7503824.0,7716356.0,1337.0,62.0,41.0,103.0,1440.0,1390.0,-14.0,-10.0,-24.0,1366.0,4011.0,-43.0,-29.0,-72.0,3939.0,4170.0,-45.0,-28.0,-73.0,4097.0,1741.0,2596.0,4241.0,7504.0,1036.0,17118.0,1243.0,13937.0,4522.0,2247.0,39067.0,9464.0,1553.0,1659.0,1356.0,14032.0,11677.0,1551.0,27260.0,7151.0,6377.0,-1721.0,11807.0,1704.0,2541.0,4151.0,7345.0,1014.0,16755.0,1217.0,13641.0,4426.0,2199.0,38238.0,9263.0,1520.0,1624.0,1327.0,13734.0,11429.0,1518.0,26681.0,8090.0,3467.0,0,11557.0,4011.0,4594.0,656.0,9849.0,-4265.0,-4267.0,-1503.0,-448.0,-2553.0,-69.0,2960.0,4912.0,4170.0,4775.0,682.0,10812.0,-4433.0,-4435.0,-1562.0,-466.0,-2645.0,7.0,3739.0,5768.0
Nova Solutions,10-Q,retail,2025,3,Three Months Ended October 31 2025,January 01 2025,88807.0,473.0,89280.0,59343.0,203.0,19649.0,79195.0,29464.0,10085.0,-370.0,9715.0,2689.0,7026.0,8.71,8.66,807000.0,811000.0,96065.0,512.0,96577.0,64193.0,220.0,21255.0,85668.0,31872.0,10909.0,-400.0,10509.0,2909.0,7600.0,9.42,9.37,815900.0,828171.0,266421.0,1419.0,267840.0,178029.0,609.0,58947.0,237585.0,88392.0,30255.0,-1110.0,29145.0,8067.0,21078.0,26.12,25.99,789564.0,779841.0,288195.0,1536.0,289731.0,192579.0,660.0,63765.0,257004.0,95616.0,32727.0,-1200.0,31527.0,8727.0,22800.0,28.25,28.11,811850.0,800121.0,7026.0,-532.0,-354.0,-886.0,6140.0,7600.0,-65.0,-44.0,-109.0,7491.0,21078.0,-196.0,-131.0,-327.0,20751.0,22800.0,-178.0,-127.0,-305.0,22495.0,8045.0,11758.0,8307.0,17047.0,3651.0,48808.0,9800.0,34360.0,5678.0,6968.0,105614.0,21509.0,2172.0,6033.0,4436.0,34150.0,22991.0,2359.0,59500.0,23665.0,24694.0,-2245.0,46114.0,6971.0,10188.0,7198.0,14770.0,3163.0,42290.0,8491.0,29771.0,4920.0,6037.0,91509.0,18637.0,1882.0,5227.0,3844.0,29590.0,19921.0,2044.0,51555.0,27968.0,11986.0,0,39954.0,21078.0,7219.0,2271.0,28673.0,-5880.0,-7586.0,-1267.0,-1282.0,-3830.0,15.0,17272.0,24360.0,22800.0,7809.0,2457.0,29167.0,-6361.0,-8207.0,-1371.0,-1387.0,-3807.0,-116.0,17037.0,24704.0
Alto Inc,10-Q,retail,2025,3,Three Months Ended October 31 2025,January 01 2025,83604.0,969.0,84573.0,59007.0,215.0,17634.0,76856.0,24597.0,7717.0,-321.0,7396.0,1980.0,5416.0,0.63,0.63,8625000.0,8634000.0,84337.0,977.0,85314.0,59524.0,217.0,17789.0,77530.0,24813.0,7784.0,-324.0,7460.0,1997.0,5463.0,0.63,0.63,8288751.0,8562044.0,250812.0,2907.0,253719.0,177021.0,645.0,52902.0,230568.0,73791.0,23151.0,-963.0,22188.0,5940.0,16248.0,1.88,1.88,8952017.0,8901621.0,253011.0,2931.0,255942.0,178572.0,651.0,53367.0,232590.0,74439.0,23352.0,-972.0,22380.0,5991.0,16389.0,1.9,1.9,8891610.0,8998362.0,5416.0,343.0,228.0,571.0,5987.0,5463.0,89.0,60.0,149.0,5612.0,16248.0,268.0,179.0,447.0,16695.0,16389.0,284.0,174.0,458.0,16847.0,7318.0,4967.0,12740.0,8437.0,4400.0,37862.0,8513.0,23872.0,7162.0,4250.0,81659.0,23415.0,5267.0,6158.0,2854.0,37694.0,18258.0,4557.0,60509.0,10533.0,10454.0,163.0,21150.0,7949.0,5395.0,13838.0,9164.0,4779.0,41125.0,9246.0,25929.0,7779.0,4616.0,88695.0,25432.0,5721.0,6689.0,3100.0,40942.0,19831.0,4950.0,65723.0,16080.0,6892.0,0,22972.0,16248.0,5508.0,2055.0,15197.0,-9368.0,-9287.0,-1256.0,-2062.0,-4215.0,-35.0,1660.0,10611.0,16389.0,5556.0,2073.0,15448.0,-9450.0,-9368.0,-1267.0,-2080.0,-4394.0,-129.0,1557.0,10586.0
Orion Enterprises,10-Q,retail,2025,3,Three Months Ended October 31 2025,January 01 2025,84090.0,550.0,84640.0,59744.0,667.0,18536.0,78947.0,24346.0,5693.0,-241.0,5452.0,1342.0,4110.0,0.56,0.56,7300000.0,7374000.0,82298.0,538.0,82836.0,58471.0,653.0,18141.0,77265.0,23827.0,5571.0,-236.0,5335.0,1313.0,4022.0,0.55,0.55,7365546.0,7519150.0,252270.0,1650.0,253920.0,179232.0,2001.0,55608.0,236841.0,73038.0,17079.0,-723.0,16356.0,4026.0,12330.0,1.69,1.67,7654662.0,7353140.0,246894.0,1614.0,248508.0,175413.0,1959.0,54423.0,231795.0,71481.0,16713.0,-708.0,16005.0,3939.0,12066.0,1.65,1.64,7419105.0,7581981.0,4110.0,106.0,70.0,176.0,4286.0,4022.0,-35.0,-23.0,-58.0,3964.0,12330.0,-104.0,-70.0,-174.0,12156.0,12066.0,-124.0,-87.0,-211.0,11855.0,4476.0,3877.0,13137.0,13089.0,3392.0,37971.0,6752.0,17288.0,9550.0,2350.0,73911.0,40642.0,4447.0,3649.0,4831.0,53569.0,24364.0,2160.0,80093.0,-3210.0,-3572.0,600.0,-6182.0,4700.0,4071.0,13793.0,13743.0,3561.0,39868.0,7089.0,18152.0,10027.0,2467.0,77603.0,42672.0,4669.0,3831.0,5072.0,56244.0,25581.0,2268.0,84093.0,-4543.0,-1947.0,0,-6490.0,12330.0,8231.0,865.0,26107.0,-7712.0,-8843.0,-3864.0,-1498.0,-6888.0,-62.0,10314.0,15722.0,12066.0,8056.0,847.0,27349.0,-7548.0,-8655.0,-3782.0,-1466.0,-6704.0,-10.0,11980.0,17273.0
Nova Enterprises,10-Q,retail,2025,3,Three Months Ended October 31 2025,January 01 2025,140082.0,1087.0,141169.0,103373.0,777.0,34267.0,138417.0,36709.0,2752.0,-448.0,2304.0,612.0,1692.0,0.4,0.4,4202000.0,4209000.0,129816.0,1007.0,130823.0,95798.0,720.0,31756.0,128274.0,34018.0,2549.0,-415.0,2134.0,567.0,1567.0,0.37,0.37,4105115.0,4385319.0,420246.0,3261.0,423507.0,310119.0,2331.0,102801.0,415251.0,110127.0,8256.0,-1344.0,6912.0,1836.0,5076.0,1.21,1.21,4375514.0,4003451.0,389448.0,3021.0,392469.0,287394.0,2160.0,95268.0,384822.0,102054.0,7647.0,-1245.0,6402.0,1701.0,4701.0,1.12,1.12,4380862.0,4357888.0,1692.0,439.0,293.0,732.0,2424.0,1567.0,-112.0,-74.0,-186.0,1381.0,5076.0,-335.0,-223.0,-558.0,4518.0,4701.0,-284.0,-242.0,-526.0,4175.0,7445.0,2506.0,23695.0,18014.0,4882.0,56542.0,7369.0,48369.0,9015.0,8928.0,130223.0,45830.0,10886.0,11112.0,6247.0,74075.0,22478.0,6272.0,102825.0,18415.0,9728.0,-745.0,27398.0,6437.0,2167.0,20486.0,15574.0,4221.0,48885.0,6371.0,41818.0,7794.0,7719.0,112587.0,39623.0,9412.0,9607.0,5401.0,64043.0,19433.0,5422.0,88898.0,16582.0,7107.0,0,23689.0,5076.0,12949.0,3221.0,15937.0,-15122.0,-16364.0,-4557.0,-631.0,-8480.0,109.0,-8798.0,-984.0,4701.0,12000.0,2985.0,18922.0,-14014.0,-15165.0,-4223.0,-585.0,-7775.0,-14.0,-4032.0,3209.0
Plex Technologies,10-Q,retail,2025,3,Three Months Ended October 31 2025,January 01 2025,96065.0,1130.0,97195.0,71903.0,455.0,24749.0,97107.0,24162.0,88.0,-879.0,-791.0,0,-791.0,-0.83,-0.83,950000.0,953000.0,90731.0,1067.0,91798.0,67910.0,430.0,23375.0,91715.0,22821.0,83.0,-830.0,-747.0,-0.0,-747.0,-0.79,-0.78,980347.0,986659.0,288195.0,3390.0,291585.0,215709.0,1365.0,74247.0,291321.0,72486.0,264.0,-2637.0,-2373.0,-0.0,-2373.0,-2.5,-2.49,949630.0,989934.0,272193.0,3201.0,275394.0,203730.0,1290.0,70125.0,275145.0,68463.0,249.0,-2490.0,-2241.0,0.0,-2241.0,-2.36,-2.35,979923.0,983263.0,-791.0,-103.0,-68.0,-171.0,-962.0,-747.0,81.0,54.0,135.0,-612.0,-2373.0,243.0,162.0,405.0,-1968.0,-2241.0,286.0,158.0,444.0,-1797.0,9490.0,6593.0,10753.0,11422.0,5658.0,43916.0,17776.0,30813.0,13557.0,5581.0,111643.0,49252.0,6676.0,7838.0,4972.0,68738.0,26766.0,4401.0,99905.0,6029.0,6845.0,-1136.0,11738.0,9292.0,6456.0,10529.0,11184.0,5540.0,43001.0,17406.0,30172.0,13275.0,5465.0,109319.0,48227.0,6537.0,7675.0,4868.0,67307.0,26209.0,4309.0,97825.0,8046.0,3448.0,0,11494.0,-2373.0,11014.0,2747.0,1400.0,-8108.0,-9957.0,-1367.0,245.0,-3840.0,-51.0,-12448.0,-4614.0,-2241.0,10402.0,2594.0,-529.0,-7658.0,-9404.0,-1291.0,231.0,-3671.0,33.0,-13571.0,-6172.0
Crest Systems,10-Q,retail,2025,3,Three Months Ended October 31 2025,January 01 2025,25338.0,372.0,25710.0,17059.0,59.0,5680.0,22798.0,8279.0,2912.0,-19.0,2893.0,705.0,2188.0,0.33,0.33,6637000.0,6695000.0,25613.0,376.0,25989.0,17244.0,60.0,5742.0,23046.0,8369.0,2943.0,-19.0,2924.0,713.0,2211.0,0.33,0.33,6315901.0,6651120.0,76014.0,1116.0,77130.0,51177.0,177.0,17040.0,68394.0,24837.0,8736.0,-57.0,8679.0,2115.0,6564.0,0.99,0.98,6942542.0,6435250.0,76839.0,1128.0,77967.0,51732.0,180.0,17226.0,69138.0,25107.0,8829.0,-57.0,8772.0,2139.0,6633.0,1.0,0.99,6905230.0,6728315.0,2188.0,151.0,101.0,252.0,2440.0,2211.0,-19.0,-13.0,-32.0,2179.0,6564.0,-58.0,-38.0,-96.0,6468.0,6633.0,-66.0,-41.0,-107.0,6526.0,1905.0,2821.0,2940.0,5059.0,916.0,13641.0,2318.0,9388.0,1375.0,899.0,27621.0,10676.0,1443.0,1284.0,879.0,14282.0,7782.0,1915.0,23979.0,2845.0,1203.0,-406.0,3642.0,1930.0,2857.0,2978.0,5124.0,928.0,13817.0,2348.0,9509.0,1393.0,911.0,27978.0,10814.0,1462.0,1301.0,890.0,14467.0,7882.0,1940.0,24289.0,2582.0,1107.0,0,3689.0,6564.0,2235.0,639.0,12038.0,-3588.0,-3917.0,-1102.0,-506.0,-2226.0,27.0,5922.0,8192.0,6633.0,2259.0,646.0,12711.0,-3627.0,-3959.0,-1114.0,-511.0,-2158.0,29.0,6623.0,8918.0
