question_id,depth,question,question_original,obstacle,useless_info_family_used,expression,expression_json,template_expression,answer,template_depth_requested,template_actual_depth,bound_expression_depth,tree_seed,binding_seed,master_seed,derived_prob,template_internal_nodes,template_leaf_slots,bound_leaf_count,leaf_1_key,leaf_1_concept,leaf_1_label,leaf_1_entity,leaf_1_period,leaf_1_unit,leaf_1_value,leaf_2_key,leaf_2_concept,leaf_2_label,leaf_2_entity,leaf_2_period,leaf_2_unit,leaf_2_value,leaf_3_key,leaf_3_concept,leaf_3_label,leaf_3_entity,leaf_3_period,leaf_3_unit,leaf_3_value,leaf_4_key,leaf_4_concept,leaf_4_label,leaf_4_entity,leaf_4_period,leaf_4_unit,leaf_4_value,leaf_5_key,leaf_5_concept,leaf_5_label,leaf_5_entity,leaf_5_period,leaf_5_unit,leaf_5_value,leaf_6_key,leaf_6_concept,leaf_6_label,leaf_6_entity,leaf_6_period,leaf_6_unit,leaf_6_value,leaf_7_key,leaf_7_concept,leaf_7_label,leaf_7_entity,leaf_7_period,leaf_7_unit,leaf_7_value,leaf_8_key,leaf_8_concept,leaf_8_label,leaf_8_entity,leaf_8_period,leaf_8_unit,leaf_8_value
1,2,may you calculate the operating income for NovaStar Technologies in 2022,,,,operating_income,"{""derived"": ""operating_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""20_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""20_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""leaf"": ""20_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 2}","{""kind"": ""derived_concept"", ""name"": ""operating_income"", ""depth"": 0}",59123.0,4,0,2,443631655,210800470,527794695,0.486,0,1,3,20_revenue,revenue,revenue,NovaStar Technologies,2022,M_USD,149263.0,20_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,NovaStar Technologies,2022,M_USD,63527.0,20_operating_expenses,operating_expenses,operating expenses,NovaStar Technologies,2022,M_USD,26613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,could you give the current assets for Meridian Systems Inc in 2025 ?,,,,current_assets,"{""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""11_cash"", ""depth"": 0}, ""right"": {""leaf"": ""11_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""11_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""11_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}","{""kind"": ""derived_concept"", ""name"": ""current_assets"", ""depth"": 0}",65884.0,3,0,3,557385285,876717945,527794695,0.353,0,1,4,11_cash,cash,cash,Meridian Systems Inc,2025,M_USD,6070.0,11_accounts_receivable,accounts_receivable,accounts receivable,Meridian Systems Inc,2025,M_USD,27542.0,11_inventories,inventories,inventories,Meridian Systems Inc,2025,M_USD,10774.0,11_short_term_investments,short_term_investments,short term investments,Meridian Systems Inc,2025,M_USD,21498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,you should calculate the current assets for Titan Consumer Brands in 2022.,,,,current_assets,"{""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""62_cash"", ""depth"": 0}, ""right"": {""leaf"": ""62_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""62_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""62_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}","{""kind"": ""derived_concept"", ""name"": ""current_assets"", ""depth"": 0}",203231.0,2,0,3,347966118,459582780,527794695,0.581,0,1,4,62_cash,cash,cash,Titan Consumer Brands,2022,M_USD,65913.0,62_accounts_receivable,accounts_receivable,accounts receivable,Titan Consumer Brands,2022,M_USD,59855.0,62_inventories,inventories,inventories,Titan Consumer Brands,2022,M_USD,18939.0,62_short_term_investments,short_term_investments,short term investments,Titan Consumer Brands,2022,M_USD,58524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,Which quantity is given by the current assets for Ironclad Manufacturing in 2021,,,,current_assets,"{""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""37_cash"", ""depth"": 0}, ""right"": {""leaf"": ""37_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""37_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""37_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}","{""kind"": ""derived_concept"", ""name"": ""current_assets"", ""depth"": 0}",57969.0,2,0,3,954676366,757922120,527794695,0.301,0,1,4,37_cash,cash,cash,Ironclad Manufacturing,2021,M_USD,9253.0,37_accounts_receivable,accounts_receivable,accounts receivable,Ironclad Manufacturing,2021,M_USD,23302.0,37_inventories,inventories,inventories,Ironclad Manufacturing,2021,M_USD,9087.0,37_short_term_investments,short_term_investments,short term investments,Ironclad Manufacturing,2021,M_USD,16327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,May you calculate the gross profit for NovaStar Technologies in 2020?,,,,gross_profit,"{""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""18_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""18_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}",70528.0,4,0,1,322849989,551056915,527794695,0.598,0,1,2,18_revenue,revenue,revenue,NovaStar Technologies,2020,M_USD,107884.0,18_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,NovaStar Technologies,2020,M_USD,37356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,What do we obtain as the longterm assets for Cobalt Semiconductor in 2023 ?,,,,longterm_assets,"{""derived"": ""longterm_assets"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""69_total_assets"", ""depth"": 0}, ""right"": {""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""69_cash"", ""depth"": 0}, ""right"": {""leaf"": ""69_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""69_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""69_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""depth"": 4}, ""depth"": 4}","{""kind"": ""derived_concept"", ""name"": ""longterm_assets"", ""depth"": 0}",48259.0,4,0,4,423094623,830302775,527794695,0.376,0,1,5,69_total_assets,total_assets,total assets,Cobalt Semiconductor,2023,M_USD,65727.0,69_cash,cash,cash,Cobalt Semiconductor,2023,M_USD,7204.0,69_accounts_receivable,accounts_receivable,accounts receivable,Cobalt Semiconductor,2023,M_USD,4686.0,69_inventories,inventories,inventories,Cobalt Semiconductor,2023,M_USD,912.0,69_short_term_investments,short_term_investments,short term investments,Cobalt Semiconductor,2023,M_USD,4666.0,,,,,,,,,,,,,,,,,,,,,
6,2,what does the following give: difference between longterm liabilities and gross profit for Crimson Pharmaceuticals in 2024 ?,,,,"diff(longterm_liabilities, gross_profit)","{""op"": ""diff"", ""left"": {""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""88_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""88_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""88_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""88_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""depth"": 2}","{""op"": ""diff"", ""left"": {""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}, ""right"": {""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}",-78434.0,3,1,2,868716505,252274726,527794695,0.43,1,2,4,88_total_liabilities,total_liabilities,total liabilities,Crimson Pharmaceuticals,2024,M_USD,194929.0,88_current_liabilities,current_liabilities,current liabilities,Crimson Pharmaceuticals,2024,M_USD,82551.0,88_revenue,revenue,revenue,Crimson Pharmaceuticals,2024,M_USD,712606.0,88_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Crimson Pharmaceuticals,2024,M_USD,521794.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,evaluate the sum of current assets and gross profit for Titan Consumer Brands in 2025 .,,,,"sum(current_assets, gross_profit)","{""op"": ""sum"", ""left"": {""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""65_cash"", ""depth"": 0}, ""right"": {""leaf"": ""65_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""65_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""65_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""right"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""65_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""65_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""depth"": 4}","{""op"": ""sum"", ""left"": {""kind"": ""derived_concept"", ""name"": ""current_assets"", ""depth"": 0}, ""right"": {""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}",396537.0,3,1,4,109086007,781513009,527794695,0.495,1,2,6,65_cash,cash,cash,Titan Consumer Brands,2025,M_USD,18448.0,65_accounts_receivable,accounts_receivable,accounts receivable,Titan Consumer Brands,2025,M_USD,37204.0,65_inventories,inventories,inventories,Titan Consumer Brands,2025,M_USD,38161.0,65_short_term_investments,short_term_investments,short term investments,Titan Consumer Brands,2025,M_USD,70514.0,65_revenue,revenue,revenue,Titan Consumer Brands,2025,M_USD,552586.0,65_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Titan Consumer Brands,2025,M_USD,320376.0,,,,,,,,,,,,,,
6,3,evaluate the current assets for SilverLine Retail Inc in 2020 .,,,,current_assets,"{""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""42_cash"", ""depth"": 0}, ""right"": {""leaf"": ""42_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""42_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""42_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}","{""kind"": ""derived_concept"", ""name"": ""current_assets"", ""depth"": 0}",154669.0,3,0,3,938388442,623852206,527794695,0.51,0,1,4,42_cash,cash,cash,SilverLine Retail Inc,2020,M_USD,35803.0,42_accounts_receivable,accounts_receivable,accounts receivable,SilverLine Retail Inc,2020,M_USD,54576.0,42_inventories,inventories,inventories,SilverLine Retail Inc,2020,M_USD,23923.0,42_short_term_investments,short_term_investments,short term investments,SilverLine Retail Inc,2020,M_USD,40367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,what's the value of the longterm liabilities for ClearPath Logistics in 2024,,,,longterm_liabilities,"{""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""82_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""82_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}",260787.0,4,0,1,339745274,530734608,527794695,0.355,0,1,2,82_total_liabilities,total_liabilities,total liabilities,ClearPath Logistics,2024,M_USD,516676.0,82_current_liabilities,current_liabilities,current liabilities,ClearPath Logistics,2024,M_USD,255889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
