company_name,ticker,sector,country,exchange,credit_rating,year,revenue,cost_of_goods_sold,operating_expenses,non_operating_expenses,income_tax,total_assets,total_liabilities,total_equity,cash,accounts_receivable,inventories,short_term_investments,current_liabilities,capex,dividends_paid,shares_outstanding,stock_price,employees
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AAA,2020,8416441,2624480,1353400,1041806,0.26073234525771727,8749115,5785584,2963531,428421,596970,393534,968017,2206760,722696,772583,119889,77831.81,32295760
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AAA,2021,8803538,5335376,1046767,1986008,0.25605258576766166,8244922,3642164,4602758,2000038,732999,738377,146412,1023595,292036,19825,490765,57182.57,17628143
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AAA,2022,10418574,7321306,2283613,1043119,0.22701141827754917,10841279,4222509,6618770,1047500,972551,624760,364365,2049613,757416,0,1083743,49003.4,42205235
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AAA,2023,11229275,7538845,625186,663564,0.22829074676487202,11318402,7617220,3701182,2249317,916968,777020,902363,3098617,1083985,214751,729588,64668.02,34407047
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AAA,2024,11266124,3749793,698304,1553836,0.19685022602147184,20678328,13640054,7038274,2042360,1259961,432898,2698704,6736052,559287,221148,846860,26550.6,23590392
Apex Dynamics Corp,APEX,Technology,USA,NYSE,AAA,2025,11208577,4613041,777453,1211002,0.1768299667003212,10793534,5315500,5478034,2378546,627344,288623,980875,1744434,670959,1157628,776940,40652.64,15772754
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,CCC,2020,5106688,2582727,501200,851126,0.10973162658593119,8008888,5259811,2749077,1725330,547703,147596,89258,1456306,210180,55881,555009,33155.44,2739499
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,CCC,2021,4771302,2637660,584507,513966,0.1772697649959557,5677247,3638456,2038791,1201127,488219,262277,159036,997557,472087,127136,841169,30200.1,7641234
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,CCC,2022,5194466,2496586,301544,300151,0.24271836926496132,4107080,2587177,1519903,257789,671713,95299,576600,852818,360081,249511,1265477,48107.39,25612092
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,CCC,2023,5520263,2872916,897511,800320,0.10332739110046299,7914497,2955329,4959168,962710,390657,393129,1045457,1203750,227669,203285,986831,77806.46,29134479
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,CCC,2024,5430350,1754599,793319,840871,0.24423656704982488,4416616,2518232,1898384,930870,348735,165694,477317,749668,290537,272198,625311,17505.5,25340065
Meridian Systems Inc,MSYS,Technology,USA,NASDAQ,CCC,2025,5925673,3035263,1301725,1158353,0.24115504643035304,6424052,4141482,2282570,1603360,520494,209394,924652,1511293,377476,69638,1017044,69610.87,34196922
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,AAA,2020,37981321,14680498,3771691,6138440,0.14497340759856334,25881778,13577976,12303802,2422040,2306521,1639055,1407599,4578504,3176470,4276123,417452,11067.12,33992801
