question_id,depth,question,expression,expression_json,template_expression,answer,template_depth_requested,template_actual_depth,bound_expression_depth,tree_seed,binding_seed,master_seed,derived_prob,template_internal_nodes,template_leaf_slots,bound_leaf_count,leaf_1_key,leaf_1_concept,leaf_1_label,leaf_1_entity,leaf_1_period,leaf_1_unit,leaf_1_value,leaf_2_key,leaf_2_concept,leaf_2_label,leaf_2_entity,leaf_2_period,leaf_2_unit,leaf_2_value,leaf_3_key,leaf_3_concept,leaf_3_label,leaf_3_entity,leaf_3_period,leaf_3_unit,leaf_3_value,leaf_4_key,leaf_4_concept,leaf_4_label,leaf_4_entity,leaf_4_period,leaf_4_unit,leaf_4_value,leaf_5_key,leaf_5_concept,leaf_5_label,leaf_5_entity,leaf_5_period,leaf_5_unit,leaf_5_value,leaf_6_key,leaf_6_concept,leaf_6_label,leaf_6_entity,leaf_6_period,leaf_6_unit,leaf_6_value,leaf_7_key,leaf_7_concept,leaf_7_label,leaf_7_entity,leaf_7_period,leaf_7_unit,leaf_7_value,leaf_8_key,leaf_8_concept,leaf_8_label,leaf_8_entity,leaf_8_period,leaf_8_unit,leaf_8_value,leaf_9_key,leaf_9_concept,leaf_9_label,leaf_9_entity,leaf_9_period,leaf_9_unit,leaf_9_value,leaf_10_key,leaf_10_concept,leaf_10_label,leaf_10_entity,leaf_10_period,leaf_10_unit,leaf_10_value
1,3,"What is the difference between gross profit for Helix BioSciences in 2025, scaled by the ratio of dividends paid for Helix BioSciences in 2025 to operating expenses for Helix BioSciences in 2025 and the minimum of the sum of non operating expenses for Helix BioSciences in 2022 and non operating expenses for Helix BioSciences in 2022 and non operating expenses for Helix BioSciences in 2023?","diff(mul(gross_profit, ratio(77_dividends_paid, 77_operating_expenses)), min(sum(74_non_operating_expenses, 74_non_operating_expenses), 75_non_operating_expenses))","{""op"": ""diff"", ""left"": {""op"": ""mul"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""77_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""77_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""op"": ""ratio"", ""left"": {""leaf"": ""77_dividends_paid"", ""depth"": 0}, ""right"": {""leaf"": ""77_operating_expenses"", ""depth"": 0}, ""depth"": 1}, ""depth"": 2}, ""right"": {""op"": ""min"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""74_non_operating_expenses"", ""depth"": 0}, ""right"": {""leaf"": ""74_non_operating_expenses"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""75_non_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 3}","{""kind"": ""node"", ""node_id"": ""N4"", ""op"": ""diff"", ""family"": ""amount"", ""depth"": 3, ""left"": {""kind"": ""node"", ""node_id"": ""N1"", ""op"": ""mul"", ""family"": ""amount"", ""depth"": 2, ""left"": {""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""family"": ""amount"", ""concept_depth"": 1, ""context_group"": ""C0"", ""entity_group"": ""E1""}, ""right"": {""kind"": ""node"", ""node_id"": ""N0"", ""op"": ""ratio"", ""family"": ""ratio"", ""depth"": 1, ""left"": {""kind"": ""leaf"", ""name"": ""L0"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C0"", ""entity_group"": ""E1""}, ""right"": {""kind"": ""leaf"", ""name"": ""L1"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C0"", ""entity_group"": ""E1""}}}, ""right"": {""kind"": ""node"", ""node_id"": ""N3"", ""op"": ""min"", ""family"": ""amount"", ""depth"": 2, ""left"": {""kind"": ""node"", ""node_id"": ""N2"", ""op"": ""sum"", ""family"": ""amount"", ""depth"": 1, ""left"": {""kind"": ""leaf"", ""name"": ""L2"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C4"", ""entity_group"": ""E1"", ""time_series_group"": ""Y2"", ""concept_group"": ""T3""}, ""right"": {""kind"": ""leaf"", ""name"": ""L3"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C4"", ""entity_group"": ""E1"", ""time_series_group"": ""Y2"", ""concept_group"": ""T3""}}, ""right"": {""kind"": ""leaf"", ""name"": ""L4"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C5"", ""entity_group"": ""E1"", ""time_series_group"": ""Y2"", ""concept_group"": ""T3""}, ""over_years_group"": ""Y2""}}",13728.163289502052,3,3,3,698216068,555232430,2345,0.545,5,6,7,77_revenue,revenue,revenue,Helix BioSciences,2025,USD,334919,77_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Helix BioSciences,2025,USD,222410,77_dividends_paid,dividends_paid,dividends paid,Helix BioSciences,2025,USD,11109,77_operating_expenses,operating_expenses,operating expenses,Helix BioSciences,2025,USD,27834,74_non_operating_expenses,non_operating_expenses,non operating expenses,Helix BioSciences,2022,USD,15773,74_non_operating_expenses,non_operating_expenses,non operating expenses,Helix BioSciences,2022,USD,15773,75_non_operating_expenses,non_operating_expenses,non operating expenses,Helix BioSciences,2023,USD,31176,,,,,,,,,,,,,,,,,,,,,
2,0,What is total assets for Crimson Pharmaceuticals in 2022?,86_total_assets,"{""leaf"": ""86_total_assets"", ""depth"": 0}","{""kind"": ""leaf"", ""name"": ""L0"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C0"", ""entity_group"": ""E1""}",442481.0,0,0,0,61948916,321489546,2345,0.457,0,1,1,86_total_assets,total_assets,total assets,Crimson Pharmaceuticals,2022,USD,442481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,"What is the maximum of current liabilities for Orion Financial Group using the values from 2021 and 2025, scaled by the growth in total equity for Orion Financial Group from 2020 to 2023?","mul(max(59_current_liabilities, 55_current_liabilities), growth(54_total_equity, 57_total_equity))","{""op"": ""mul"", ""left"": {""op"": ""max"", ""left"": {""leaf"": ""59_current_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""55_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""right"": {""op"": ""growth"", ""left"": {""leaf"": ""54_total_equity"", ""depth"": 0}, ""right"": {""leaf"": ""57_total_equity"", ""depth"": 0}, ""depth"": 1}, ""depth"": 2}","{""kind"": ""node"", ""node_id"": ""N2"", ""op"": ""mul"", ""family"": ""amount"", ""depth"": 2, ""left"": {""kind"": ""node"", ""node_id"": ""N0"", ""op"": ""max"", ""family"": ""amount"", ""depth"": 1, ""left"": {""kind"": ""leaf"", ""name"": ""L0"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C4"", ""entity_group"": ""E1"", ""time_series_group"": ""Y2"", ""concept_group"": ""T3""}, ""right"": {""kind"": ""leaf"", ""name"": ""L1"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C5"", ""entity_group"": ""E1"", ""time_series_group"": ""Y2"", ""concept_group"": ""T3""}, ""over_years_group"": ""Y2""}, ""right"": {""kind"": ""node"", ""node_id"": ""N1"", ""op"": ""growth"", ""family"": ""ratio"", ""depth"": 1, ""left"": {""kind"": ""leaf"", ""name"": ""L2"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C8"", ""entity_group"": ""E1"", ""time_series_group"": ""Y6"", ""concept_group"": ""T7""}, ""right"": {""kind"": ""leaf"", ""name"": ""L3"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C9"", ""entity_group"": ""E1"", ""time_series_group"": ""Y6"", ""concept_group"": ""T7""}, ""over_years_group"": ""Y6""}}",-15341.089140408785,2,2,2,937724111,396556182,2345,0.467,3,4,4,59_current_liabilities,current_liabilities,current liabilities,Orion Financial Group,2025,USD,22329,55_current_liabilities,current_liabilities,current liabilities,Orion Financial Group,2021,USD,7909,54_total_equity,total_equity,total equity,Orion Financial Group,2020,USD,34037,57_total_equity,total_equity,total equity,Orion Financial Group,2023,USD,108761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,What is longterm liabilities for Pacific Crest Energy in 2023?,longterm_liabilities,"{""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""51_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""51_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""family"": ""amount"", ""concept_depth"": 1, ""context_group"": ""C0"", ""entity_group"": ""E1""}",37323.0,1,0,1,409695804,813104997,2345,0.585,0,1,2,51_total_liabilities,total_liabilities,total liabilities,Pacific Crest Energy,2023,USD,64637,51_current_liabilities,current_liabilities,current liabilities,Pacific Crest Energy,2023,USD,27314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,What is accounts receivable for Ironclad Manufacturing in 2024?,40_accounts_receivable,"{""leaf"": ""40_accounts_receivable"", ""depth"": 0}","{""kind"": ""leaf"", ""name"": ""L0"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C0"", ""entity_group"": ""E1""}",23748.0,0,0,0,544780313,351118590,2345,0.335,0,1,1,40_accounts_receivable,accounts_receivable,accounts receivable,Ironclad Manufacturing,2024,USD,23748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,What is the maximum of longterm liabilities for Orion Financial Group in 2020 and the difference between total equity for Orion Financial Group in 2021 and total equity for Orion Financial Group in 2021?,"max(longterm_liabilities, diff(55_total_equity, 55_total_equity))","{""op"": ""max"", ""left"": {""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""54_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""54_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""op"": ""diff"", ""left"": {""leaf"": ""55_total_equity"", ""depth"": 0}, ""right"": {""leaf"": ""55_total_equity"", ""depth"": 0}, ""depth"": 1}, ""depth"": 2}","{""kind"": ""node"", ""node_id"": ""N1"", ""op"": ""max"", ""family"": ""amount"", ""depth"": 2, ""left"": {""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""family"": ""amount"", ""concept_depth"": 1, ""context_group"": ""C4"", ""entity_group"": ""E1"", ""time_series_group"": ""Y2"", ""concept_group"": ""T3""}, ""right"": {""kind"": ""node"", ""node_id"": ""N0"", ""op"": ""diff"", ""family"": ""amount"", ""depth"": 1, ""left"": {""kind"": ""leaf"", ""name"": ""L0"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C5"", ""entity_group"": ""E1"", ""time_series_group"": ""Y2"", ""concept_group"": ""T3""}, ""right"": {""kind"": ""leaf"", ""name"": ""L1"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C5"", ""entity_group"": ""E1"", ""time_series_group"": ""Y2"", ""concept_group"": ""T3""}}, ""over_years_group"": ""Y2""}",22505.0,2,2,2,710448866,281195422,2345,0.671,2,3,4,54_total_liabilities,total_liabilities,total liabilities,Orion Financial Group,2020,USD,33826,54_current_liabilities,current_liabilities,current liabilities,Orion Financial Group,2020,USD,11321,55_total_equity,total_equity,total equity,Orion Financial Group,2021,USD,59143,55_total_equity,total_equity,total equity,Orion Financial Group,2021,USD,59143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,"What is the average of short term investments for Titan Consumer Brands in 2020, scaled by income tax for Titan Consumer Brands in 2020 and the difference between short term investments for Titan Consumer Brands in 2021 and short term investments for Titan Consumer Brands in 2021?","avg(mul(60_short_term_investments, 60_income_tax), diff(61_short_term_investments, 61_short_term_investments))","{""op"": ""avg"", ""left"": {""op"": ""mul"", ""left"": {""leaf"": ""60_short_term_investments"", ""depth"": 0}, ""right"": {""leaf"": ""60_income_tax"", ""depth"": 0}, ""depth"": 1}, ""right"": {""op"": ""diff"", ""left"": {""leaf"": ""61_short_term_investments"", ""depth"": 0}, ""right"": {""leaf"": ""61_short_term_investments"", ""depth"": 0}, ""depth"": 1}, ""depth"": 2}","{""kind"": ""node"", ""node_id"": ""N2"", ""op"": ""avg"", ""family"": ""amount"", ""depth"": 2, ""left"": {""kind"": ""node"", ""node_id"": ""N0"", ""op"": ""mul"", ""family"": ""amount"", ""depth"": 1, ""left"": {""kind"": ""leaf"", ""name"": ""L0"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C4"", ""entity_group"": ""E1"", ""time_series_group"": ""Y2"", ""concept_group"": ""T3""}, ""right"": {""kind"": ""leaf"", ""name"": ""L1"", ""family"": ""ratio"", ""semantic_type_in"": [""ratio"", ""rate""], ""entity_group"": ""E1""}}, ""right"": {""kind"": ""node"", ""node_id"": ""N1"", ""op"": ""diff"", ""family"": ""amount"", ""depth"": 1, ""left"": {""kind"": ""leaf"", ""name"": ""L2"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C5"", ""entity_group"": ""E1"", ""time_series_group"": ""Y2"", ""concept_group"": ""T3""}, ""right"": {""kind"": ""leaf"", ""name"": ""L3"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C5"", ""entity_group"": ""E1"", ""time_series_group"": ""Y2"", ""concept_group"": ""T3""}}, ""over_years_group"": ""Y2""}",6632.0211624208605,2,2,2,212816442,676658233,2345,0.654,3,4,4,60_short_term_investments,short_term_investments,short term investments,Titan Consumer Brands,2020,USD,72012,60_income_tax,income_tax,income tax,Titan Consumer Brands,2020,ratio,0.1841921113820158,61_short_term_investments,short_term_investments,short term investments,Titan Consumer Brands,2021,USD,33790,61_short_term_investments,short_term_investments,short term investments,Titan Consumer Brands,2021,USD,33790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,What is the minimum of operating expenses for Meridian Systems Inc using the values from 2021 and 2023?,"min(9_operating_expenses, 7_operating_expenses)","{""op"": ""min"", ""left"": {""leaf"": ""9_operating_expenses"", ""depth"": 0}, ""right"": {""leaf"": ""7_operating_expenses"", ""depth"": 0}, ""depth"": 1}","{""kind"": ""node"", ""node_id"": ""N0"", ""op"": ""min"", ""family"": ""amount"", ""depth"": 1, ""left"": {""kind"": ""leaf"", ""name"": ""L0"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C4"", ""entity_group"": ""E1"", ""time_series_group"": ""Y2"", ""concept_group"": ""T3""}, ""right"": {""kind"": ""leaf"", ""name"": ""L1"", ""family"": ""amount"", ""semantic_type_in"": [""amount""], ""context_group"": ""C5"", ""entity_group"": ""E1"", ""time_series_group"": ""Y2"", ""concept_group"": ""T3""}, ""over_years_group"": ""Y2""}",8595.0,1,1,1,788267262,726326834,2345,0.323,1,2,2,9_operating_expenses,operating_expenses,operating expenses,Meridian Systems Inc,2023,USD,15975,7_operating_expenses,operating_expenses,operating expenses,Meridian Systems Inc,2021,USD,8595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,What is operating income for NovaStar Technologies in 2024?,operating_income,"{""derived"": ""operating_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""22_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""22_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""leaf"": ""22_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 2}","{""kind"": ""derived_concept"", ""name"": ""operating_income"", ""family"": ""amount"", ""concept_depth"": 2, ""context_group"": ""C0"", ""entity_group"": ""E1""}",80626.0,3,0,2,770385089,389369136,2345,0.593,0,1,3,22_revenue,revenue,revenue,NovaStar Technologies,2024,USD,177984,22_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,NovaStar Technologies,2024,USD,77449,22_operating_expenses,operating_expenses,operating expenses,NovaStar Technologies,2024,USD,19909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4,What is longterm assets for Orion Financial Group in 2024?,longterm_assets,"{""derived"": ""longterm_assets"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""58_total_assets"", ""depth"": 0}, ""right"": {""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""58_cash"", ""depth"": 0}, ""right"": {""leaf"": ""58_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""58_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""58_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""depth"": 4}, ""depth"": 4}","{""kind"": ""derived_concept"", ""name"": ""longterm_assets"", ""family"": ""amount"", ""concept_depth"": 2, ""context_group"": ""C0"", ""entity_group"": ""E1""}",163671.0,3,0,4,562105804,930745905,2345,0.318,0,1,5,58_total_assets,total_assets,total assets,Orion Financial Group,2024,USD,269218,58_cash,cash,cash,Orion Financial Group,2024,USD,58304,58_accounts_receivable,accounts_receivable,accounts receivable,Orion Financial Group,2024,USD,12144,58_inventories,inventories,inventories,Orion Financial Group,2024,USD,8221,58_short_term_investments,short_term_investments,short term investments,Orion Financial Group,2024,USD,26878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
