Field,Value
Company Name,Meridian Systems Inc
Ticker,MSYS
Sector,Technology
Country,USA
Exchange,NASDAQ
Credit Rating,AA

Income Statement,2022,2023,2024
Revenue,516188,611174,577837
Cost Of Goods Sold,296348,424378,185603
Gross Profit,219840,186796,392234
Operating Expenses,43477,69023,41564
Operating Income,176363,117773,350670
Net Income,133009,90557,271598

Balance Sheet,2022,2023,2024
Total Assets,1040528,788858,462087
Total Liabilities,592899,579572,272694
Total Equity,447629,209286,189393
Current Assets,723664,331626,88516
Current Liabilities,243089,183272,94190
Cash,158711,66468,115127
Long Term Debt,361906,309395,175700
Accounts Receivable,55986,58756,53688
Inventories,38398,22983,27143

Per Share & Other,2022,2023,2024
Capex,19782,56122,12087
Dividends Paid,1708,14467,78299
Shares Outstanding,4800,3368,10257
Stock Price,225.18,798.07,436.52
Employees,109437,257216,137078

